time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/loss,train/std,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
1171,8192,1,6,,,,,,,,,,,,,
1069,16384,2,15,-0.0030395750251045683,0.2,0.0051802057,-2.8474768882617356,-0.006085959263145924,1.005730152130127,10,0.04993896484375,-34.76890182495117,0.01723116526409285,0.0003,,
1034,24576,3,23,-0.003456736366570112,0.2,0.006682285,-2.8387116549536584,-0.010905811563134193,0.9973251223564148,20,0.0671875,-7.367043495178223,0.0029133545288459574,0.0003,0.1830555,4989.0
1018,32768,4,32,-0.0015022895120637258,0.2,0.0062314104,-2.843810857087374,0.0042962851002812386,1.0032914876937866,30,0.05457763671875,-1.8393745422363281,0.0016271410616354842,0.0003,0.1830555,4989.0
1009,40960,5,40,-0.0017309185164776863,0.2,0.006116866,-2.837295133061707,-0.016381610184907913,0.999799370765686,40,0.060888671875,-0.7322492599487305,0.0012348218300758163,0.0003,0.07798975000000002,4989.0
1004,49152,6,48,-0.0028687726004136493,0.2,0.0071201716,-2.830463950149715,-0.015122620388865471,0.9941659569740295,50,0.07054443359375,-0.5094709396362305,0.000749646295707862,0.0003,0.07798975000000002,4989.0
1000,57344,7,57,-0.0013905147516197758,0.2,0.0065576187,-2.817378119751811,-0.002303848974406719,0.9856257438659668,60,0.06322021484375,-0.16668331623077393,0.0009700321445734516,0.0003,0.07798975000000002,4989.0
996,65536,8,65,-0.0015120245261641685,0.2,0.0072799334,-2.804577851668,-0.018741263076663017,0.9824309945106506,70,0.07625732421875,-0.1491907835006714,0.0007163860535683853,0.0003,0.12230508333333334,4989.0
993,73728,9,74,-0.0015886286026216112,0.2,0.0065560844,-2.7929615503177048,-0.0036307366099208593,0.9736095070838928,80,0.06763916015625,-0.06628918647766113,0.0007298707585960074,0.0003,0.12230508333333334,4989.0
992,81920,10,82,-0.0016462354047689586,0.2,0.006873568,-2.7773237517103553,0.029861625283956528,0.9652915000915527,90,0.076171875,-0.04519641399383545,0.0008734379343650289,0.0003,0.05272193750000001,4989.0
991,90112,11,90,-0.001086058963483083,0.2,0.007966925,-2.7557359149679543,0.007124999072402716,0.9563034772872925,100,0.078955078125,-0.06558465957641602,0.0006244797502176879,0.0003,0.05272193750000001,4989.0
991,98304,12,99,-0.002217994307648041,0.2,0.008362602,-2.74281787481159,-0.017699163407087326,0.9544586539268494,110,0.0846923828125,-0.011135220527648926,0.0009675342648506558,0.0003,0.05272193750000001,4989.0
990,106496,13,107,-0.0018998550654941936,0.2,0.0077719223,-2.7403730154037476,0.007290855050086975,0.9536892175674438,120,0.0906494140625,-0.03000187873840332,0.0006496147000007113,0.0003,0.03642640000000001,4989.0
990,114688,14,115,-0.0005310402339091524,0.2,0.005590678,-2.73501443490386,0.016977883875370026,0.9496853351593018,130,0.06529541015625,-0.016596078872680664,0.0007337527672689248,0.0003,0.03642640000000001,4989.0
989,122880,15,124,-0.001781526187551208,0.2,0.006560727,-2.7197294840589166,-0.014791560359299183,0.9401637315750122,140,0.07442626953125,-0.012265443801879883,0.0009656716267272714,0.0003,0.030464958333333347,4989.0
989,131072,16,132,-0.0012051038571371463,0.2,0.00816966,-2.712976871058345,0.011090664193034172,0.9385275840759277,150,0.0709716796875,-0.05036211013793945,0.0007109491912160593,0.0003,0.030464958333333347,4989.0
988,139264,17,140,-0.0012713689622614766,0.2,0.0076600835,-2.6867429688572884,0.004775635898113251,0.9226831197738647,160,0.0763427734375,-0.0149688720703125,0.0010091393558695927,0.0003,0.030464958333333347,4989.0
