time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
2048,144,14,1,,,,,,,,,,,,,
4096,139,29,2,-0.005233023746404797,-0.006340845488011837,-43.80078887939453,0.04228212732414249,0.0003,-2.8297295600175856,0.034912109375,0.994444727897644,0.003565007,0.2,10,,
6144,148,41,3,-0.006278328144253465,-0.01748799905180931,-6.586266040802002,0.008273928252310724,0.0003,-2.817498444765806,0.037109375,0.9856125116348267,0.004718421,0.2,20,,
8192,145,56,4,-0.00675326913187746,-0.014092531986534595,-4.277958869934082,0.004659566142072436,0.0003,-2.798127019405365,0.04638671875,0.9750617742538452,0.006792321,0.2,30,,
10240,143,71,5,-0.00856417263566982,-0.022985253483057022,-1.096266269683838,0.005190909442171687,0.0003,-2.7657462619245052,0.058837890625,0.9551911354064941,0.0071439315,0.2,40,-3.871847,9989.0
12288,146,83,6,-0.007053572233417071,-0.0013758979039266706,-2.242222547531128,0.0034399215186567745,0.0003,-2.745175863802433,0.04345703125,0.9533712267875671,0.0064591253,0.2,50,-3.871847,9989.0
