time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/approx_kl,train/std,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,876,12288,14,,,,,,,,,,,,,
2,754,24576,32,-2.823083248237769,0.0003,0.0308349609375,0.2,0.004038565,0.9905511736869812,-0.007270932197570801,10,25.33588981628418,51.93299427827199,-0.001718906305904966,,
3,721,36864,51,-2.8069526807715497,0.0003,0.047078450520833336,0.2,0.004989254,0.9790339469909668,-0.004143118858337402,20,20.19089126586914,51.677897487084074,-0.0016791785457220007,,
4,705,49152,69,-2.7834073554724457,0.0003,0.04735514322916667,0.2,0.005182226,0.9708957672119141,-0.004803299903869629,30,26.528823852539062,52.59965026775996,-0.0014633536918457442,,
5,695,61440,88,-2.7810518932839234,0.0003,0.05865885416666667,0.2,0.005433751,0.9700496196746826,-0.002077460289001465,40,21.5048828125,49.3777296970288,0.0003139784720891233,9989.0,324.8936111666667
6,708,73728,104,-2.7769909825176002,0.0003,0.060107421875,0.2,0.0059299767,0.9699020981788635,-0.001801133155822754,50,23.557950973510742,47.511075088381766,-0.0015562706042449765,9989.0,324.8936111666667
7,701,86016,122,-2.7591407960901657,0.0003,0.06311848958333334,0.2,0.006401118,0.9588481187820435,-0.0023069381713867188,60,28.484338760375977,55.284453656276064,-0.0008289172325021355,9989.0,324.8936111666667
8,695,98304,141,-2.7537191821883122,0.0003,0.05888671875,0.2,0.005721819,0.9607561826705933,-0.0007916688919067383,70,27.85903549194336,54.28502378662427,-0.002064514880233522,9989.0,324.8936111666667
9,691,110592,160,-2.7412540604670843,0.0003,0.06807454427083333,0.2,0.0064272266,0.9531221389770508,-0.0043299198150634766,80,25.973310470581055,53.77698124845823,-0.0006090900769777363,9989.0,324.8936111666667
10,687,122880,178,-2.7456624979774156,0.0003,0.054606119791666664,0.2,0.005418496,0.9593250751495361,-0.0013862848281860352,90,24.867443084716797,51.39768357177575,0.0003396584643875637,9989.0,102.66120383333332
11,695,135168,194,-2.753300608446201,0.0003,0.06350911458333333,0.2,0.0060987487,0.9587022066116333,-0.0018641948699951172,100,29.894487380981445,54.88541760245959,-0.0005218159893653744,9989.0,102.66120383333332
12,692,147456,212,-2.72991220044593,0.0003,0.06043294270833333,0.2,0.006512674,0.9427900910377502,0.0019278526306152344,110,25.398235321044922,51.571495136618616,-0.0017176465204101986,9989.0,102.66120383333332
13,698,159744,228,-2.7108007725328207,0.0003,0.05681966145833333,0.2,0.0050794478,0.9365818500518799,0.0038901567459106445,120,25.923917770385742,48.75163156986237,0.00019235799603241807,9989.0,102.66120383333332
14,703,172032,244,-2.688573621461789,0.0003,0.051106770833333336,0.2,0.005396832,0.9270290732383728,-0.004213929176330566,130,24.094005584716797,51.23000229895115,-0.0015582882411157091,9989.0,102.66120383333332
15,708,184320,260,-2.6775013456741967,0.0003,0.0450439453125,0.2,0.0050153974,0.9230159521102905,0.00028568506240844727,140,26.666419982910156,53.20070983767509,-0.0007754283484246116,9989.0,89.41135805555557
16,712,196608,275,-2.6661471718301377,0.0003,0.05951334635416667,0.2,0.0060130213,0.914315938949585,-0.0049697160720825195,150,35.79109573364258,53.123733672499654,-0.0003359559420156681,9989.0,89.41135805555557
17,709,208896,294,-2.65302263610065,0.0003,0.06009114583333333,0.2,0.006415716,0.9089707136154175,-0.0011157989501953125,160,30.266582489013672,53.918600517511365,-7.03126150862469e-05,9989.0,89.41135805555557
18,706,221184,313,-2.6409507802377146,0.0003,0.05559895833333333,0.2,0.00520926,0.9029197692871094,-0.0007469654083251953,170,20.08033561706543,51.70933811863264,-0.0002782375609967858,9989.0,89.41135805555557
19,710,233472,328,-2.6137944300969442,0.0003,0.05384114583333333,0.2,0.005530937,0.890170693397522,-0.0005668401718139648,180,23.649166107177734,53.65889107982318,-6.151800080260728e-05,9989.0,89.41135805555557
20,713,245760,344,-2.6062306853632133,0.0003,0.0443603515625,0.2,0.004479913,0.8889726996421814,-0.00010478496551513672,190,30.509029388427734,56.79825980563958,-0.0015289397051674314,9989.0,47.77863429166666
21,710,258048,363,-2.5804378256201743,0.0003,0.07657063802083333,0.2,0.007338241,0.8764933347702026,-0.0019266605377197266,200,26.44870948791504,51.9132513999939,0.0010967578549752944,9989.0,47.77863429166666
22,708,270336,381,-2.561337379117807,0.0003,0.07620442708333333,0.2,0.006966206,0.8661437034606934,-0.007822394371032715,210,29.985271453857422,56.00251920024554,0.0011400414262122164,9989.0,47.77863429166666
23,705,282624,400,-2.5230486121028664,0.0003,0.0436767578125,0.2,0.0050733625,0.8504826426506042,-0.0010311603546142578,220,31.019535064697266,53.58831784725189,-0.00019290260097477586,9989.0,47.77863429166666
24,708,294912,416,-2.502950279414654,0.0003,0.0443603515625,0.2,0.0043154997,0.8423959016799927,-0.007639765739440918,230,26.244935989379883,51.21907972991467,-0.001577419424211257,9989.0,47.77863429166666
25,711,307200,431,-2.49512499012053,0.0003,0.051253255208333334,0.2,0.0054060207,0.8443678617477417,-0.003820180892944336,240,23.311599731445312,53.15357315440973,-0.0020801473345879156,9989.0,35.60188889999999
26,709,319488,450,-2.4950657825917006,0.0003,0.056070963541666664,0.2,0.005818208,0.8408946990966797,-0.0019366741180419922,250,25.072555541992188,50.38924519717693,0.00030524014049054435,9989.0,35.60188889999999
27,711,331776,466,-2.4810290068387983,0.0003,0.05,0.2,0.0059699416,0.8340536952018738,0.004325389862060547,260,28.332748413085938,49.53955811758836,-0.001620794385841388,9989.0,35.60188889999999
28,714,344064,481,-2.468915004779895,0.0003,0.06607259114583333,0.2,0.006532151,0.8263628482818604,-0.0016089677810668945,270,19.3692684173584,53.47738246023655,-0.0007313547594094416,9989.0,35.60188889999999
29,716,356352,497,-2.4440091773867607,0.0003,0.0539794921875,0.2,0.005322804,0.8205718994140625,-0.0035189390182495117,280,23.689916610717773,50.62251737117767,-0.001606458433525404,9989.0,35.60188889999999
30,714,368640,516,-2.422592586775621,0.0003,0.053694661458333334,0.2,0.0052481648,0.8114601969718933,-0.0023845434188842773,290,28.56978988647461,52.995544425646465,-0.00014342756282227734,9989.0,4.094475333333345
31,712,380928,534,-2.4060295411696035,0.0003,0.0519287109375,0.2,0.0058614872,0.8048545122146606,0.00012284517288208008,300,25.88973617553711,53.37866308689117,-0.0012461681235436117,9989.0,4.094475333333345
32,714,393216,550,-2.3768965497612955,0.0003,0.04424641927083333,0.2,0.0053511537,0.7910279631614685,-0.00484311580657959,310,20.5579891204834,50.097292976578075,-0.0014877353711199247,9989.0,4.094475333333345
33,716,405504,565,-2.348869854211807,0.0003,0.06424967447916667,0.2,0.0060371966,0.7813329696655273,0.00020015239715576172,320,23.74413299560547,52.11338292459647,0.0001305819987464929,9989.0,4.094475333333345
34,718,417792,581,-2.3478467628359794,0.0003,0.06919759114583333,0.2,0.005986499,0.7816258668899536,0.00022345781326293945,330,24.3787899017334,52.58124989370505,-0.0003203340295537297,9989.0,4.094475333333345
35,716,430080,600,-2.342894005278746,0.0003,0.051285807291666666,0.2,0.005475847,0.7809052467346191,-0.0018790960311889648,340,25.650049209594727,52.86113850871722,-0.00015438481168530415,9989.0,9.91432542857143
36,718,442368,615,-2.350158089523514,0.0003,0.06665852864583334,0.2,0.006412968,0.7841301560401917,-0.004767298698425293,350,24.461864471435547,53.89711766839027,-0.0010323842801881256,9989.0,9.91432542857143
37,720,454656,631,-2.3534604605287313,0.0003,0.05703938802083333,0.2,0.0054663345,0.7827003598213196,-0.0015794038772583008,360,25.44219970703125,50.352172355850534,0.00037546560476281834,9989.0,9.91432542857143
38,721,466944,646,-2.348788195848465,0.0003,0.052506510416666666,0.2,0.0050153485,0.7834670543670654,-0.0006347894668579102,370,19.279146194458008,48.98776790599028,-0.0011005807224137242,9989.0,9.91432542857143
39,723,479232,662,-2.3396247142304976,0.0003,0.06102701822916667,0.2,0.0059321807,0.7793284058570862,0.0015491843223571777,380,22.60091209411621,53.03284958899021,-0.0008989085889576624,9989.0,9.91432542857143
40,724,491520,678,-2.3482587562253077,0.0003,0.033675130208333334,0.2,0.0034275297,0.7832839488983154,-0.003422975540161133,390,20.392135620117188,48.72356265981992,-0.0004984128693346671,9989.0,40.77009260416667
41,722,503808,697,-2.359352575490872,0.0003,0.05157877604166667,0.2,0.005058205,0.7882829308509827,-0.001204371452331543,400,25.17456817626953,50.99548834462961,-0.0013524718984020486,9989.0,40.77009260416667
42,720,516096,715,-2.3634192602088056,0.0003,0.04049479166666667,0.2,0.0043239244,0.7874935865402222,0.00010699033737182617,410,31.312210083007812,52.38123242855072,-0.0014890006109150515,9989.0,40.77009260416667
43,722,528384,731,-2.3541980548451344,0.0003,0.04668782552083333,0.2,0.005325169,0.7847522497177124,-0.001841902732849121,420,29.349361419677734,49.58175549606482,-0.0015771570153447101,9989.0,40.77009260416667
44,720,540672,750,-2.347101740911603,0.0003,0.04340006510416667,0.2,0.004332639,0.782693088054657,-0.0011388063430786133,430,26.691679000854492,51.28641186257203,-0.0013164763626264176,9989.0,52.14820990740741
45,721,552960,766,-2.341401581093669,0.0003,0.046671549479166664,0.2,0.0048387307,0.780667245388031,0.00015878677368164062,440,23.29110336303711,51.308494245012604,-0.0010285487078363076,9989.0,52.14820990740741
46,723,565248,781,-2.3426613884667558,0.0003,0.032430013020833336,0.2,0.0032042386,0.7795079946517944,0.0007628202438354492,450,22.412172317504883,57.93737082680067,-0.0009911823616372808,9989.0,52.14820990740741
47,724,577536,797,-2.3312092648198206,0.0003,0.05132649739583333,0.2,0.0044820434,0.7770153284072876,-0.0013850927352905273,460,35.07639694213867,51.216694406668346,0.00023982723311443503,9989.0,52.14820990740741
48,725,589824,813,-2.344562307993571,0.0003,0.04334309895833333,0.2,0.005450958,0.7810466289520264,-0.0012226104736328125,470,22.578105926513672,49.53316855827968,0.00034780294736265206,9989.0,52.14820990740741
49,726,602112,828,-2.3317611085871857,0.0003,0.03893229166666667,0.2,0.0051586195,0.7715900540351868,-0.002742290496826172,480,26.0194149017334,47.62579305271308,-0.0004994345432351111,9989.0,79.61231483333334
