time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/std,train/loss,train/clip_fraction
376,-0.766976,1,5,2048,1071.0,,,,,,,,,,,
336,-0.21905566666666668,2,12,4096,1071.0,0.0064402036,0.015649632830172778,-2.8584689907729626,0.2,0.0003,-0.006806799878540914,10,-8.06168270111084,1.0169754028320312,-0.0006312374025583267,0.042919921875
334,-0.295129,3,18,6144,1071.0,0.003666251,0.00582879172579851,-2.876060004532337,0.2,0.0003,-0.004207707818204653,20,-0.7423995733261108,1.0188735723495483,0.0062347399070858955,0.019873046875
323,-0.16942971428571424,4,25,8192,1071.0,0.0035491083,0.004015079640521435,-2.8847758062183857,0.2,0.0003,-0.005386039819859434,30,-0.34500765800476074,1.027418851852417,-0.0012316913343966007,0.0533203125
318,-0.16590288888888888,5,32,10240,1071.0,0.004484632,0.00316426502467948,-2.8909374311566354,0.2,0.0003,-0.003495196413132362,40,-0.24342548847198486,1.0254919528961182,-0.009343368001282215,0.03369140625
