time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl
2048,0.030950571428571428,1090,1,1,260.0,,,,,,,,,,,
4096,0.05803400000000001,977,4,2,260.0,0.0003,0.016148749738931656,-16.886659622192383,0.2,0.02540767352038529,10,0.053369140625,-0.008462900706217625,1.0001212358474731,-2.8402048029005527,0.007170658
6144,0.05603973913043478,958,6,3,260.0,0.0003,-0.0070221805945038795,-1.4539072513580322,0.2,0.004065685549358022,20,0.04833984375,-0.007530842069536447,1.014526128768921,-2.853756468743086,0.0057359124
8192,0.05958570967741934,950,8,4,260.0,0.0003,-0.008741126395761967,-0.26823580265045166,0.2,0.0027358480285329277,30,0.071630859375,-0.006961827518534846,1.0197370052337646,-2.872333373874426,0.011055108
10240,0.051927435897435904,943,10,5,260.0,0.0003,-0.005410512909293175,-0.15322673320770264,0.2,0.0016445266957816785,40,0.03994140625,-0.006128573695605155,1.0128145217895508,-2.8691402189433575,0.006196801
12288,0.05475493617021277,940,13,6,260.0,0.0003,0.006212018895894289,-0.07905769348144531,0.2,0.001308298223921156,50,0.042529296875,-0.0065763045888161285,1.0085828304290771,-2.860199958086014,0.005870684
14336,0.06010670909090909,937,15,7,260.0,0.0003,-0.021328499540686607,-0.03104722499847412,0.2,0.0011801776423453702,60,0.04521484375,-0.007628009559994098,0.989218533039093,-2.8330807857215405,0.005710096
16384,0.06577342857142857,935,17,8,260.0,0.0003,-0.02281513810157776,0.04559272527694702,0.2,0.0010746892885435955,70,0.05341796875,-0.008318536268780008,0.9819545149803162,-2.8080897010862826,0.0051258444
18432,0.0733266,933,19,9,260.0,0.0003,0.007469790987670422,-0.01194608211517334,0.2,0.0009391426809088443,80,0.043408203125,-0.005750103163882159,0.9804679155349731,-2.801124183088541,0.006452246
20480,0.08280660256410255,932,21,10,260.0,0.0003,0.0033999260049313307,-0.04097890853881836,0.2,0.0007713267860708584,90,0.0384765625,-0.0044823390373494474,0.9801604747772217,-2.797752068191767,0.0068816324
22528,0.09156632558139534,930,24,11,260.0,0.0003,-0.003050141967833042,0.09517019987106323,0.2,0.0009699563781396137,100,0.055615234375,-0.00650109609705396,0.9597074389457703,-2.775989928096533,0.007059456
24576,0.1085850319148936,931,26,12,260.0,0.0003,-0.0023426483385264874,0.17993015050888062,0.2,0.0007609940724250918,110,0.04541015625,-0.005258860893081874,0.9606083631515503,-2.7581538550555704,0.0060435683
26624,0.11781782000000002,931,28,13,260.0,0.0003,-0.010335731320083141,0.21768897771835327,0.2,0.0008588024238633807,120,0.06474609375,-0.006834619853179902,0.9510472416877747,-2.747765374183655,0.006705132
28672,0.13426684,932,30,14,260.0,0.0003,-0.009552997536957264,0.22443270683288574,0.2,0.000855008406961133,130,0.054248046875,-0.006724956788821146,0.9414770603179932,-2.727026878297329,0.0066814837
30720,0.14270644000000002,932,32,15,260.0,0.0003,-0.03532435745000839,0.2866293787956238,0.2,0.0009103390646487241,140,0.065478515625,-0.00809673652111087,0.9379112720489502,-2.711232553422451,0.0067644324
