time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/std,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss
2179,12288,0.014705659574468082,127.25531914893617,1,5,,,,,,,,,,,
1884,24576,0.005970776595744683,128.62765957446808,2,13,-13.742364883422852,-0.0011930016468492493,10,0.99451744556427,0.00350391,-0.0077160419896245,0.2,0.0003,0.022599283854166666,0.003682742142821856,-2.83393002897501
1808,36864,-0.009970539999999998,130.0,3,20,0.08189648389816284,-0.0029572657438014477,20,1.001469373703003,0.0052179415,-0.00011295429430902004,0.2,0.0003,0.04950358072916667,0.001534852102364918,-2.8388078254957994
1769,49152,-0.018396860000000004,130.0,4,27,0.15477418899536133,-0.0016755669358341644,30,0.9871465563774109,0.0035948448,0.003977644257247448,0.2,0.0003,0.034342447916666664,0.0011224336620064908,-2.8159745973845323
1626,61440,-0.015074559999999999,130.0,5,37,0.1485016942024231,-0.0023978597262612313,40,0.9840282201766968,0.0045642406,0.007626151200383902,0.2,0.0003,0.04034016927083333,0.0007782186721821442,-2.8093777327487865
1541,73728,-0.0020689600000000003,130.0,6,47,0.09797817468643188,-0.0019889253360209596,50,0.9785811901092529,0.0043628607,-0.004633554723113775,0.2,0.0003,0.0377197265625,0.0005957855892726609,-2.798544425641497
1485,86016,-0.00449596,130.0,7,57,0.05511718988418579,-0.002805961486713689,60,0.9759259819984436,0.0048395917,0.004347166046500206,0.2,0.0003,0.042952473958333334,0.0005047419647401815,-2.792024799436331
1448,98304,-0.00589478,130.0,8,67,0.08061367273330688,-0.002156806172327682,70,0.9680977463722229,0.004579958,0.008527743630111217,0.2,0.0003,0.04590657552083333,0.0004754569045720321,-2.77835968422393
1419,110592,-0.005212249999999998,130.0,9,77,0.040920376777648926,-0.0014826567220249367,80,0.9768751859664917,0.0043339278,-0.009286508895456791,0.2,0.0003,0.03548990885416667,0.0004282401369133974,-2.7899407288680473
1397,122880,0.005152710000000001,130.0,10,87,0.03618669509887695,-0.002292010712759899,90,0.9608534574508667,0.004764467,0.014767772518098354,0.2,0.0003,0.04159342447916667,0.00041953774287624884,-2.7651914867262044
1380,135168,0.014527650000000001,130.0,11,97,0.01852935552597046,-0.002292613261912872,100,0.9620891809463501,0.0047735292,-0.014306494034826756,0.2,0.0003,0.0458251953125,0.00042852895032107575,-2.759713267534971
1400,147456,0.015978489999999998,130.0,12,105,0.01597040891647339,-0.0014339327552685668,110,0.9673810005187988,0.0045289267,-0.004985479172319174,0.2,0.0003,0.039412434895833334,0.000422667532673889,-2.7678343430161476
1417,159744,0.011062049999999999,130.0,13,112,0.009806156158447266,-0.0016980593765765662,120,0.958877444267273,0.005101494,-0.007856984622776508,0.2,0.0003,0.049235026041666664,0.000368345928556361,-2.7560625666131577
1402,172032,0.0101641,130.0,14,122,0.0069792866706848145,-0.0015832438566576457,130,0.9586453437805176,0.0048741917,0.004140359815210104,0.2,0.0003,0.046590169270833336,0.0004037158923362464,-2.7585916705429554
1389,184320,0.014734909999999997,130.0,15,132,0.00911027193069458,-0.003015135279444318,140,0.9487265348434448,0.005268889,0.0033243547659367323,0.2,0.0003,0.05853678385416667,0.0003772835292996509,-2.7334833942353725
1377,196608,0.01924694,130.0,16,142,0.015125155448913574,-0.0028142216255218956,150,0.936558723449707,0.0056991703,-0.0006486910860985518,0.2,0.0003,0.056502278645833334,0.00036252832851459973,-2.708196242401997
1367,208896,0.021886259999999998,130.0,17,152,0.0073354244232177734,-0.003655373918384915,160,0.927943766117096,0.00635529,0.00793023407459259,0.2,0.0003,0.06941731770833333,0.0003423949711380677,-2.6909108890841407
1358,221184,0.02131628,130.0,18,162,0.019569754600524902,-0.0014634298159459528,170,0.9210604429244995,0.0055289753,-0.013642868027091026,0.2,0.0003,0.05660807291666667,0.0003962832220925823,-2.672336270784338
1350,233472,0.0277982,130.0,19,172,0.015051782131195068,-0.00190680271104308,180,0.9032331705093384,0.0064617805,0.0037233822513371706,0.2,0.0003,0.0625244140625,0.00037217022097593146,-2.6409841464211543
1362,245760,0.02912801,130.0,20,180,0.02530771493911743,-0.0016868024543024755,190,0.8947832584381104,0.004951332,-0.0005117514519952238,0.2,0.0003,0.06390787760416666,0.00037559388812648346,-2.6172349068025746
1374,258048,0.03160887,130.0,21,187,0.03794407844543457,-0.002282162120657934,200,0.9034833312034607,0.00594902,-0.016153434291481972,0.2,0.0003,0.060652669270833334,0.0003569172326175855,-2.6311367666969696
1385,270336,0.028955330000000005,130.0,22,195,0.03570276498794556,-0.0021192489240396146,210,0.8934881687164307,0.006225076,0.005938755348324776,0.2,0.0003,0.06688639322916666,0.00037508317102492584,-2.614704477538665
1395,282624,0.01773054,130.0,23,202,0.03990405797958374,-0.0025265855709828127,220,0.8878197073936462,0.005686788,0.0021575952414423227,0.2,0.0003,0.06652018229166666,0.0003676314939108731,-2.6020366144677003
1405,294912,0.02175321,130.0,24,209,0.04585897922515869,-0.0010357400484887573,230,0.8880194425582886,0.004760617,-0.002595115453004837,0.2,0.0003,0.0589599609375,0.00035109571999025014,-2.5997291831920544
1396,307200,0.032823809999999995,130.0,25,220,0.03149902820587158,-0.0023907621017618414,240,0.8801729679107666,0.0067414357,-0.01415520254522562,0.2,0.0003,0.07039388020833333,0.0003476950357480746,-2.5828006754318875
1388,319488,0.031131950000000002,130.0,26,230,0.04687577486038208,-0.0020678246225240096,250,0.8762404322624207,0.0068790186,0.003406776115298271,0.2,0.0003,0.06676432291666666,0.00038152113628105627,-2.578832354893287
1381,331776,0.031972610000000005,130.0,27,240,0.027244985103607178,-0.003009137459351526,260,0.8634030818939209,0.008186829,0.016771214082837105,0.2,0.0003,0.08472493489583334,0.0003636444654451528,-2.5491743573298056
1389,344064,0.03054316,130.0,28,247,0.04344278573989868,-0.0015421808272852407,270,0.8445795178413391,0.0087685995,-0.0013288315385580063,0.2,0.0003,0.0817626953125,0.00037024829988088943,-2.5087456038842597
1397,356352,0.01322154,130.0,29,255,0.0835883617401123,-0.002611928449429494,280,0.8401644229888916,0.006762818,0.005750438664108515,0.2,0.0003,0.07959798177083334,0.00035189603923602896,-2.4961474002649386
1404,368640,0.014120789999999996,130.0,30,262,0.06831789016723633,-0.002413301099295495,290,0.8292399644851685,0.008203181,0.006709079258143902,0.2,0.0003,0.08619791666666667,0.000341579364824914,-2.4683080052336055
1411,380928,0.02336559,130.0,31,269,0.06489282846450806,-0.0021248147642230226,300,0.8168022632598877,0.007856919,0.007678785361349583,0.2,0.0003,0.08880208333333334,0.00034019463646473014,-2.4420971779773635
1418,393216,0.02745201,130.0,32,277,0.07036936283111572,-0.001255410683249162,310,0.811213493347168,0.0074846796,0.010976088233292103,0.2,0.0003,0.08224283854166667,0.00036446309231905614,-2.42463614034156
1424,405504,0.03513647,130.0,33,284,0.07509094476699829,-0.0010149125802854542,320,0.7968837022781372,0.0064659175,-0.016303328797221184,0.2,0.0003,0.0845703125,0.0003416690524090882,-2.39204512052238
1430,417792,0.01491549,130.0,34,292,0.09412974119186401,-0.0014161592017747657,330,0.7873852252960205,0.008062101,-0.029330110177397728,0.2,0.0003,0.09009602864583334,0.00037152722904920665,-2.365899703030785
1436,430080,0.008453129999999998,130.0,35,299,0.1163492202758789,-0.001320363933700719,340,0.7841814756393433,0.007941075,-0.013009771704673767,0.2,0.0003,0.0850830078125,0.0004280675723748573,-2.3526786230504513
1441,442368,0.01884762,130.0,36,306,0.11059302091598511,-0.0011189254664714099,350,0.7762299180030823,0.0068326048,0.0011208996875211596,0.2,0.0003,0.08885904947916666,0.00036989292407270115,-2.3367581085612374
