rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_range,train/n_updates
0.25098,1,2048,1308,1070.0,1,,,,,,,,,,,
0.08731833333333332,3,4096,1148,1070.0,2,0.024560546875,-12.183270454406738,0.0003,0.033306632190942764,-2.830828307569027,0.024548608290206175,0.0062462157,-0.004773459081479814,0.9923988580703735,0.2,10
0.1587362,5,6144,1136,1070.0,3,0.03564453125,-2.052863121032715,0.0003,-0.009078532457351685,-2.8284995295107365,0.005502395554503892,0.0052103545,-0.0070360469755542,0.9976007342338562,0.2,20
0.09844357142857142,7,8192,1131,1070.0,4,0.027099609375,-1.0516808032989502,0.0003,-0.008398388512432575,-2.8242877915501596,0.0031016926128359045,0.004700032,-0.004478032975748647,0.990739643573761,0.2,30
0.01831622222222222,9,10240,1128,1070.0,5,0.084619140625,-0.6000814437866211,0.0003,0.007122146897017956,-2.807038168609142,0.0025705315892992076,0.008813277,-0.00898986101092305,0.9806588292121887,0.2,40
0.11685736363636363,11,12288,1089,1070.0,6,0.05703125,-0.4406707286834717,0.0003,-0.03176366910338402,-2.802518606185913,0.0023004143200523685,0.0052933563,-0.008159601247461979,0.9822733402252197,0.2,50
0.12414169230769231,13,14336,1059,1070.0,7,0.039501953125,-0.3564518690109253,0.0003,-0.029227634891867638,-2.799069032073021,0.0017819909913669107,0.0048895394,-0.006326542804890778,0.9777264595031738,0.2,60
0.07193853333333333,15,16384,1065,1070.0,8,0.0400390625,-0.22498416900634766,0.0003,-0.008222290314733982,-2.7805634424090386,0.0017142496322776423,0.006357328,-0.005435110129474197,0.9660771489143372,0.2,70
0.03307905882352941,17,18432,1070,1070.0,9,0.07529296875,-0.3558591604232788,0.0003,-8.241826435551047e-05,-2.748409952968359,0.001573149704563548,0.0073398612,-0.008685772454191465,0.948671817779541,0.2,80
0.054754000000000004,19,20480,1075,1070.0,10,0.0462890625,-0.15725994110107422,0.0003,-0.015086437575519085,-2.7138495475053785,0.0015116049746211502,0.0054112193,-0.006452265361440368,0.9326815605163574,0.2,90
0.052761190476190475,21,22528,1059,1070.0,11,0.041259765625,-0.14206528663635254,0.0003,-0.012628024443984032,-2.698226848989725,0.0012288194893699256,0.0042541157,-0.004963719872466754,0.931941032409668,0.2,100
0.06382259090909091,23,24576,1045,1070.0,12,0.047705078125,-0.17045271396636963,0.0003,-0.015702564269304276,-2.7075461491942407,0.0013337073711227275,0.0062300824,-0.0069579674091073684,0.939684271812439,0.2,110
0.07982854166666667,25,26624,1035,1070.0,13,0.06640625,-0.1768399477005005,0.0003,-0.01696401834487915,-2.6979873523116114,0.0011055622690037126,0.008225413,-0.0067253388595418075,0.9271429777145386,0.2,120
0.11124926923076923,27,28672,1041,1070.0,14,0.05615234375,-0.18655180931091309,0.0003,-0.015153162181377411,-2.681210258603096,0.0013936317760453675,0.00638377,-0.007080338863306679,0.9215851426124573,0.2,130
0.1377745,29,30720,1046,1070.0,15,0.04287109375,-0.1096581220626831,0.0003,-0.014856765046715736,-2.6715083450078962,0.0015124096069484949,0.0047648624,-0.0053330445676692765,0.9183075428009033,0.2,140
0.14436206666666665,31,32768,1050,1070.0,16,0.0595703125,-0.11660826206207275,0.0003,-0.0037045590579509735,-2.6572871252894403,0.0011041874731745338,0.0071014427,-0.006972891328769037,0.9096372127532959,0.2,150
0.16067553125,33,34816,1039,1070.0,17,0.0625,-0.08964681625366211,0.0003,-0.001505936263129115,-2.639837122708559,0.0009499260475422488,0.005692319,-0.008817640825145644,0.9030083417892456,0.2,160
0.16370876470588236,35,36864,1030,1070.0,18,0.070361328125,-0.08880198001861572,0.0003,0.004446431063115597,-2.6276148311793803,0.001126729823408823,0.006242191,-0.0073879827541531995,0.8992840647697449,0.2,170
0.15848561111111112,38,38912,1023,1070.0,19,0.07197265625,-0.04662954807281494,0.0003,-0.007564489729702473,-2.6294710583984853,0.0010516775415453593,0.0084536355,-0.008641647297190502,0.9009336233139038,0.2,180
0.1736333157894737,40,40960,1016,1070.0,20,0.074462890625,-0.06287860870361328,0.0003,-0.016720835119485855,-2.6048749879002573,0.000933531901682727,0.007785142,-0.007627313902776223,0.8804548978805542,0.2,190
0.18114385,42,43008,1010,1070.0,21,0.061376953125,-0.049488186836242676,0.0003,-0.007452104240655899,-2.57590172290802,0.0009595467667168122,0.0072033033,-0.008489667548565194,0.873468279838562,0.2,200
0.17656721428571429,44,45056,1005,1070.0,22,0.064453125,-0.05592954158782959,0.0003,-0.01576169952750206,-2.5521094225347043,0.0010135768894542706,0.006705331,-0.006169720859907102,0.8615469932556152,0.2,210
0.18982549999999998,47,47104,1000,1070.0,23,0.07080078125,0.005575001239776611,0.0003,-0.01812123693525791,-2.5248214013874533,0.0011523432169269654,0.00908798,-0.0076488094055093825,0.8499373197555542,0.2,220
0.1837944222222222,49,49152,996,1070.0,24,0.05166015625,-0.06061148643493652,0.0003,-0.007933804765343666,-2.511204148828983,0.001081029343913542,0.007096325,-0.003414917220652569,0.8493908643722534,0.2,230
0.19850268085106382,51,51200,992,1070.0,25,0.07353515625,0.017648935317993164,0.0003,-0.026601074263453484,-2.5029105208814144,0.001152401278341131,0.008268749,-0.007088923751143739,0.8428534269332886,0.2,240
