time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/loss,train/explained_variance,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/std,train/clip_range
1,1071.0,433,4,2048,-0.210588,,,,,,,,,,,
2,1071.0,345,11,4096,0.012961666666666668,0.0003,0.051806640625,-0.012945013120770454,-6.624114513397217,-2.8463862247765066,10,-0.006410727160982788,0.017422327338135802,0.0079147555,1.0074490308761597,0.2
3,1071.0,338,18,6144,-0.0889532,0.0003,0.05556640625,0.0010235505178570747,-0.4333080053329468,-2.8517973154783247,20,-0.0038794402076746336,0.009051663678110344,0.00479856,1.00636625289917,0.2
4,1071.0,332,24,8192,-0.16463871428571428,0.0003,0.014453125,-0.024332428351044655,-0.22036957740783691,-2.84598026573658,30,-0.0017451641673687846,0.005841126328596147,0.003352574,1.003636121749878,0.2
5,1071.0,324,31,10240,-0.06714377777777777,0.0003,0.057470703125,0.004829107318073511,-0.1488175392150879,-2.838116713613272,40,-0.0030694989443873057,0.003881373748117767,0.007357533,0.9980497360229492,0.2
