time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/n_updates,train/std
1,0.024601,1071.0,202,10,2048,,,,,,,,,,,
2,0.07003000000000001,1071.0,191,21,4096,0.0003,0.03115234375,-0.005576394498348236,-20.639572143554688,0.021206151990918444,-0.0049027438915800305,0.2,-2.8182020716369154,0.0053527905,10,0.9827574491500854
3,0.20382040000000004,1071.0,187,32,6144,0.0003,0.021533203125,0.00016556738410145044,-2.2793822288513184,0.00350471138372086,-0.003955514302651864,0.2,-2.7924180418252944,0.003422934,20,0.9726626873016357
4,-0.03255999999999997,1071.0,181,45,8192,0.0003,0.044287109375,-0.025342874228954315,-1.3620522022247314,0.0022497046662465436,-0.004798621570080286,0.2,-2.7761274859309197,0.0053621717,30,0.9668576717376709
5,0.012537666666666676,1071.0,178,57,10240,0.0003,0.05,-0.005111129954457283,-0.6342697143554688,0.0022988217264355627,-0.004911821616042289,0.2,-2.7794786162674425,0.0044904994,40,0.9731995463371277
6,0.06703936363636365,1071.0,180,68,12288,0.0003,0.040771484375,-0.004645135253667831,-0.5506000518798828,0.001690572801817325,-0.005471379130904097,0.2,-2.7839220583438875,0.005517932,50,0.9730973243713379
