Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
999,100888,16029.190000000011,-1.0,2,0.0,0.49928481686029513,True,90,68,158,"{'r': 0.499285, 'l': 989, 't': 729.529157}",False
999,101877,23752.93000000001,-0.40100995,0,0.0,0.8956916953613943,True,92,52,144,"{'r': 0.895692, 'l': 989, 't': 735.041603}",False
999,102866,23834.390000000018,-0.08843207,2,0.0,0.8960971473225096,True,101,58,159,"{'r': 0.896097, 'l': 989, 't': 745.120313}",False
999,103855,23931.16,-0.11854763,1,0.0,0.9006096338712337,True,91,52,143,"{'r': 0.90061, 'l': 989, 't': 750.607219}",False
999,104844,25209.6,-0.20477653,0,0.0,0.9635866480314078,True,84,63,147,"{'r': 0.963587, 'l': 989, 't': 760.365814}",False
999,105833,21288.03999999999,-0.24399641,2,0.0,0.7868138804739739,True,91,64,155,"{'r': 0.786814, 'l': 989, 't': 765.745207}",False
999,106822,21742.16,-0.57324785,2,0.0,0.8069483285424393,True,94,56,150,"{'r': 0.806948, 'l': 989, 't': 775.380321}",False
999,107811,22949.31,0.24340221,1,0.0,0.8616963728153525,True,90,58,148,"{'r': 0.861696, 'l': 989, 't': 780.769381}",False
999,108800,18167.340000000004,-0.798667,2,0.0,0.625220087642777,True,84,60,144,"{'r': 0.62522, 'l': 989, 't': 790.586887}",False
999,109789,15374.120000000008,0.8007518,1,0.0,0.45560716258495676,True,88,64,152,"{'r': 0.455607, 'l': 989, 't': 796.01299}",False
999,110778,21634.020000000004,-0.5025203,2,0.0,0.8025301166200733,True,90,65,155,"{'r': 0.80253, 'l': 989, 't': 805.654608}",False
999,111767,18171.690000000002,-0.7901602,2,0.0,0.6269237690823324,True,92,53,145,"{'r': 0.626924, 'l': 989, 't': 811.093151}",False
999,112756,12743.379999999997,-0.49286404,1,0.0,0.2688368113550824,True,79,73,152,"{'r': 0.268837, 'l': 989, 't': 821.003767}",False
999,113745,17469.24,-0.2513926,1,0.0,0.5833082839861382,True,83,61,144,"{'r': 0.583308, 'l': 989, 't': 826.522052}",False
999,114734,22673.670000000002,-1.0,2,0.0,0.8494757270158926,True,92,53,145,"{'r': 0.849476, 'l': 989, 't': 836.474236}",False
999,115723,24801.969999999998,0.6297587,2,0.0,0.9364638827270937,True,92,59,151,"{'r': 0.936464, 'l': 989, 't': 841.912505}",False
999,116712,24503.560000000005,0.5619147,1,0.0,0.9277973458909706,True,96,52,148,"{'r': 0.927797, 'l': 989, 't': 847.373015}",False
999,117701,17560.290000000008,0.029163778,1,0.0,0.5966011144862671,True,85,66,151,"{'r': 0.596601, 'l': 989, 't': 857.160898}",False
999,118690,30894.400000000005,-0.5629127,2,0.0,1.1616547082677882,True,104,48,152,"{'r': 1.161655, 'l': 989, 't': 862.553702}",False
999,119679,21080.219999999994,0.11428568,1,0.0,0.7775206722223843,True,94,58,152,"{'r': 0.777521, 'l': 989, 't': 872.141177}",False
999,120668,20356.72,-0.010735989,0,0.0,0.7432344450729299,True,99,54,153,"{'r': 0.743234, 'l': 989, 't': 877.580634}",False
999,121657,19430.199999999993,-1.0,2,0.0,0.6957058442856294,True,88,57,145,"{'r': 0.695706, 'l': 989, 't': 887.489894}",False
999,122646,21629.289999999997,-0.5370438,2,0.0,0.8021002123990157,True,84,51,135,"{'r': 0.8021, 'l': 989, 't': 892.950559}",False
