time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/std,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range
396,1,2048,-0.362589,1071.0,5,,,,,,,,,,,
331,2,4096,-0.371572,1071.0,12,0.013815662823617458,0.9869162440299988,-3.8993473052978516,-2.8241741620004177,0.0003,-0.006947026590933092,0.0063105924,10,0.045166015625,0.01909643251347006,0.2
322,3,6144,-0.15631460000000003,1071.0,19,-0.01512916199862957,0.9767193794250488,-0.2376539707183838,-2.801051211357117,0.0003,-0.006034244343754836,0.0065481793,20,0.046044921875,0.012024157652194844,0.2
319,4,8192,-0.18085471428571426,1071.0,25,-0.008694859221577644,0.9716149568557739,-0.10743701457977295,-2.7862645849585532,0.0003,-0.004653341085213469,0.0041025598,30,0.021826171875,0.007928714634908829,0.2
323,5,10240,-0.17711811111111112,1071.0,31,-0.0199822336435318,0.9683676958084106,-0.06464684009552002,-2.7755681931972505,0.0003,-0.007232156087411568,0.0073153535,40,0.067138671875,0.0059275364419590915,0.2
326,6,12288,-0.1951594545454545,1071.0,37,-0.009985644370317459,0.9879079461097717,-0.0901803970336914,-2.7974214695394037,0.0003,-0.00413193336353288,0.0053745653,50,0.0306640625,0.0036683527319837594,0.2
