time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/std
9,1,1247.5,12288,-0.20992899999999998,1238,,,,,,,,,,,
22,2,1455.25,24576,-0.15949825,1115,-0.002318716786976438,0.01389027566171232,-0.00993870198726654,0.028572591145833333,-2.8248814176768064,0.0003,10,-18.166040420532227,0.2,0.004081285,0.9903188943862915
34,3,1544.2857142857142,36864,-0.08269914285714286,1081,-0.0025727479631314056,0.0023155331498552795,0.0056159477680921555,0.056624348958333334,-2.7937165667613346,0.0003,20,-1.2235708236694336,0.2,0.00582953,0.9788652658462524
46,4,1570.6666666666667,49152,-0.05913399999999999,1063,-0.0014020296521872902,0.0014387488922087263,-0.007628971245139837,0.05498860677083333,-2.8017011042684317,0.0003,30,-0.43047165870666504,0.2,0.006629668,0.9794990420341492
58,5,1593.75,61440,-0.026445499999999993,1053,-0.0016497043315515233,0.001018082728508792,0.0012186722597107291,0.056298828125,-2.805293067668875,0.0003,40,-0.23415565490722656,0.2,0.0059195217,0.9854769706726074
70,6,1603.642857142857,73728,-0.044008357142857134,1046,-0.0011635293553505714,0.000833630347460712,0.0033151882234960794,0.05602213541666667,-2.7973718596001467,0.0003,50,-0.06818628311157227,0.2,0.007011736,0.9760229587554932
82,7,1614.1176470588234,86016,-0.021371117647058825,1042,-0.0015268156683305278,0.0007428787977611743,-0.024288179352879524,0.054427083333333334,-2.79475892521441,0.0003,60,-0.017140865325927734,0.2,0.0055657825,0.9794862270355225
94,8,1619.2631578947369,98304,0.011165789473684207,1040,-0.0005325353442458436,0.0006434721912986182,-0.013324813917279243,0.0668212890625,-2.797178881863753,0.0003,70,-0.008095979690551758,0.2,0.006395427,0.9789196252822876
106,9,1625.2272727272727,110592,0.016691181818181813,1037,2.4641705385874958e-05,0.0006414991877287927,-0.018249396234750748,0.06614583333333333,-2.789840673531095,0.0003,80,0.020807981491088867,0.2,0.0065697543,0.9778801202774048
118,10,1628.375,122880,0.016597999999999998,1034,-0.0021187595576824,0.0006209320071472272,0.008417787961661816,0.06625162760416667,-2.8000668990115325,0.0003,90,0.013446152210235596,0.2,0.007871484,0.9824786186218262
