time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl
1129,1,206.0,2048,0.06869588888888888,1,,,,,,,,,,,
1028,3,206.0,4096,0.06371805263157895,2,0.2,0.0003,-0.003982056488166563,0.9931932687759399,0.027978515625,0.013262191908142994,10,0.0046397242695093155,-2.8312211707234383,-9.065046310424805,0.0052387724
998,6,206.0,6144,0.012235965517241381,3,0.2,0.0003,-0.004705264623044059,0.9931191205978394,0.03193359375,0.0034532392099208666,20,0.005235619843006134,-2.824320763349533,-0.7193895578384399,0.00495332
985,8,206.0,8192,0.022345794871794878,4,0.2,0.0003,-0.0034085281717125327,0.9956122636795044,0.027294921875,0.0021717766059737185,30,-0.013557582162320614,-2.825359398126602,-0.15551161766052246,0.0044803508
976,10,206.0,10240,-0.007578408163265303,5,0.2,0.0003,-0.004748056692187674,0.9891526699066162,0.0296875,0.0015999221031961497,40,-0.0058629149571061134,-2.8243728183209895,-0.07215368747711182,0.004179229
972,12,206.0,12288,0.008709118644067796,6,0.2,0.0003,-0.007278405167744495,0.997235894203186,0.063671875,0.0012256830686965259,50,-0.0129119623452425,-2.8268127508461474,-0.07577705383300781,0.0054412596
