time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
88064,133,43,657,-2.657240415364504,24.588272094726562,0.0003,49.73819388151169,0.01265736,0.120556640625,0.9086400866508484,0.2,-0.0008615528684458695,420,-0.01378941535949707,-272.06972225000004,9989.0
90112,136,44,658,-2.653357057273388,23.933530807495117,0.0003,48.847735095024106,0.010104215,0.094873046875,0.9128999710083008,0.2,-0.0043716059619328005,430,-0.0017267465591430664,-285.43419755555556,9989.0
92160,139,45,658,-2.651858624815941,21.031497955322266,0.0003,44.73731378912926,0.00825987,0.070166015625,0.9090270400047302,0.2,-0.001777206134283915,440,0.001037299633026123,-285.43419755555556,9989.0
94208,143,46,658,-2.6564232133328916,16.168752670288086,0.0003,42.991710567474364,0.008987038,0.080224609375,0.9173613786697388,0.2,-0.00544893134792801,450,-0.0012607574462890625,-285.43419755555556,9989.0
96256,146,47,658,-2.662833396345377,25.9357967376709,0.0003,51.60658073425293,0.011398321,0.11337890625,0.9140211939811707,0.2,-0.0026787574264744763,460,-0.0007925033569335938,-285.43419755555556,9989.0
98304,149,48,656,-2.6772186502814295,20.500993728637695,0.0003,47.033967739343645,0.008241856,0.072509765625,0.9303611516952515,0.2,-0.0047476716667006254,470,-0.0016618967056274414,-285.43419755555556,9989.0
100352,153,49,654,-2.682090670615435,26.94547462463379,0.0003,53.20822912454605,0.0071189357,0.077783203125,0.9217530488967896,0.2,-0.003924774055485613,480,-0.0005390644073486328,-281.5756667,9989.0
102400,156,50,653,-2.6806883335113527,27.76194953918457,0.0003,54.35661058425903,0.007605521,0.058447265625,0.9282854795455933,0.2,-0.0051699204384931365,490,-0.002411961555480957,-281.5756667,9989.0
104448,160,51,651,-2.684885893762112,30.93507957458496,0.0003,53.06057035923004,0.005599684,0.04853515625,0.9259172677993774,0.2,-0.0038976390555035324,500,-0.0008453130722045898,-281.5756667,9989.0
106496,163,52,651,-2.694275186210871,26.91275978088379,0.0003,54.897643339633944,0.0069635957,0.092724609375,0.933510959148407,0.2,-0.003519733317079954,510,-0.00019800662994384766,-281.5756667,9989.0
108544,166,53,651,-2.7061261378228663,32.35823059082031,0.0003,51.736556673049925,0.010730226,0.1009765625,0.9382969737052917,0.2,-0.003611424349946901,520,-0.0010436773300170898,-281.5756667,9989.0
110592,169,54,652,-2.706890483945608,22.458112716674805,0.0003,55.111156058311465,0.009237798,0.09462890625,0.9359852075576782,0.2,-0.004683725918584969,530,0.004911959171295166,-244.3126768181818,9989.0
112640,172,55,652,-2.7024711407721043,21.058515548706055,0.0003,45.625211757421496,0.0128294695,0.118212890625,0.9307668209075928,0.2,-0.004431511762959417,540,-0.004439592361450195,-244.3126768181818,9989.0
114688,175,56,652,-2.692495784163475,19.047019958496094,0.0003,42.717991811037066,0.0098059755,0.1103515625,0.9304150938987732,0.2,-0.004616889175667893,550,0.011747181415557861,-244.3126768181818,9989.0
116736,179,57,650,-2.6956469915807246,18.728893280029297,0.0003,42.47764213085175,0.012932846,0.118701171875,0.9326164126396179,0.2,-0.004531209675769787,560,-0.003652811050415039,-244.3126768181818,9989.0
118784,182,58,649,-2.7032897546887398,25.23542022705078,0.0003,55.46182698011398,0.0073094163,0.08671875,0.9345804452896118,0.2,-0.0032698727896786294,570,-0.010921835899353027,-244.3126768181818,9989.0
120832,186,59,648,-2.6977381289005278,21.154464721679688,0.0003,54.05592777729034,0.011912942,0.10009765625,0.9298828840255737,0.2,-0.004404704326589126,580,-0.0005803108215332031,-236.19953708333333,9989.0
122880,189,60,648,-2.684744171053171,15.074278831481934,0.0003,50.34730417132378,0.010749606,0.117041015625,0.9220662117004395,0.2,0.00018814337163348683,590,0.001598656177520752,-236.19953708333333,9989.0
124928,192,61,648,-2.6766599118709564,34.569759368896484,0.0003,58.7490340590477,0.013864106,0.130126953125,0.9247746467590332,0.2,-0.00030011585186002777,600,0.0004749298095703125,-236.19953708333333,9989.0
126976,196,62,647,-2.676015701889992,21.76460075378418,0.0003,41.906167125701906,0.010708081,0.1015625,0.920950174331665,0.2,-0.000576536548032891,610,0.0012183189392089844,-236.19953708333333,9989.0
129024,199,63,647,-2.665376266092062,25.599153518676758,0.0003,44.85002626776695,0.008778281,0.071337890625,0.9153218269348145,0.2,-0.0008883854810846969,620,0.0028024911880493164,-236.19953708333333,9989.0
131072,202,64,648,-2.6494934439659117,34.675331115722656,0.0003,55.35025800466538,0.009489398,0.107275390625,0.9053288698196411,0.2,-0.0014082422349019907,630,-0.012107491493225098,-230.16534192307694,9989.0
133120,205,65,648,-2.638586252182722,22.268457412719727,0.0003,60.23064751625061,0.013772037,0.113134765625,0.9059080481529236,0.2,-0.0040462940123688895,640,-0.0022242069244384766,-230.16534192307694,9989.0
135168,208,66,648,-2.6443473629653456,29.182863235473633,0.0003,60.75030839443207,0.012323683,0.0970703125,0.9093626141548157,0.2,-0.0014361779423779808,650,-0.0020596981048583984,-230.16534192307694,9989.0
137216,211,67,649,-2.6487426280975344,25.963537216186523,0.0003,54.028490698337556,0.012630666,0.10810546875,0.9116474390029907,0.2,-0.004252424213336781,660,0.0016709566116333008,-230.16534192307694,9989.0
139264,214,68,649,-2.6509468518197536,18.794546127319336,0.0003,45.77934428453445,0.0071032136,0.087548828125,0.9132590293884277,0.2,-0.004091801370668691,670,0.0004011988639831543,-230.16534192307694,9989.0
141312,218,69,648,-2.6501122072339056,22.836708068847656,0.0003,51.94334344863891,0.007119393,0.080859375,0.9084659814834595,0.2,-0.005690839096496347,680,0.0008941888809204102,-200.12392864285715,9989.0
143360,221,70,646,-2.633765222877264,21.735687255859375,0.0003,41.03998301625252,0.010678964,0.1052734375,0.8981502056121826,0.2,-0.003724204265017761,690,-0.0026836395263671875,-200.12392864285715,9989.0
145408,224,71,647,-2.6187396995723247,20.01865005493164,0.0003,48.74378262758255,0.011277789,0.11943359375,0.8976975679397583,0.2,-0.0033088824537117036,700,-0.00045168399810791016,-200.12392864285715,9989.0
