time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/loss,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/std,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss
1,1,-0.052594777777777775,1078,206.0,2048,,,,,,,,,,,
2,4,-0.03616657894736843,996,206.0,4096,0.02136136032640934,0.2,-23.712711334228516,0.009940543265111046,0.0375,0.0045018336,0.985013484954834,0.0003,10,-2.8210430182516575,-0.004740996984764934
3,6,-0.03197100000000001,979,206.0,6144,0.0056104110553860664,0.2,-2.4470810890197754,0.0010409987615275895,0.03837890625,0.0052055316,0.9860638380050659,0.0003,20,-2.8082787483930587,-0.0045325146784307435
4,8,-0.02707743589743589,966,206.0,8192,-0.012008496560156345,0.2,-0.7298508882522583,0.0006086623050578055,0.0578125,0.0076985806,0.9806889295578003,0.0003,30,-2.80453709512949,-0.007587397014140152
5,10,-0.015218530612244898,944,206.0,10240,-0.0060386075638234615,0.2,-0.5263354778289795,0.0004884166572537652,0.05556640625,0.0064585535,0.9773691892623901,0.0003,40,-2.795512115955353,-0.006771511601982638
6,13,-0.004928966101694917,941,206.0,12288,-0.01386197004467249,0.2,-0.4058414697647095,0.00036182471644679025,0.048046875,0.005163364,0.9732292890548706,0.0003,50,-2.7885991439223288,-0.005895639938535169
