time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/explained_variance,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/entropy_loss,train/std
2,1,-0.569858,2048,1071.0,965,,,,,,,,,,,
4,2,-0.40693399999999996,4096,1071.0,899,-8.28663158416748,0.0034789913,0.2,0.00021871738135814667,10,0.0003,-0.004338986187940463,0.040576171875,0.02964145831792848,-2.8212141789495946,0.9843264818191528
6,3,-0.2528072,6144,1071.0,890,-0.322129487991333,0.0045894273,0.2,-0.006369924172759056,20,0.0003,-0.005264982221706305,0.063037109375,0.0139460743725067,-2.8201609455049037,0.9987043142318726
9,4,-0.17763014285714288,8192,1071.0,884,-0.1525263786315918,0.004494717,0.2,-0.01259532943367958,30,0.0003,-0.005161648998910096,0.04931640625,0.008966318651800975,-2.8329384192824363,0.9942094683647156
11,5,-0.13517788888888888,10240,1071.0,880,-0.1096886396408081,0.0068922206,0.2,0.013742515817284584,40,0.0003,-0.005577316481503658,0.052099609375,0.0063473512320342705,-2.821760270744562,0.9894044399261475
14,6,-0.11347272727272725,12288,1071.0,876,-0.05427742004394531,0.009419255,0.2,-0.018105486407876015,50,0.0003,-0.0049024101143004374,0.049169921875,0.004247435199067695,-2.8128259658813475,0.986211895942688
