time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/entropy_loss,train/clip_range,train/std,train/clip_fraction
1,2048,-0.03151400000000001,1,1094,206.0,,,,,,,,,,,
4,4096,-0.034205894736842116,2,991,206.0,-0.003627710515866056,10,0.0003,0.004118881,-14.720934867858887,0.02506101098988438,0.002480564173310995,-2.83382735773921,0.2,0.9958609938621521,0.021826171875
6,6144,-0.03016124137931034,3,968,206.0,-0.00533390243363101,20,0.0003,0.0058128284,-0.2895773649215698,0.007092900521092816,0.019445672631263733,-2.808818303793669,0.2,0.9766664505004883,0.034033203125
8,8192,-0.02618794871794872,4,956,206.0,-0.0035295920126372947,30,0.0003,0.0042154025,0.14010107517242432,0.003923262801981764,-0.002236407482996583,-2.7719479121267794,0.2,0.9608429670333862,0.023779296875
10,10240,0.008836734693877548,5,948,206.0,-0.00632101371884346,40,0.0003,0.0052353274,0.29086875915527344,0.0027568231143959565,-0.004392404109239578,-2.7535890862345695,0.2,0.9563508033752441,0.039453125
13,12288,0.011995067796610168,6,944,206.0,-0.006598182636662386,50,0.0003,0.005452614,0.33328771591186523,0.0021173948105570163,-0.027685802429914474,-2.7584271229803563,0.2,0.9662148952484131,0.044580078125
15,14336,0.018557623188405797,7,942,206.0,-0.0057375470292754475,60,0.0003,0.005790403,0.19870728254318237,0.0014796886172916857,0.004493090324103832,-2.781321804970503,0.2,0.9765031337738037,0.046826171875
17,16384,0.018352924050632907,8,937,206.0,-0.006026555750577245,70,0.0003,0.0082307,0.2220800518989563,0.0012145991178840632,-0.010653181001543999,-2.774547052383423,0.2,0.9635777473449707,0.0591796875
19,18432,0.032407011235955054,9,932,206.0,-0.0033523596488521435,80,0.0003,0.006740328,0.10801476240158081,0.0012919983260871958,0.022598804906010628,-2.7562436632812024,0.2,0.956990122795105,0.0484375
22,20480,0.03503863636363636,10,930,206.0,-0.006011434979154728,90,0.0003,0.006345515,0.02884572744369507,0.0012745544983772561,0.006032788194715977,-2.7394483126699924,0.2,0.9482594132423401,0.048779296875
24,22528,0.04752988999999999,11,926,206.0,-0.0055357963923597705,100,0.0003,0.0068738484,-0.07821178436279297,0.0009986890763684642,-0.0011180785950273275,-2.7249105267226694,0.2,0.9417680501937866,0.052587890625
