time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/learning_rate
1,2048,258.0,1085,1,-0.11674342857142857,,,,,,,,,,,
2,4096,258.0,986,4,-0.10061086666666666,-0.003794422061764635,-2.8389960423111917,0.0054315208,1.002745270729065,-9.533895492553711,10,0.038134765625,-0.010279987007379532,0.013427640571899246,0.2,0.0003
3,6144,258.0,955,6,-0.08233404347826088,-0.006147378565219697,-2.8384909562766554,0.0061347876,0.996407687664032,-0.13893818855285645,20,0.03232421875,-0.01867998205125332,0.005005932002677582,0.2,0.0003
4,8192,258.0,939,8,-0.06140458064516129,-0.0073563353769714014,-2.8243708431720735,0.0073420675,0.9896533489227295,0.021690070629119873,30,0.0619140625,0.005856744945049286,0.003520705890332465,0.2,0.0003
5,10240,258.0,929,11,-0.06167466666666666,-0.005865577299846336,-2.829935443401337,0.0046866043,1.0012271404266357,0.062427401542663574,40,0.04033203125,0.000576837221160531,0.0022231395705603063,0.2,0.0003
6,12288,258.0,923,13,-0.05093136170212766,-0.004952197191596497,-2.8355867095291614,0.005090862,0.9960476160049438,0.07614481449127197,50,0.033349609375,-0.013719583861529827,0.0016100888640721677,0.2,0.0003
7,14336,258.0,920,15,-0.039163618181818176,-0.005142280636937358,-2.8311177976429462,0.0042403834,0.9968770742416382,0.13182002305984497,60,0.0322265625,0.00393424229696393,0.0013175077217965736,0.2,0.0003
8,16384,258.0,914,17,-0.029938920634920634,-0.008283768958062866,-2.8326489947736264,0.0067678643,0.9989832639694214,0.06307262182235718,70,0.06513671875,-0.014718967489898205,0.001306690147612244,0.2,0.0003
9,18432,258.0,913,20,-0.024423239436619726,-0.007827142815222033,-2.820353285223246,0.0054772003,0.9852839708328247,0.04285538196563721,80,0.051220703125,-0.03348762169480324,0.0010587782857328421,0.2,0.0003
10,20480,258.0,913,22,-0.01971872151898734,-0.007909146294696256,-2.810672180354595,0.00649965,0.9876314997673035,0.04356163740158081,90,0.056884765625,0.005706969182938337,0.0008662081307193148,0.2,0.0003
11,22528,258.0,911,24,-0.018108045977011492,-0.007693074316193815,-2.8069898754358293,0.007176428,0.9808927178382874,0.012808144092559814,100,0.04814453125,-0.028355028480291367,0.0008617164382485499,0.2,0.0003
12,24576,258.0,909,27,-0.010821105263157896,-0.008454938436625526,-2.7953468672931194,0.007818461,0.9767001867294312,-0.14435255527496338,110,0.0677734375,-0.0028634429909288883,0.0008448869690255379,0.2,0.0003
13,26624,258.0,909,29,0.00560935,-0.006033648845914286,-2.7785210348665714,0.004745528,0.9667251110076904,-0.10223495960235596,120,0.037060546875,0.003959906753152609,0.0008386472257370769,0.2,0.0003
14,28672,258.0,910,31,0.02168476,-0.006889120250707492,-2.758398161828518,0.0057794666,0.9559304714202881,-0.03267323970794678,130,0.0533203125,-0.021317241713404655,0.0008370095847567427,0.2,0.0003
15,30720,258.0,907,33,0.025501040000000003,-0.0053063256753375755,-2.7318472906947138,0.0060387994,0.9435362219810486,-0.04857981204986572,140,0.04921875,-0.012177588418126106,0.0008548277482987032,0.2,0.0003
