time,open,high,low,close,tick_volume,actDir,actRisk,eReward,eAccBalance,eWins,eLosses,pType,pOpenPrice,pSLPrice,pTPPrice,pProfit
2020-01-10,1.08062,1.08297,1.08011,1.08181,33600,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-13,1.08097,1.08332,1.07976,1.08105,31740,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-14,1.08042,1.08208,1.07597,1.07648,39278,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-15,1.07612,1.07767,1.07423,1.07484,39689,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-16,1.07483,1.07593,1.07324,1.07469,36565,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-17,1.07384,1.07573,1.07312,1.07325,33214,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-20,1.07299,1.075,1.07299,1.07423,22238,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-21,1.07436,1.07514,1.0731,1.07352,36227,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-22,1.07348,1.07878,1.07319,1.07368,36865,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-23,1.07355,1.07472,1.0702,1.07157,42441,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-24,1.07094,1.0723,1.07006,1.07069,34949,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2020-01-27,1.07044,1.07169,1.06768,1.06835,40731,-0.46625262,-0.46625262,0.0,10000.0,0,0,0,1.06835,1.072,0.0,0.0
2020-01-28,1.06825,1.07269,1.06651,1.07241,30542,1.0,1.0,0.0,10000.0,0,0,1,1.07241,1.0685,0.0,0.0
2020-01-29,1.07244,1.07378,1.07101,1.07164,32374,0.65489835,0.65489835,0.0,10000.0,0,0,1,1.07241,1.0685,0.0,0.0
2020-01-30,1.07156,1.07224,1.06813,1.06942,43318,0.53701884,0.53701884,0.0,10000.0,0,0,1,1.07241,1.0685,0.0,0.0
2020-01-31,1.06928,1.07065,1.06766,1.06884,43896,0.98569673,0.98569673,0.0,10000.0,0,0,1,1.07241,1.0685,0.0,0.0
2020-02-03,1.06808,1.06934,1.06637,1.0686,43432,-0.66013503,-0.66013503,0.0,9877.65,0,1,0,0.0,0.0,0.0,-122.35
2020-02-04,1.06805,1.07173,1.06778,1.07054,40335,-0.20568925,-0.20568925,0.0,9877.65,0,1,0,1.07054,1.0756,0.0,0.0
2020-02-05,1.07015,1.07282,1.06905,1.07071,43346,0.3686814,0.3686814,0.0,9877.65,0,1,0,1.07054,1.0756,0.0,0.0
2020-02-06,1.07069,1.07245,1.06956,1.07029,37089,0.23788282,0.23788282,0.0,9877.65,0,1,0,1.07054,1.0756,0.0,0.0
2020-02-07,1.0703,1.07105,1.06797,1.06994,43492,-1.0,-1.0,0.0,9877.65,0,1,2,1.06994,1.0731,0.0,0.0
2020-02-10,1.06883,1.07135,1.06604,1.06648,41473,0.29157528,0.29157528,0.0,9877.65,0,1,2,1.06994,1.0731,0.0,0.0
2020-02-11,1.06628,1.06793,1.0649,1.06519,38764,1.0,1.0,0.0,9994.5,1,1,0,0.0,0.0,0.0,116.85
2020-02-12,1.06515,1.06625,1.0631,1.06376,41481,0.47590798,0.47590798,0.0,9994.5,1,1,0,1.07054,1.0756,0.0,0.0
2020-02-13,1.06364,1.06388,1.06097,1.0617,44426,-0.78918695,-0.78918695,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-14,1.06167,1.06505,1.06088,1.06361,31089,1.0,1.0,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-17,1.06374,1.06505,1.06254,1.06265,23765,-1.0,-1.0,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-18,1.06271,1.06294,1.06089,1.06091,37504,-0.00032336707,-0.00032336707,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-19,1.06081,1.06347,1.06075,1.06328,36894,0.077923186,0.077923186,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-20,1.0632,1.06344,1.06064,1.06133,53205,-0.75254446,-0.75254446,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-21,1.06125,1.06244,1.06054,1.06123,47684,-0.30204788,-0.30204788,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-24,1.06067,1.06259,1.05899,1.06248,64290,-0.9523561,-0.9523561,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-25,1.06235,1.06353,1.05935,1.06208,72434,-0.2168403,-0.2168403,0.0,9994.5,1,1,2,1.0617,1.0648,0.0,0.0
2020-02-26,1.06202,1.06369,1.05995,1.06288,75500,1.0,1.0,0.0,9981.56,1,2,0,0.0,0.0,0.0,-12.94
2020-02-27,1.06273,1.06719,1.06165,1.06443,90493,-0.35174054,-0.35174054,0.0,9981.56,1,2,0,1.06208,1.059,0.0,0.0
2020-02-28,1.06437,1.0659,1.05851,1.06453,118476,-1.0,-1.0,0.0,9981.56,1,2,2,1.06453,1.0714,0.0,0.0
2020-03-02,1.06352,1.07064,1.06302,1.06794,104017,0.97164404,0.97164404,0.0,9981.56,1,2,2,1.06453,1.0714,0.0,0.0
2020-03-03,1.06739,1.07099,1.063,1.06837,109876,-0.94592017,-0.94592017,0.0,9981.56,1,2,2,1.06453,1.0714,0.0,0.0
2020-03-04,1.06801,1.07039,1.06205,1.06573,68522,-0.60159206,-0.60159206,0.0,9981.56,1,2,2,1.06453,1.0714,0.0,0.0
2020-03-05,1.06472,1.06757,1.06165,1.06222,64838,0.0030438795,0.0030438795,0.0,9981.56,1,2,2,1.06453,1.0714,0.0,0.0
2020-03-06,1.06232,1.06249,1.05753,1.05838,123591,0.66650134,0.66650134,0.0,10060.08,2,2,0,0.0,0.0,0.0,78.52
2020-03-09,1.05604,1.06388,1.05422,1.05817,174397,0.7780433,0.7780433,0.0,10060.08,2,2,1,1.05817,1.0488,0.0,0.0
2020-03-10,1.05838,1.0646,1.05664,1.06018,161615,-0.5589628,-0.5589628,0.0,10060.08,2,2,1,1.05817,1.0488,0.0,0.0
2020-03-11,1.06014,1.06143,1.05722,1.05723,111542,-0.675115,-0.675115,0.0,10060.08,2,2,1,1.05817,1.0488,0.0,0.0
