time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,train/std,train/loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
740,2048,1,2,,,,,,,,,,,,,
688,4096,2,5,0.05121108676248696,-2.820163944363594,10,-93.5943374633789,0.2,0.005609938,0.033154296875,0.9841994643211365,-0.01617063395678997,0.0003,-0.006817694184428546,,
683,6144,3,8,0.011015380991011625,-2.8022138990461825,20,-10.27129077911377,0.2,0.006774883,0.057958984375,0.9825950860977173,-0.0035177345853298903,0.0003,-0.0061368010501610115,,
673,8192,4,12,0.005182139461976476,-2.8160574212670326,30,-5.888775825500488,0.2,0.005752571,0.04462890625,0.9951047897338867,-0.014631790108978748,0.0003,-0.005234280488366494,,
649,10240,5,15,0.006021139502990991,-2.8338818080723285,40,-1.365893840789795,0.2,0.008131976,0.050927734375,1.0002024173736572,0.037656817585229874,0.0003,-0.005171916673862143,9989.0,-0.729495
636,12288,6,19,0.0040428444561257494,-2.8449860773980618,50,-2.9168779850006104,0.2,0.006484029,0.077490234375,1.0070915222167969,-0.03303978592157364,0.0003,-0.0068097495823167264,9989.0,-0.729495
628,14336,7,22,0.0033077915577450767,-2.856483533233404,60,-2.069754123687744,0.2,0.008085391,0.07109375,1.0092997550964355,0.01638554222881794,0.0003,-0.006943704267905559,9989.0,-0.729495
622,16384,8,26,0.002853079435953987,-2.852099309116602,70,-1.1653163433074951,0.2,0.009734223,0.0763671875,1.0048482418060303,0.012052152305841446,0.0003,-0.003266935280407779,9989.0,-0.729495
618,18432,9,29,0.0022815712938609066,-2.842665033787489,80,-0.9441072940826416,0.2,0.009377275,0.07978515625,1.0011982917785645,-0.0238852109760046,0.0003,-0.005583096716145519,9989.0,-0.729495
622,20480,10,32,0.003927940340872738,-2.8337792605161667,90,-0.3063620328903198,0.2,0.007475445,0.064794921875,0.9944058060646057,-0.013117538765072823,0.0003,-0.007027109924820252,9989.0,-1.029835
627,22528,11,35,0.0019296697359095561,-2.832923872768879,100,-1.4013500213623047,0.2,0.011763845,0.102685546875,0.9990733861923218,0.01283302903175354,0.0003,-0.006436432349437382,9989.0,-1.029835
630,24576,12,38,0.0019188540012692102,-2.8347408659756184,110,-0.8161805868148804,0.2,0.011105992,0.104833984375,0.9952201843261719,0.002738042501732707,0.0003,-0.0029414564472972416,9989.0,-1.029835
633,26624,13,42,0.0022765924186387565,-2.8205056987702846,120,-0.2762486934661865,0.2,0.009212498,0.087109375,0.988844096660614,-0.00035620469134300947,0.0003,-0.003367053929832764,9989.0,-1.029835
629,28672,14,45,0.0019054036729357904,-2.8102244183421137,130,-0.4694570302963257,0.2,0.009204874,0.088330078125,0.98390132188797,-0.01765981689095497,0.0003,-0.005720963390194811,9989.0,-1.029835
626,30720,15,49,0.003373072908289032,-2.8009513594210147,140,-0.14799988269805908,0.2,0.009737729,0.09130859375,0.9784963130950928,-0.028818098828196526,0.0003,-0.006591618278616806,9989.0,-0.97761
623,32768,16,52,0.0021370724483858795,-2.783961920440197,150,-0.4399336576461792,0.2,0.010614399,0.097900390625,0.967930018901825,-0.016359440982341766,0.0003,-0.006223487788520288,9989.0,-0.97761
626,34816,17,55,0.0014888519108353648,-2.760131994634867,160,-0.3433877229690552,0.2,0.013288422,0.109521484375,0.9565553665161133,-0.00471202377229929,0.0003,-0.0022652271843981,9989.0,-0.97761
629,36864,18,58,0.002730045743737719,-2.7511455163359644,170,-0.1200101375579834,0.2,0.011784423,0.087158203125,0.9581714868545532,-0.018429113551974297,0.0003,-0.0037501016427995636,9989.0,-0.97761
631,38912,19,61,0.001827679689449724,-2.7430866725742815,180,-0.2618676424026489,0.2,0.011358697,0.11435546875,0.9504817724227905,-0.02778184413909912,0.0003,-0.002805722033372149,9989.0,-0.97761
633,40960,20,64,0.0024288182557938853,-2.736883383244276,190,-0.1556107997894287,0.2,0.013531922,0.10859375,0.9520888328552246,-0.024549055844545364,0.0003,-0.005546695888915565,9989.0,-0.37121525
635,43008,21,67,0.001347504075965844,-2.74145018607378,200,-0.3529243469238281,0.2,0.0081323,0.072216796875,0.95268714427948,0.006229143589735031,0.0003,-0.0024926207988755777,9989.0,-0.37121525
636,45056,22,70,0.001508026853116462,-2.7424183234572412,210,-0.20773768424987793,0.2,0.010025669,0.089501953125,0.953654408454895,-0.023201465606689453,0.0003,-0.005574788143712794,9989.0,-0.37121525
638,47104,23,73,0.0016439871911643421,-2.7337986886501313,220,-0.12063014507293701,0.2,0.009630433,0.075048828125,0.9435883164405823,0.003903247183188796,0.0003,-0.007360713068919722,9989.0,-0.37121525
639,49152,24,76,0.0017402554587533814,-2.731902088969946,230,-0.11791574954986572,0.2,0.01057747,0.10205078125,0.951408863067627,-0.034390635788440704,0.0003,-0.004845632570504676,9989.0,-0.37121525
641,51200,25,79,0.0030214798847737257,-2.741580514609814,240,-0.07968103885650635,0.2,0.010146883,0.111083984375,0.9551270008087158,0.003776786383241415,0.0003,-0.00606721335061593,9989.0,-0.40099540000000006
642,53248,26,82,0.0013910324309108547,-2.737227734923363,250,-0.1785522699356079,0.2,0.009977367,0.105029296875,0.9486837387084961,0.01324429176747799,0.0003,-0.004460912043577991,9989.0,-0.40099540000000006
643,55296,27,85,0.0011872217686686782,-2.723419926315546,260,-0.18388426303863525,0.2,0.015480357,0.141650390625,0.9409054517745972,-0.038035426288843155,0.0003,-0.0016469179827254266,9989.0,-0.40099540000000006
644,57344,28,88,0.0013080620154141797,-2.7211328998208044,270,-0.055159687995910645,0.2,0.009227331,0.101416015625,0.9443960785865784,-0.035900309681892395,0.0003,-0.005232308671838837,9989.0,-0.40099540000000006
645,59392,29,92,0.0029437026449159022,-2.720338784903288,280,-0.04234111309051514,0.2,0.009252907,0.1064453125,0.9445070028305054,-0.012719499878585339,0.0003,-0.00506910073600011,9989.0,-0.40099540000000006
643,61440,30,95,0.002201302505818603,-2.7236721962690353,290,-0.09618842601776123,0.2,0.01138473,0.098681640625,0.9441872835159302,0.012183699756860733,0.0003,-0.0032189548262977043,9989.0,-0.27139450000000004
640,63488,31,99,0.0010117437710505327,-2.711276625841856,300,-0.13844680786132812,0.2,0.013029629,0.101708984375,0.9343647360801697,0.019377490505576134,0.0003,-0.004437571948801633,9989.0,-0.27139450000000004
641,65536,32,102,0.0017269850677621434,-2.6976169496774673,310,-0.061714768409729004,0.2,0.013153061,0.120947265625,0.9305804371833801,-0.012858959846198559,0.0003,-0.004613719503686298,9989.0,-0.27139450000000004
642,67584,33,105,0.0010281076754836249,-2.695085181295872,320,-0.12345027923583984,0.2,0.014955366,0.121728515625,0.9320478439331055,0.033340584486722946,0.0003,-0.002939799110754393,9989.0,-0.27139450000000004
643,69632,34,108,0.0018788958093864494,-2.683144265413284,330,-0.05510973930358887,0.2,0.010398752,0.106103515625,0.9214297533035278,0.020467249676585197,0.0003,-0.001641284124343656,9989.0,-0.27139450000000004
644,71680,35,111,0.0012264652863450466,-2.6655323050916193,340,-0.13621854782104492,0.2,0.015394894,0.123291015625,0.9153802394866943,-0.005778674967586994,0.0003,-0.00556495081873436,9989.0,-0.3756631428571429
645,73728,36,114,0.0010395320185125456,-2.6620573736727238,350,-0.08302485942840576,0.2,0.008739166,0.087841796875,0.9180699586868286,-0.013158660382032394,0.0003,-0.0027099922997877003,9989.0,-0.3756631428571429
645,75776,37,117,0.0012206904821141507,-2.6608475252985953,360,-0.05717873573303223,0.2,0.014429121,0.140380859375,0.9132574200630188,-0.00361409829929471,0.0003,-0.005465181537147146,9989.0,-0.3756631428571429
646,77824,38,120,0.0012562005569634494,-2.6386630080640314,370,-0.03463709354400635,0.2,0.013345784,0.108642578125,0.8985472917556763,-0.014855827204883099,0.0003,-0.003663558252446819,9989.0,-0.3756631428571429
644,79872,39,123,0.0023978928329597693,-2.6171029321849346,380,-0.025881052017211914,0.2,0.008973202,0.086865234375,0.8950081467628479,0.01424112357199192,0.0003,-0.001535633674939163,9989.0,-0.3756631428571429
