time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/clip_fraction,train/clip_range,train/std,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/explained_variance,train/approx_kl,train/entropy_loss
1,1,0.056126555555555555,2048,206.0,1024,,,,,,,,,,,
4,2,0.06041684210526316,4096,206.0,937,0.0003,0.0119140625,0.2,0.9984766244888306,-0.012452664785087109,-0.0033182186918566,0.01444858360591752,10,-42.81962585449219,0.002712387,-2.8385152205824853
6,3,0.037200965517241384,6144,206.0,939,0.0003,0.03603515625,0.2,1.0066704750061035,-0.011966941878199577,-0.005251731618773192,0.0014171124697895721,20,-3.3026208877563477,0.0069079585,-2.842720977216959
8,4,0.06086894871794872,8192,206.0,941,0.0003,0.06640625,0.2,0.9849631786346436,-0.013327258639037609,-0.008905669566593133,0.0008480269980282173,30,-0.8962386846542358,0.007574808,-2.824499610811472
10,5,0.05639914285714286,10240,206.0,932,0.0003,0.049267578125,0.2,0.9793916940689087,-0.02750893123447895,-0.009649541036924347,0.0008299825663016236,40,-0.4388052225112915,0.00673711,-2.801875241100788
13,6,0.07274903389830509,12288,206.0,931,0.0003,0.03623046875,0.2,0.9639040231704712,-0.008202103897929192,-0.006633425535983406,0.0006222717734999606,50,-0.27482903003692627,0.005648941,-2.7798998557031154
