rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/policy_gradient_loss,train/explained_variance,train/value_loss
-0.154854,1,230,2048,8,1071.0,,,,,,,,,,,
-0.2963803333333333,2,192,4096,21,1071.0,-0.006524831987917423,0.0003,0.0041531418,-2.8247563526034356,10,0.2,0.02197265625,0.9871547222137451,-0.0038428550178650767,-36.745601654052734,0.015136171122139785
-0.2720116,3,181,6144,33,1071.0,0.000547303818166256,0.0003,0.006250304,-2.817097303271294,20,0.2,0.0587890625,0.9897968769073486,-0.007431518188968767,-2.2555317878723145,0.003340777145785978
-0.2876222857142857,4,173,8192,47,1071.0,-0.0009048708016052842,0.0003,0.003813019,-2.816110546141863,30,0.2,0.026025390625,0.9860559701919556,-0.004183524881955236,-1.3180513381958008,0.002515068287902977
