,time,open,high,low,close,tick_volume,spread,real_volume,account_balance
0,2021-01-11 00:00:00,0.77512,0.77598,0.77454,0.77537,591,0,0,10000
1,2021-01-11 01:00:00,0.77537,0.7757,0.77118,0.77205,3968,0,0,10000
2,2021-01-11 02:00:00,0.77205,0.77309,0.77156,0.77191,3513,0,0,10000
3,2021-01-11 03:00:00,0.77191,0.77203,0.77049,0.77074,4442,0,0,10000
4,2021-01-11 04:00:00,0.77074,0.77126,0.76938,0.77126,4118,0,0,10000
5,2021-01-11 05:00:00,0.77127,0.77152,0.77034,0.7707,3032,0,0,10000
6,2021-01-11 06:00:00,0.7707,0.77096,0.7693,0.76976,2782,0,0,10000
7,2021-01-11 07:00:00,0.76976,0.77011,0.76931,0.77007,3020,0,0,10000
8,2021-01-11 08:00:00,0.77007,0.77096,0.76929,0.77075,3474,0,0,10000
9,2021-01-11 09:00:00,0.77074,0.77114,0.76978,0.76987,4685,0,0,10000
10,2021-01-11 10:00:00,0.76987,0.77219,0.76986,0.77119,5659,0,0,10000
11,2021-01-11 11:00:00,0.77119,0.77224,0.77087,0.77109,4547,0,0,10000
12,2021-01-11 12:00:00,0.77109,0.77209,0.77087,0.77174,4082,0,0,10000
13,2021-01-11 13:00:00,0.77174,0.77174,0.77048,0.77094,3480,0,0,10000
14,2021-01-11 14:00:00,0.77094,0.77131,0.76982,0.77103,4542,0,0,10000
15,2021-01-11 15:00:00,0.77103,0.77108,0.76766,0.76782,6063,0,0,10000
16,2021-01-11 16:00:00,0.76782,0.76898,0.76662,0.7669,10155,0,0,10000
17,2021-01-11 17:00:00,0.7669,0.76936,0.76675,0.76927,7102,0,0,10000
18,2021-01-11 18:00:00,0.76927,0.7715,0.76859,0.77134,5241,0,0,10000
19,2021-01-11 19:00:00,0.77134,0.7716,0.771,0.77101,3771,0,0,10000
20,2021-01-11 20:00:00,0.771,0.77159,0.77029,0.77112,2802,0,0,10000
21,2021-01-11 21:00:00,0.77112,0.77136,0.77068,0.77075,2649,0,0,10000
22,2021-01-11 22:00:00,0.77075,0.77095,0.76997,0.77002,3416,0,0,10000
23,2021-01-11 23:00:00,0.77002,0.77041,0.76951,0.76954,872,0,0,10000
24,2021-01-12 00:00:00,0.76953,0.76991,0.76942,0.76962,319,0,0,10000
25,2021-01-12 01:00:00,0.76962,0.77111,0.76946,0.77072,2236,0,0,10000
26,2021-01-12 02:00:00,0.77071,0.77095,0.76971,0.7705,3050,0,0,10000
27,2021-01-12 03:00:00,0.7705,0.77105,0.76894,0.77035,5336,0,0,10000
28,2021-01-12 04:00:00,0.77033,0.7704,0.76924,0.76955,3700,0,0,10000
29,2021-01-12 05:00:00,0.76955,0.77025,0.76945,0.76979,2090,0,0,10000
30,2021-01-12 06:00:00,0.76979,0.77031,0.76869,0.76917,3021,0,0,10000
31,2021-01-12 07:00:00,0.76917,0.77081,0.7688,0.77067,2711,0,0,10000
32,2021-01-12 08:00:00,0.77066,0.77187,0.77033,0.77186,2645,0,0,10000
33,2021-01-12 09:00:00,0.77185,0.77321,0.7714,0.77263,3494,0,0,10000
34,2021-01-12 10:00:00,0.77263,0.77276,0.77125,0.77175,4070,0,0,10000
35,2021-01-12 11:00:00,0.77175,0.77408,0.77154,0.77376,3913,0,0,10000
36,2021-01-12 12:00:00,0.77376,0.77384,0.77196,0.77202,3335,0,0,10000
37,2021-01-12 13:00:00,0.77203,0.77331,0.77167,0.77228,3271,0,0,10000
38,2021-01-12 14:00:00,0.77228,0.77301,0.77197,0.77284,3641,0,0,10000
39,2021-01-12 15:00:00,0.77286,0.77296,0.76995,0.7706,5185,0,0,10000
40,2021-01-12 16:00:00,0.7706,0.77171,0.7697,0.7711,6641,0,0,10000
41,2021-01-12 17:00:00,0.7711,0.77277,0.77075,0.77255,6046,0,0,10000
42,2021-01-12 18:00:00,0.77255,0.77343,0.77212,0.77321,4660,0,0,10000
43,2021-01-12 19:00:00,0.77323,0.77374,0.77165,0.77339,4710,0,0,10000
44,2021-01-12 20:00:00,0.77339,0.77572,0.77315,0.77543,3808,0,0,10000
45,2021-01-12 21:00:00,0.77543,0.77722,0.77542,0.77699,3975,0,0,10000
46,2021-01-12 22:00:00,0.77699,0.77774,0.77672,0.77744,3296,0,0,10000
47,2021-01-12 23:00:00,0.77744,0.77771,0.77729,0.77739,1107,0,0,10000
48,2021-01-13 00:00:00,0.77715,0.77733,0.77648,0.7769,466,0,0,10000
49,2021-01-13 01:00:00,0.7769,0.77766,0.77673,0.77756,1328,0,0,10000
50,2021-01-13 02:00:00,0.77756,0.77814,0.77648,0.77657,2046,0,0,10000
51,2021-01-13 03:00:00,0.77656,0.77789,0.77636,0.77716,3388,0,0,10000
52,2021-01-13 04:00:00,0.77716,0.77742,0.77608,0.77644,3160,0,0,10000
53,2021-01-13 05:00:00,0.77644,0.77707,0.77641,0.77654,3427,0,0,10000
54,2021-01-13 06:00:00,0.77654,0.77662,0.77604,0.77604,2762,0,0,10000
55,2021-01-13 07:00:00,0.77605,0.7764,0.77582,0.77619,2291,0,0,10000
56,2021-01-13 08:00:00,0.77619,0.77703,0.77601,0.77691,1922,0,0,10000
57,2021-01-13 09:00:00,0.77691,0.77795,0.77613,0.77623,3063,0,0,10000
58,2021-01-13 10:00:00,0.77622,0.77657,0.77471,0.77536,4794,0,0,10000
59,2021-01-13 11:00:00,0.77537,0.77585,0.77481,0.77524,4282,0,0,10000
60,2021-01-13 12:00:00,0.77524,0.7754,0.77396,0.77466,3667,0,0,10000
61,2021-01-13 13:00:00,0.77466,0.77476,0.77352,0.77388,2849,0,0,10000
62,2021-01-13 14:00:00,0.77388,0.77447,0.77344,0.77366,3709,0,0,10000
63,2021-01-13 15:00:00,0.77365,0.77513,0.773,0.77335,5141,0,0,10000
64,2021-01-13 16:00:00,0.77336,0.77424,0.77217,0.77344,6761,0,0,10000
65,2021-01-13 17:00:00,0.77343,0.77549,0.77276,0.77395,6695,0,0,10000
66,2021-01-13 18:00:00,0.77395,0.77421,0.77314,0.77394,3906,0,0,10000
67,2021-01-13 19:00:00,0.77394,0.77463,0.77264,0.7745,3916,0,0,10000
68,2021-01-13 20:00:00,0.7745,0.77549,0.77448,0.77449,3013,0,0,10000
69,2021-01-13 21:00:00,0.7745,0.77512,0.77417,0.77419,2469,0,0,10000
70,2021-01-13 22:00:00,0.77419,0.7744,0.77319,0.7737,2189,0,0,10000
71,2021-01-13 23:00:00,0.7737,0.77399,0.77312,0.77331,1121,0,0,10000
