time,open,high,low,close,tick_volume,spread,real_volume
2020-12-17 14:00:00,1879.63,1883.25,1876.77,1883.13,7377,0,0
2020-12-17 15:00:00,1883.16,1890.09,1874.58,1887.87,14514,0,0
2020-12-17 16:00:00,1887.87,1896.21,1885.74,1892.32,14530,0,0
2020-12-17 17:00:00,1892.32,1895.58,1888.18,1891.04,12587,0,0
2020-12-17 18:00:00,1891.02,1891.44,1884.17,1884.47,10080,3,0
2020-12-17 19:00:00,1884.57,1888.17,1883.52,1887.39,4997,0,0
2020-12-17 20:00:00,1887.39,1888.98,1882.59,1884.34,5906,2,0
2020-12-17 21:00:00,1884.34,1886.37,1883.4,1884.12,4103,0,0
2020-12-17 22:00:00,1884.12,1885.58,1882.97,1884.38,3835,0,0
2020-12-17 23:00:00,1884.37,1887.02,1883.95,1885.42,1564,1,0
2020-12-18 01:00:00,1884.55,1885.58,1883.54,1883.62,1543,0,0
2020-12-18 02:00:00,1883.62,1885.06,1881.9,1882.54,3026,1,0
2020-12-18 03:00:00,1882.49,1882.73,1878.48,1880.0,5858,0,0
2020-12-18 04:00:00,1880.0,1881.05,1878.96,1880.01,3426,3,0
2020-12-18 05:00:00,1880.02,1883.39,1879.96,1883.37,3107,2,0
2020-12-18 06:00:00,1883.32,1885.37,1881.26,1884.75,2291,0,0
2020-12-18 07:00:00,1884.76,1886.73,1882.27,1882.75,4586,0,0
2020-12-18 08:00:00,1882.75,1883.36,1879.42,1882.97,5262,0,0
2020-12-18 09:00:00,1882.97,1883.37,1880.54,1880.83,4447,0,0
2020-12-18 10:00:00,1880.83,1882.08,1877.42,1881.62,5871,0,0
2020-12-18 11:00:00,1881.62,1882.55,1878.75,1879.63,4127,5,0
2020-12-18 12:00:00,1879.64,1880.61,1878.07,1878.93,3748,1,0
2020-12-18 13:00:00,1878.93,1884.29,1878.09,1884.27,5094,0,0
2020-12-18 14:00:00,1884.26,1888.6,1883.56,1885.2,8081,0,0
2020-12-18 15:00:00,1885.14,1889.65,1883.5,1885.22,11643,0,0
2020-12-18 16:00:00,1885.22,1888.28,1877.57,1881.9,12931,0,0
2020-12-18 17:00:00,1882.02,1886.17,1879.39,1886.1,13336,0,0
2020-12-18 18:00:00,1886.05,1886.67,1881.16,1884.27,8114,0,0
2020-12-18 19:00:00,1884.26,1884.49,1881.94,1884.15,4013,0,0
2020-12-18 20:00:00,1884.15,1884.84,1881.12,1882.06,3033,1,0
2020-12-18 21:00:00,1882.06,1882.42,1878.82,1879.18,2730,1,0
2020-12-18 22:00:00,1879.14,1881.53,1878.46,1881.19,4199,1,0
2020-12-18 23:00:00,1881.18,1881.54,1879.96,1880.89,1542,14,0
2020-12-21 01:00:00,1882.89,1885.0,1881.84,1883.09,1589,5,0
2020-12-21 02:00:00,1883.07,1889.61,1882.92,1888.69,4173,0,0
2020-12-21 03:00:00,1888.69,1899.4,1888.45,1896.7,9926,0,0
2020-12-21 04:00:00,1896.7,1898.5,1894.4,1897.09,3502,2,0
2020-12-21 05:00:00,1897.09,1897.11,1893.43,1895.23,2449,0,0
2020-12-21 06:00:00,1895.23,1900.08,1895.16,1899.85,3989,0,0
2020-12-21 07:00:00,1899.85,1903.13,1898.99,1902.77,6345,0,0
2020-12-21 08:00:00,1902.74,1906.74,1896.67,1899.56,8258,1,0
2020-12-21 09:00:00,1899.54,1902.75,1892.99,1894.13,7409,0,0
2020-12-21 10:00:00,1894.15,1899.03,1891.44,1896.49,8886,0,0
2020-12-21 11:00:00,1896.49,1898.63,1880.22,1886.51,8163,0,0
2020-12-21 12:00:00,1886.51,1886.52,1855.04,1870.3,15826,0,0
2020-12-21 13:00:00,1870.3,1883.05,1869.23,1878.45,10818,0,0
2020-12-21 14:00:00,1878.49,1884.33,1877.91,1879.52,9489,1,0
2020-12-21 15:00:00,1879.52,1884.36,1870.7,1882.13,18394,2,0
2020-12-21 16:00:00,1882.19,1885.73,1877.01,1880.49,16080,1,0
