,time,open,high,low,close,tick_volume,spread,real_volume,EMA14,MACD,MACD_Signal,ATR
0,2022-09-05 07:00:00,0.67942,0.67949,0.67859,0.67882,2099,0,0,0.67882,0.0,0.0,
1,2022-09-05 08:00:00,0.67881,0.67884,0.67769,0.67829,3213,0,0,0.6787493333333333,-4.227920227917181e-05,-8.455840455834363e-06,
2,2022-09-05 09:00:00,0.6783,0.67985,0.67803,0.67944,4410,0,0,0.6788414222222222,1.68157725992657e-05,-3.4015178448143505e-06,
3,2022-09-05 10:00:00,0.67946,0.6795,0.67729,0.6775,5027,0,0,0.678662565925926,-9.183421315239748e-05,-2.1088056906330978e-05,
4,2022-09-05 11:00:00,0.6775,0.67853,0.67733,0.67779,3568,0,0,0.6785462238024692,-0.00015277839899008328,-4.742612532308144e-05,
5,2022-09-05 12:00:00,0.67778,0.67943,0.67763,0.67942,4004,0,0,0.6786627272954733,-6.875713833320862e-05,-5.1692327925106875e-05,
6,2022-09-05 13:00:00,0.67942,0.68023,0.67929,0.67969,3029,0,0,0.6787996969894102,1.939350335899981e-05,-3.747516166828554e-05,
7,2022-09-05 14:00:00,0.67967,0.68008,0.67873,0.67913,3061,0,0,0.6788437373908223,4.3564023165187926e-05,-2.126732470159085e-05,
8,2022-09-05 15:00:00,0.67914,0.68006,0.67849,0.67983,3751,0,0,0.678975239072046,0.00011784503984324513,6.555148207376348e-06,
9,2022-09-05 16:00:00,0.67983,0.68008,0.67907,0.67926,3263,0,0,0.6790132071957733,0.000129229368695305,3.108999230496208e-05,
10,2022-09-05 17:00:00,0.67925,0.67975,0.67877,0.67954,2713,0,0,0.6790834462363369,0.00015901219763980734,5.6674433371931135e-05,
11,2022-09-05 18:00:00,0.67954,0.6803,0.67944,0.68025,1623,0,0,0.6792389867381586,0.00023717239470300022,9.277402563814496e-05,
12,2022-09-05 19:00:00,0.68024,0.68038,0.67968,0.67992,865,0,0,0.6793297885064041,0.0002693814106961012,0.00012809550264973623,
13,2022-09-05 20:00:00,0.67994,0.68015,0.67993,0.67994,286,0,0,0.6794111500388836,0.0002931419627056897,0.00016110479466092693,0.0011942857142857191
14,2022-09-05 21:00:00,0.67994,0.68016,0.67991,0.68003,293,0,0,0.6794936633670325,0.00031559661783897575,0.00019200315929653668,0.001147857142857145
15,2022-09-05 22:00:00,0.68003,0.68017,0.67997,0.68002,216,0,0,0.6795638415847616,0.0003287950329110556,0.0002193615340194405,0.0010800000000000096
16,2022-09-05 23:00:00,0.68002,0.68004,0.67947,0.67948,268,0,0,0.6795526627067934,0.0002923117964813704,0.00023395158651182648,0.0009907142857142972
17,2022-09-06 00:00:00,0.67912,0.6799,0.67904,0.67938,135,14,0,0.6795296410125543,0.0002524196676948476,0.0002376452027484307,0.0008942857142857205
18,2022-09-06 01:00:00,0.67966,0.68127,0.67966,0.68095,1089,0,0,0.6797190222108804,0.0003435307386717712,0.00025882230993309885,0.0009435714285714404
19,2022-09-06 02:00:00,0.68096,0.68153,0.68076,0.68112,1398,0,0,0.6799058192494297,0.00042456042973726404,0.0002919699338939319,0.0008700000000000056
20,2022-09-06 03:00:00,0.68111,0.68325,0.68091,0.68301,3993,0,0,0.6803197100161725,0.000633976165703154,0.0003603711802557763,0.0009700000000000027
21,2022-09-06 04:00:00,0.68301,0.68323,0.68218,0.68281,3987,0,0,0.6806517486806829,0.0007748691079476622,0.0004432707657941535,0.0009485714285714335
22,2022-09-06 05:00:00,0.68281,0.68283,0.6818,0.68212,3253,0,0,0.6808475155232585,0.0008213821640314922,0.0005188930454416213,0.000910000000000014
23,2022-09-06 06:00:00,0.68212,0.68216,0.67969,0.67992,2616,0,0,0.6807238467868241,0.0006729649610883737,0.0005497074285709718,0.0010142857142857215
24,2022-09-06 07:00:00,0.67993,0.68119,0.67897,0.68008,3746,0,0,0.6806380005485808,0.0005617780931290728,0.000552121561482592,0.0011028571428571515
25,2022-09-06 08:00:00,0.68008,0.68142,0.67973,0.68009,3628,0,0,0.68056493380877,0.00046906156588888415,0.0005355095623638505,0.0011621428571428735
26,2022-09-06 09:00:00,0.6801,0.68017,0.67836,0.67884,4490,0,0,0.6803349426342674,0.0002913598814027196,0.0004866796261716243,0.0012414285714285917
27,2022-09-06 10:00:00,0.67884,0.67932,0.67775,0.6791,5674,0,0,0.6801702836163651,0.00016955531513695998,0.00042325476396469145,0.001337142857142878
28,2022-09-06 11:00:00,0.67911,0.67911,0.67609,0.67707,4345,0,0,0.6797569124675165,-8.974518908999585e-05,0.000320654773353754,0.0015350000000000244
29,2022-09-06 12:00:00,0.67706,0.67794,0.67618,0.6779,3930,0,0,0.6795093241385143,-0.00022566729138651098,0.00021139036040570102,0.0016464285714285884
30,2022-09-06 13:00:00,0.67791,0.67869,0.67772,0.67789,3587,0,0,0.6792934142533791,-0.00033038498074822176,0.00010303529217491648,0.0016750000000000217
31,2022-09-06 14:00:00,0.67788,0.67832,0.67665,0.67733,3752,0,0,0.6790316256862619,-0.00045333604813135864,-8.238975886338547e-06,0.001732857142857171
32,2022-09-06 15:00:00,0.67733,0.67777,0.67609,0.6761,4344,0,0,0.678640742261427,-0.0006426186673275103,-0.00013511491417457288,0.0017178571428571679
33,2022-09-06 16:00:00,0.67611,0.67674,0.67501,0.67516,6098,0,0,0.6781766432932367,-0.0008585794810301861,-0.00027980782754569557,0.0017864285714286015
34,2022-09-06 17:00:00,0.67507,0.67589,0.67309,0.67473,8243,0,0,0.6777170908541386,-0.001052297161497684,-0.00043430569433609324,0.0018192857142857455
35,2022-09-06 18:00:00,0.67473,0.67626,0.67384,0.67492,6410,0,0,0.6773441454069201,-0.0011769215873739247,-0.0005828288729436595,0.001917142857142887
36,2022-09-06 19:00:00,0.67491,0.67509,0.67359,0.67408,4790,0,0,0.6769089260193308,-0.0013281581422641686,-0.0007318947268077614,0.0019507142857143056
37,2022-09-06 20:00:00,0.67408,0.67412,0.67278,0.67318,3607,0,0,0.6764117358834201,-0.0015033074870668406,-0.0008861772788595773,0.0018700000000000225
38,2022-09-06 21:00:00,0.67315,0.6739,0.67302,0.67311,4638,0,0,0.6759715044322974,-0.0016289850935411465,-0.0010347388417958911,0.001774285714285744
39,2022-09-06 22:00:00,0.67311,0.67377,0.67304,0.6733,3740,0,0,0.6756153038413244,-0.0016937298268924206,-0.001166537038815197,0.0017057142857143104
40,2022-09-06 23:00:00,0.6733,0.67364,0.6729,0.67359,924,0,0,0.6753452633291478,-0.0017020200900377258,-0.0012736336490597028,0.00162928571428573
41,2022-09-07 00:00:00,0.67348,0.67366,0.67318,0.67349,105,8,0,0.6750978948852615,-0.0016970962780855636,-0.0013583261748648752,0.0015514285714285845
42,2022-09-07 01:00:00,0.67367,0.67376,0.67288,0.67315,920,0,0,0.6748381755672267,-0.0017010209692560618,-0.0014268651337431125,0.0013985714285714396
43,2022-09-07 02:00:00,0.67301,0.67345,0.67251,0.67278,2038,0,0,0.6745637521582631,-0.0017142266849109467,-0.0014843374439766795,0.0013400000000000079
44,2022-09-07 03:00:00,0.67278,0.67325,0.67104,0.67153,4341,0,0,0.6741592518704947,-0.0018047527962085086,-0.0015484205144230454,0.0014285714285714377
45,2022-09-07 04:00:00,0.67152,0.67172,0.67052,0.67157,4434,0,0,0.6738140182877621,-0.0018519199455589996,-0.0016091204006502364,0.0013950000000000034
46,2022-09-07 05:00:00,0.6716,0.67236,0.67043,0.67092,3732,0,0,0.6734281491827272,-0.0019196216158983148,-0.0016712206436998523,0.0014128571428571443
47,2022-09-07 06:00:00,0.67091,0.67133,0.66992,0.67063,3632,0,0,0.6730550626250302,-0.001973922108433168,-0.0017317609366465157,0.0013900000000000023
48,2022-09-07 07:00:00,0.67058,0.67199,0.67009,0.67151,3198,0,0,0.6728490542750262,-0.0019237709603230346,-0.0017701629413818198,0.0013257142857142873
49,2022-09-07 08:00:00,0.67154,0.67218,0.6711,0.67129,2564,0,0,0.6726411803716894,-0.0018801052920279782,-0.0017921514115110517,0.0012300000000000008
50,2022-09-07 09:00:00,0.6713,0.67301,0.67056,0.67251,4241,0,0,0.6726236896554642,-0.0017271466596939788,-0.0017791504611476372,0.0012978571428571442
51,2022-09-07 10:00:00,0.67251,0.67336,0.67072,0.67312,5092,0,0,0.672689864368069,-0.001538963723709208,-0.0017311131136599515,0.0013907142857142848
52,2022-09-07 11:00:00,0.67313,0.67342,0.67154,0.67252,4398,0,0,0.6726672157856599,-0.0014218521502316062,-0.0016692609209742824,0.0014621428571428483
53,2022-09-07 12:00:00,0.67254,0.67346,0.67191,0.67346,3818,0,0,0.672772920347572,-0.0012389088701538764,-0.0015831905108102014,0.0015207142857142722
54,2022-09-07 13:00:00,0.67342,0.67375,0.67194,0.67211,3999,0,0,0.6726845309678957,-0.0011891509285527624,-0.0015043825943587136,0.0015971428571428445
