time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/std,train/clip_fraction,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
2048,731,2,1,,,,,,,,,,,,,
4096,687,5,2,0.0003,0.9896986484527588,0.03203125,30.69061851501465,-2.8290788061916827,-0.004077084841264877,53.585609102249144,0.0035132957,-0.009823322296142578,0.2,10,,
6144,682,9,3,0.0003,0.9798837900161743,0.035986328125,17.7093563079834,-2.8069315060973166,-0.005902402813080698,52.13519698381424,0.0043006977,-0.001880049705505371,0.2,20,,
8192,653,12,4,0.0003,0.9691734313964844,0.029833984375,34.27443313598633,-2.7853446908295156,-0.00501997305691475,59.43092744350433,0.004611633,-0.004006743431091309,0.2,30,,
10240,657,15,5,0.0003,0.9745156764984131,0.057666015625,25.11886215209961,-2.7846176847815514,-0.007718539323832374,47.32989063262939,0.006319326,-0.0005892515182495117,0.2,40,-251.446111,9989.0
12288,660,18,6,0.0003,0.9700601100921631,0.080810546875,25.280275344848633,-2.780576518923044,-0.007111178369086701,52.56013252735138,0.006316585,-0.000619053840637207,0.2,50,-251.446111,9989.0
14336,661,21,7,0.0003,0.9745092988014221,0.054736328125,27.970226287841797,-2.783838638663292,-0.008247791363100988,46.523611003160475,0.007453504,2.282857894897461e-05,0.2,60,-251.446111,9989.0
16384,663,24,8,0.0003,0.9670349359512329,0.055712890625,22.208736419677734,-2.7794747710227967,-0.007016488066437887,52.43347421884537,0.00707211,0.0009014606475830078,0.2,70,-251.446111,9989.0
18432,663,27,9,0.0003,0.9736002683639526,0.085546875,20.79635238647461,-2.777212279289961,-0.00815064131602412,41.802491664886475,0.009966018,0.004711508750915527,0.2,80,-251.446111,9989.0
20480,664,30,10,0.0003,0.9772932529449463,0.090673828125,26.734779357910156,-2.789136914163828,-0.002353184657113161,45.471683806180955,0.007746768,-0.006998896598815918,0.2,90,-191.4302775,9989.0
22528,665,33,11,0.0003,0.9724535942077637,0.061669921875,27.93973159790039,-2.7895891569554805,-0.0011684559998684564,46.93740852475166,0.006236057,-0.006190061569213867,0.2,100,-191.4302775,9989.0
24576,665,36,12,0.0003,0.9550846219062805,0.07744140625,23.277788162231445,-2.763911893963814,-0.007117554021533579,51.22205022573471,0.0099328775,-0.008679628372192383,0.2,110,-191.4302775,9989.0
26624,665,40,13,0.0003,0.9524044990539551,0.105517578125,15.980291366577148,-2.740548002719879,-0.006986300833523274,45.477049589157104,0.0125278365,-0.0015395879745483398,0.2,120,-191.4302775,9989.0
28672,658,43,14,0.0003,0.9535477757453918,0.05927734375,19.55063819885254,-2.741714932769537,-0.003154886890843045,35.46508795619011,0.0070674163,0.002397596836090088,0.2,130,-191.4302775,9989.0
30720,658,46,15,0.0003,0.9544800519943237,0.085791015625,11.13449764251709,-2.7412808306515215,-0.004587398316652979,31.54001263976097,0.010363651,0.0018181800842285156,0.2,140,216.24314833333332,9989.0
32768,659,49,16,0.0003,0.959311306476593,0.076025390625,19.122455596923828,-2.745527385920286,-0.005599805718520656,37.551915150880816,0.00870725,-0.0037081241607666016,0.2,150,216.24314833333332,9989.0
34816,660,52,17,0.0003,0.9571131467819214,0.092041015625,23.77935028076172,-2.7532991468906403,-0.0023640103405341505,48.51821856498718,0.010661782,-0.0007969141006469727,0.2,160,216.24314833333332,9989.0
36864,660,55,18,0.0003,0.9518194198608398,0.0931640625,26.340801239013672,-2.7463883109390737,-0.001755475475511048,49.243959152698515,0.009161782,-0.0038938522338867188,0.2,170,216.24314833333332,9989.0
38912,660,58,19,0.0003,0.9530771970748901,0.08955078125,26.961036682128906,-2.7365093074738978,-0.0007351025022217072,54.84383783340454,0.009773759,0.00028818845748901367,0.2,180,216.24314833333332,9989.0
40960,660,62,20,0.0003,0.9602303504943848,0.123291015625,19.3792781829834,-2.748678603023291,-0.00044386606459738686,37.166674852371216,0.013543388,-0.0007284879684448242,0.2,190,177.29125025,9989.0
43008,661,65,21,0.0003,0.9551006555557251,0.11904296875,15.999436378479004,-2.7494458138942717,-0.0004054290955536999,39.16879808306694,0.012623483,-0.005621075630187988,0.2,200,177.29125025,9989.0
45056,661,68,22,0.0003,0.9559739828109741,0.0921875,28.496280670166016,-2.745774917304516,-0.003958095384587068,52.34453772306442,0.01120051,0.0018949508666992188,0.2,210,177.29125025,9989.0
47104,661,71,23,0.0003,0.9596328735351562,0.1291015625,22.67192840576172,-2.7489178076386453,-0.0015605129199684597,51.99981422424317,0.016380817,4.953145980834961e-05,0.2,220,177.29125025,9989.0
49152,661,74,24,0.0003,0.966204047203064,0.096630859375,25.677263259887695,-2.762921769171953,3.7937828165013346e-05,59.04143464565277,0.010803618,-0.005056977272033691,0.2,230,177.29125025,9989.0
51200,658,77,25,0.0003,0.9684962034225464,0.133544921875,27.539867401123047,-2.772160178422928,-0.004252257442567497,59.42435004711151,0.01242755,-0.002170562744140625,0.2,240,74.5730002,9989.0
53248,658,80,26,0.0003,0.970456063747406,0.10859375,20.763439178466797,-2.7789078794419764,-0.0028762179586919955,46.21767290830612,0.011888401,0.0010644793510437012,0.2,250,74.5730002,9989.0
55296,658,83,27,0.0003,0.966841459274292,0.09990234375,26.883224487304688,-2.7742761746048927,-0.006194627085642423,60.486720335483554,0.012482898,-0.0011432170867919922,0.2,260,74.5730002,9989.0
57344,658,87,28,0.0003,0.9700478315353394,0.115625,21.389848709106445,-2.7706926457583902,0.0015877654979703948,39.09914248585701,0.013106166,0.000641942024230957,0.2,270,74.5730002,9989.0
59392,659,90,29,0.0003,0.9754874110221863,0.11953125,10.757761001586914,-2.7834579892456532,-0.0031878878973657264,31.56231341958046,0.011557799,0.00754857063293457,0.2,280,74.5730002,9989.0
