time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/std,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance
1,2048,1127,0.11579377777777777,1,206.0,,,,,,,,,,,
2,4096,1023,0.052013105263157895,4,206.0,0.9786938428878784,-2.8130368858575823,0.0141841359436512,-0.004024759354069829,0.028968140156939624,10,0.2,0.0287109375,0.0059061144,0.0003,-4.533355712890625
3,6144,978,0.022238275862068967,6,206.0,0.9840627312660217,-2.801423201709986,0.004803720396012068,-0.005245306334109046,0.013687484862748534,20,0.2,0.0373046875,0.0049628187,0.0003,0.07499325275421143
4,8192,962,0.04182717948717948,8,206.0,0.993181586265564,-2.815548785030842,-0.005352887790650129,-0.004499105711875018,0.008522666447242954,30,0.2,0.0271484375,0.0050392486,0.0003,0.16016793251037598
5,10240,949,0.027684612244897957,10,206.0,0.9878597259521484,-2.8193454064428805,-0.02870025299489498,-0.0065589911915594715,0.005963949887518538,40,0.2,0.054443359375,0.004715778,0.0003,0.20075684785842896
6,12288,945,0.0422676440677966,12,206.0,0.9784398078918457,-2.8022899299860002,-0.011414064094424248,-0.007540590269491077,0.004091599087405484,50,0.2,0.0783203125,0.007385256,0.0003,0.19808107614517212
