time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
45056,617,72,22,210,4.344135591387749,-0.08838188648223877,0.008968013,0.074951171875,0.2,-2.770027233660221,-0.003950793018157128,0.0003,0.974653959274292,1.0175352096557617,9989.0,-3715.9961144999997
47104,619,76,23,220,8.333591705560684,-0.020248889923095703,0.009679194,0.06728515625,0.2,-2.776634755730629,-0.0004246698779752478,0.0003,0.9627391695976257,1.5659401416778564,9989.0,-3715.9961144999997
49152,620,79,24,230,6.045562530681491,-0.004780173301696777,0.0068542482,0.05859375,0.2,-2.7467193461954595,-0.0039633773812965956,0.0003,0.9480475187301636,0.7890681028366089,9989.0,-3715.9961144999997
51200,622,82,25,240,16.165359690506012,-0.4332231283187866,0.014214161,0.064208984375,0.2,-2.7153644271194937,-0.0025853852377622387,0.0003,0.9261919260025024,0.14654752612113953,9989.0,-4225.9108208
53248,623,85,26,250,64.14974570274353,0.0011807680130004883,0.012119917,0.14189453125,0.2,-2.6833493761718272,0.006759881912148558,0.0003,0.9261026382446289,28.201072692871094,9989.0,-4225.9108208
55296,624,88,27,260,4.52257578894496,0.020159900188446045,0.011730844,0.093212890625,0.2,-2.6933107607066633,-0.00159598308528075,0.0003,0.9344942569732666,1.0682259798049927,9989.0,-4225.9108208
57344,625,91,28,270,7.573212176561356,0.0668841004371643,0.014672063,0.0955078125,0.2,-2.6971302546560763,4.449649713933468e-05,0.0003,0.9289343357086182,2.522942304611206,9989.0,-4225.9108208
59392,626,94,29,280,36.30806142091751,0.057935476303100586,0.009900217,0.084716796875,0.2,-2.690609086304903,-0.000725856983626727,0.0003,0.9301859140396118,16.142372131347656,9989.0,-4225.9108208
61440,624,98,30,290,8.773933738656343,-1.9399104118347168,0.01292453,0.084375,0.2,-2.6913196355104447,-0.0012024382594972849,0.0003,0.92670738697052,0.40971997380256653,9989.0,-3992.3015761666666
63488,626,101,31,300,34.05541017055511,0.01667696237564087,0.012519767,0.110791015625,0.2,-2.68584348782897,-0.002860448442515917,0.0003,0.9280122518539429,12.949159622192383,9989.0,-3992.3015761666666
65536,626,104,32,310,9.70030612051487,-0.06796514987945557,0.01122548,0.07509765625,0.2,-2.6841286733746528,-0.0008470115339150652,0.0003,0.9250818490982056,2.603090763092041,9989.0,-3992.3015761666666
67584,627,107,33,320,4.704039644449949,-0.08574771881103516,0.013043331,0.112548828125,0.2,-2.680158057063818,0.0007288036926183849,0.0003,0.9229428768157959,2.864241123199463,9989.0,-3992.3015761666666
69632,628,110,34,330,5.1431371327489614,-0.0318833589553833,0.010274624,0.0912109375,0.2,-2.687492351233959,-0.004073808551765978,0.0003,0.9323246479034424,0.9276800751686096,9989.0,-3992.3015761666666
71680,629,113,35,340,4.42106745801866,-0.021001219749450684,0.016649412,0.116943359375,0.2,-2.6953139238059522,-0.004581797766149975,0.0003,0.9326958656311035,0.6786916851997375,9989.0,-4025.592118
73728,630,117,36,350,21.323993362486362,0.01392430067062378,0.009467371,0.078466796875,0.2,-2.69224022179842,-0.0027180445937119656,0.0003,0.9280470609664917,7.539738178253174,9989.0,-4025.592118
75776,630,120,37,360,1.8030952531844378,0.021682918071746826,0.010535918,0.10439453125,0.2,-2.6728513196110724,-0.001110948396672029,0.0003,0.9171402454376221,0.9606256484985352,9989.0,-4025.592118
77824,631,123,38,370,15.383213225007058,0.013038098812103271,0.00818474,0.058935546875,0.2,-2.6584501937031746,-0.005608681999729015,0.0003,0.9128249883651733,5.99340295791626,9989.0,-4025.592118
79872,631,126,39,380,40.601737934350965,0.004315316677093506,0.0052495184,0.04326171875,0.2,-2.650323189049959,-0.00493400284613017,0.0003,0.9101094007492065,19.23979377746582,9989.0,-4025.592118
81920,632,129,40,390,4.564766061306,-0.02757704257965088,0.009274146,0.070849609375,0.2,-2.641427244991064,-0.00353466381347971,0.0003,0.9055732488632202,2.640282392501831,9989.0,-3783.913250125
83968,632,132,41,400,20.260816302895545,-0.05430150032043457,0.010004516,0.070654296875,0.2,-2.6364486306905746,-0.0032095014976221137,0.0003,0.9060568809509277,9.16601848602295,9989.0,-3783.913250125
86016,630,136,42,410,4.227513602375984,-0.057733893394470215,0.0077197487,0.062890625,0.2,-2.631368113309145,-0.004061354175792076,0.0003,0.899909496307373,1.8267643451690674,9989.0,-3783.913250125
88064,631,139,43,420,4.9722978815436365,-0.00810229778289795,0.015619619,0.113525390625,0.2,-2.61655700430274,0.002161985050770454,0.0003,0.8934892416000366,2.2002086639404297,9989.0,-3783.913250125
90112,632,142,44,430,27.246149510145187,-0.025516986846923828,0.0047229445,0.06318359375,0.2,-2.6066051319241526,-0.004158484250365291,0.0003,0.8915634155273438,15.438468933105469,9989.0,-3369.5966881111112
92160,632,145,45,440,84.98177891969681,-0.04237639904022217,0.00833527,0.048095703125,0.2,-2.603288870304823,-0.0009547735142405144,0.0003,0.8907791376113892,31.68897819519043,9989.0,-3369.5966881111112
94208,631,149,46,450,5.072974773496389,-0.7641124725341797,0.008954342,0.056982421875,0.2,-2.6067490980029104,-0.0014765288229682482,0.0003,0.8936178088188171,1.6565022468566895,9989.0,-3369.5966881111112
96256,631,152,47,460,4.382956780865788,-0.013218045234680176,0.015373683,0.10078125,0.2,-2.584856903553009,-0.002286560757784173,0.0003,0.8736038208007812,0.9849024415016174,9989.0,-3369.5966881111112
98304,632,155,48,470,6.208975150063634,-0.13715195655822754,0.008942675,0.0763671875,0.2,-2.5613279193639755,-0.004522233252646402,0.0003,0.8729950189590454,1.5981488227844238,9989.0,-3369.5966881111112
100352,632,158,49,480,6.132589416578412,-0.11195063591003418,0.010134082,0.10302734375,0.2,-2.5574584148824213,-0.0035088765478576535,0.0003,0.8666751384735107,0.3269486427307129,9989.0,-3624.3420737
102400,633,161,50,490,34.342590326070784,-0.011510014533996582,0.007844025,0.0638671875,0.2,-2.539548233151436,-0.005491161640384235,0.0003,0.8605161905288696,14.955595016479492,9989.0,-3624.3420737
104448,633,164,51,500,13.17034134566784,-0.016644001007080078,0.0089642,0.060888671875,0.2,-2.533186063170433,-0.004264581306779291,0.0003,0.8602204918861389,5.2915191650390625,9989.0,-3624.3420737
106496,633,167,52,510,1.8534679159522056,-0.0742185115814209,0.010789158,0.104248046875,0.2,-2.5211574494838715,-0.0022127952914161144,0.0003,0.8510891199111938,0.8463417291641235,9989.0,-3624.3420737
108544,634,171,53,520,2.9986848827451467,-0.15026092529296875,0.011327781,0.102587890625,0.2,-2.5057460218667984,-0.002528955688831047,0.0003,0.8472309112548828,0.3474670350551605,9989.0,-3624.3420737
110592,634,174,54,530,7.739435801468789,-0.14410018920898438,0.007792536,0.069580078125,0.2,-2.4924588553607463,-0.003113083815696882,0.0003,0.8408868908882141,0.2417575567960739,9989.0,-3791.142499636364
112640,635,177,55,540,61.815792167186736,0.003181636333465576,0.0066299876,0.056103515625,0.2,-2.472572793066502,-0.002015797415515408,0.0003,0.8331902623176575,30.559274673461914,9989.0,-3791.142499636364
114688,635,180,56,550,45.22953567504883,-0.030144214630126953,0.0071148425,0.045849609375,0.2,-2.461639615148306,-0.00289550793095259,0.0003,0.8294492363929749,9.855935096740723,9989.0,-3791.142499636364
116736,636,183,57,560,83.78912954330444,-0.03907346725463867,0.006888147,0.03466796875,0.2,-2.455703816562891,-0.0022426499534049073,0.0003,0.8287090063095093,13.099282264709473,9989.0,-3791.142499636364
118784,634,187,58,570,17.89433127641678,-0.09914636611938477,0.0084086135,0.075927734375,0.2,-2.453389535844326,-0.002261764765717089,0.0003,0.8283451795578003,6.439840316772461,9989.0,-3791.142499636364
120832,635,190,59,580,63.35647174119949,0.04913109540939331,0.0066603683,0.0587890625,0.2,-2.4474677726626397,-0.0014672957186121494,0.0003,0.8246051669120789,25.343204498291016,9989.0,-3182.7500350000005
122880,635,193,60,590,3.991950058192015,-0.402116060256958,0.013075348,0.1302734375,0.2,-2.4481929048895834,-0.0018690147146116943,0.0003,0.8313202857971191,1.3254376649856567,9989.0,-3182.7500350000005
124928,635,196,61,600,42.53028135895729,-0.03317916393280029,0.008246159,0.076318359375,0.2,-2.4597911864519117,-0.004505321109900251,0.0003,0.8334246873855591,10.545449256896973,9989.0,-3182.7500350000005
126976,636,199,62,610,58.51372622847557,-0.0027954578399658203,0.009747371,0.065869140625,0.2,-2.4520559191703795,-0.0012865055759903044,0.0003,0.8210089206695557,17.03156280517578,9989.0,-3182.7500350000005
129024,636,202,63,620,405.2659345626831,0.012775123119354248,0.0030160819,0.0193359375,0.2,-2.4324422158300876,-0.0001316732683335431,0.0003,0.821723461151123,92.74263000488281,9989.0,-3182.7500350000005
131072,636,205,64,630,194.94918191432953,0.0038712620735168457,0.0043767663,0.02802734375,0.2,-2.432930649071932,-0.0016962127134320325,0.0003,0.82149338722229,52.47755432128906,9989.0,-2130.8446973846158
133120,637,208,65,640,152.3081822872162,0.0006992220878601074,0.009875382,0.088330078125,0.2,-2.4305836357176305,-0.003811991208931431,0.0003,0.8212758302688599,81.1881332397461,9989.0,-2130.8446973846158
135168,637,212,66,650,64.15119331255555,-0.07558238506317139,0.010268808,0.057568359375,0.2,-2.426872542500496,-0.0005013407244405244,0.0003,0.8134021759033203,0.8224725723266602,9989.0,-2130.8446973846158
137216,637,215,67,660,15.433993022143842,-0.05014169216156006,0.009173369,0.08134765625,0.2,-2.4002730309963227,-0.0044489902153145525,0.0003,0.8028457164764404,1.3146929740905762,9989.0,-2130.8446973846158
139264,637,218,68,670,131.88072476387023,-0.003136873245239258,0.005331511,0.060693359375,0.2,-2.386421125382185,0.0011731962309568188,0.0003,0.8038791418075562,76.40369415283203,9989.0,-2130.8446973846158
141312,636,221,69,680,330.15899428129194,-0.01977849006652832,0.001245943,0.006494140625,0.2,-2.3889023318886755,-0.0006989087683905382,0.0003,0.8044281601905823,43.65867233276367,9989.0,-1716.5966676428575
143360,637,225,70,690,37.641808485984804,0.0002263784408569336,0.0099138785,0.075927734375,0.2,-2.3891144931316375,-0.0006229576873010955,0.0003,0.803586483001709,26.80632781982422,9989.0,-1716.5966676428575
145408,637,228,71,700,21.279636999964715,0.0014255046844482422,0.010286899,0.09580078125,0.2,-2.380796471238136,-0.00025968161498894914,0.0003,0.7993584871292114,9.095050811767578,9989.0,-1716.5966676428575
147456,637,231,72,710,191.46883873939515,-0.0025482177734375,0.0050347103,0.01630859375,0.2,-2.374073138833046,-0.0007655993977095932,0.0003,0.7981823682785034,61.2230339050293,9989.0,-1716.5966676428575
149504,638,234,73,720,547.674463558197,0.0007222294807434082,0.0028577168,0.005126953125,0.2,-2.373154817521572,-0.0020178146762191316,0.0003,0.7983788251876831,205.2579803466797,9989.0,-1716.5966676428575
151552,638,237,74,730,2888.262975692749,0.00029337406158447266,0.00049612124,0.005029296875,0.2,-2.3734313406050207,-0.00022775424258725252,0.0003,0.7982754707336426,1092.5914306640625,9989.0,-457.30275966666693
153600,638,240,75,740,661.2997388839722,0.000284731388092041,0.010822333,0.113525390625,0.2,-2.3611571535468103,-0.003287386949523352,0.0003,0.7908147573471069,301.5326843261719,9989.0,-457.30275966666693
155648,639,243,76,750,97.6752791672945,-0.010433554649353027,0.011503458,0.074609375,0.2,-2.355217181146145,-0.0006615134145249613,0.0003,0.7896113395690918,5.637979030609131,9989.0,-457.30275966666693
157696,639,246,77,760,180.7874096279964,-0.023802518844604492,0.0072027035,0.03447265625,0.2,-2.3525330148637296,-0.002085401472868398,0.0003,0.7909674048423767,0.9859181642532349,9989.0,-457.30275966666693
159744,639,249,78,770,57.5818707307335,-0.05280041694641113,0.007041085,0.0619140625,0.2,-2.360919129103422,-0.0028228347007825507,0.0003,0.7930001616477966,0.15095290541648865,9989.0,-457.30275966666693
161792,640,252,79,780,44.20062835449353,-0.012193679809570312,0.0067706862,0.06826171875,0.2,-2.352314876765013,-0.001936128852685215,0.0003,0.7800254821777344,0.30612409114837646,9989.0,-699.056267375
163840,640,255,80,790,40.28767754435539,-0.003108501434326172,0.00754865,0.060693359375,0.2,-2.32708633095026,-0.000986501191800926,0.0003,0.7742701768875122,23.529727935791016,9989.0,-699.056267375
165888,640,258,81,800,88.31608227491378,0.0010377764701843262,0.009165991,0.110791015625,0.2,-2.3196096435189246,0.000605851347791031,0.0003,0.7742677927017212,32.07892608642578,9989.0,-699.056267375
167936,641,261,82,810,53.143628322705624,-0.6125128269195557,0.010577338,0.050927734375,0.2,-2.3103361174464228,-0.0006253549938264769,0.0003,0.7599852085113525,1.1037617921829224,9989.0,-699.056267375
169984,641,265,83,820,18.624332398176193,-0.019966602325439453,0.008976387,0.112890625,0.2,-2.2838280618190767,-0.0013314427182194778,0.0003,0.7615984678268433,1.0028719902038574,9989.0,-866.6654461764706
172032,641,268,84,830,31.193854366242885,-0.006709933280944824,0.009862441,0.078271484375,0.2,-2.2773324094712732,-0.0017100568627938628,0.0003,0.7558243870735168,11.148496627807617,9989.0,-866.6654461764706
174080,640,271,85,840,10.59836913049221,-0.024577617645263672,0.01306014,0.07724609375,0.2,-2.2555823028087616,-0.004290254208899569,0.0003,0.7443277835845947,3.512202501296997,9989.0,-866.6654461764706
176128,639,275,86,850,14.854690676927566,5.817413330078125e-05,0.009815525,0.09248046875,0.2,-2.236680518835783,-0.0017245737690245733,0.0003,0.7435687780380249,7.430917263031006,9989.0,-866.6654461764706
178176,639,278,87,860,1.719107761606574,-0.5953247547149658,0.0075888275,0.07998046875,0.2,-2.2209325835108755,-0.00388021254184423,0.0003,0.7332568168640137,0.44622039794921875,9989.0,-866.6654461764706
180224,638,282,88,870,13.75744688808918,0.006042301654815674,0.0069353003,0.0615234375,0.2,-2.208992226421833,-0.0025788507598917933,0.0003,0.7329171895980835,7.629677772521973,9989.0,-981.9866495
182272,637,285,89,880,62.563157111406326,-0.03906428813934326,0.004550634,0.029541015625,0.2,-2.2039190359413623,-0.0022750300471670926,0.0003,0.7297054529190063,28.225095748901367,9989.0,-981.9866495
184320,638,288,90,890,103.55458882451057,-0.015776634216308594,0.007787832,0.0333984375,0.2,-2.1991768680512904,-0.002475103272445267,0.0003,0.7306119799613953,12.786096572875977,9989.0,-981.9866495
186368,637,292,91,900,71.49693443775178,0.0005120635032653809,0.0074230544,0.04033203125,0.2,-2.201812581717968,-0.0016295656940201297,0.0003,0.7317907810211182,24.406343460083008,9989.0,-981.9866495
188416,637,295,92,910,7.885422390699387,-0.24070560932159424,0.0071789105,0.079443359375,0.2,-2.2024803183972836,-0.0047079344600206244,0.0003,0.7300246953964233,2.665485143661499,9989.0,-981.9866495
190464,636,299,93,920,20.698218214511872,0.0056111812591552734,0.0071475585,0.072900390625,0.2,-2.1990608908236027,-0.0032111156659084374,0.0003,0.731916069984436,6.467906475067139,9989.0,-864.2772896315789
