rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_fraction,train/loss
-0.024014888888888888,1,1088,2048,206.0,1,,,,,,,,,,,
-0.003251263157894736,4,982,4096,206.0,2,0.0049345614,0.012713973286736291,0.2,0.9925421476364136,-2.8300273761153223,-41.644813537597656,-0.00417628246214008,0.0003,10,0.034521484375,-0.003719310974702239
0.012931999999999999,6,966,6144,206.0,3,0.004951618,0.001402260629583907,0.2,0.9823788404464722,-2.8132220841944218,-2.44157075881958,-0.005758923882967793,0.0003,20,0.02607421875,0.0004104456165805459
0.009055153846153852,8,958,8192,206.0,4,0.0050285673,0.0008299744833493606,0.2,0.9664238691329956,-2.783898140490055,-1.2520320415496826,-0.005556186029571109,0.0003,30,0.04375,0.00559427123516798
0.015278591836734695,10,953,10240,206.0,5,0.005419039,0.0005303016380366898,0.2,0.9630259275436401,-2.7648645184934137,-0.7126667499542236,-0.005140602443134412,0.0003,40,0.03720703125,-0.008511500433087349
0.02207218644067797,12,950,12288,206.0,6,0.005796165,0.0005719840857636882,0.2,0.956069827079773,-2.754728088527918,-0.31323087215423584,-0.007892675860784949,0.0003,50,0.060595703125,-0.002305059228092432
0.024651855072463768,15,949,14336,206.0,7,0.005625194,0.0005541952343264712,0.2,0.9453154802322388,-2.734051088988781,-0.1299518346786499,-0.005459798722586129,0.0003,60,0.04052734375,0.003955387510359287
0.036227974683544314,17,949,16384,206.0,8,0.0064243143,0.000598582810289372,0.2,0.9451889395713806,-2.725326858460903,-0.06982851028442383,-0.0076499300383147785,0.0003,70,0.06064453125,-0.012160954996943474
0.043286898876404495,19,948,18432,206.0,9,0.0050056437,0.0005144356521668669,0.2,0.947144627571106,-2.728793976455927,-0.06110703945159912,-0.005419994359544944,0.0003,80,0.04072265625,0.006686699111014605
0.050479414141414145,21,945,20480,206.0,10,0.007264288,0.0005547970419684134,0.2,0.9329918622970581,-2.709845043718815,0.0471419095993042,-0.008474363214918412,0.0003,90,0.055419921875,-0.025820543989539146
0.06725271000000001,23,941,22528,206.0,11,0.0076286686,0.0004850134573644027,0.2,0.9229041337966919,-2.684556699544191,-0.06183040142059326,-0.009163514437386767,0.0003,100,0.0646484375,-0.013939072377979755
0.07952504,26,941,24576,206.0,12,0.004978519,0.0004877365789070609,0.2,0.9251745343208313,-2.680752333253622,0.03828537464141846,-0.005878886360733304,0.0003,110,0.03935546875,-0.00993409100919962
0.08492673999999999,28,941,26624,206.0,13,0.006318248,0.0006543711125232221,0.2,0.9074562191963196,-2.659353868663311,0.12174773216247559,-0.006864859562483616,0.0003,120,0.054736328125,-0.0008601456647738814
0.09573746,30,942,28672,206.0,14,0.007566728,0.0005721027736399264,0.2,0.9022789001464844,-2.636083774268627,0.1305919885635376,-0.007079925283323974,0.0003,130,0.05546875,0.0037543526850640774
0.10996616,32,942,30720,206.0,15,0.006804376,0.00048090508607856464,0.2,0.8978708982467651,-2.625833735615015,0.17674249410629272,-0.008142074075294659,0.0003,140,0.0744140625,-0.017883772030472755
