time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/explained_variance,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/std,train/entropy_loss,train/policy_gradient_loss
2048,-1034.15811,901,1,1071.0,2,,,,,,,,,,,
4096,-1028.6663163333333,815,2,1071.0,5,81.11505336612463,-0.019286036491394043,0.004056644,3.7355356216430664,0.0003,0.039306640625,0.2,10,0.9991468787193298,-2.8376361832022665,-0.003841553871461656
6144,-1065.6113944,798,3,1071.0,7,171.52295078039168,0.00042873620986938477,0.002401146,115.8182601928711,0.0003,0.0068359375,0.2,20,0.9897918701171875,-2.8271838672459126,-0.0025581295718438922
8192,-1077.521952,790,4,1071.0,10,115.46704312562943,0.00016188621520996094,0.0067306436,16.516557693481445,0.0003,0.051708984375,0.2,30,0.9824044704437256,-2.811753311753273,-0.006909930193069158
10240,-1051.7308222222223,784,5,1071.0,13,183.35866425931454,0.00022125244140625,0.012581637,5.692209720611572,0.0003,0.08232421875,0.2,40,0.9862104654312134,-2.8066125854849817,-0.0014067575946683064
