time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/loss,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/std,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss
1,1,-0.07837577777777777,1119,206.0,2048,,,,,,,,,,,
2,4,-0.04995084210526316,1017,206.0,4096,-0.008065009489655495,0.2,-1.6758830547332764,0.028222483865101823,0.0271484375,0.0021142485,0.9881423711776733,0.0003,10,-2.827426641434431,-0.004271330797928385
3,6,-0.04508496551724139,984,206.0,6144,-0.0029883901588618755,0.2,-0.006872296333312988,0.013318957795854658,0.03271484375,0.0054554343,0.9782220721244812,0.0003,20,-2.805099629610777,-0.005871003547508735
4,8,-0.03804920512820514,973,206.0,8192,0.001660304144024849,0.2,0.14008939266204834,0.007728378233150579,0.04404296875,0.00497636,0.9585709571838379,0.0003,30,-2.7706849433481695,-0.005832557944813743
5,10,-0.04062134693877552,965,206.0,10240,-0.023398395627737045,0.2,0.20062154531478882,0.005234239283163333,0.045947265625,0.0046474584,0.946830153465271,0.0003,40,-2.7391531117260457,-0.006178638170240447
6,12,-0.037247220338983054,950,206.0,12288,-0.01693093776702881,0.2,0.21477001905441284,0.003216574351245072,0.07919921875,0.0072615226,0.9394500255584717,0.0003,50,-2.722326277941465,-0.009857412159908563
