rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate
1071.0,1333,-0.194236,2048,1,1,,,,,,,,,,,
1071.0,1059,-0.06092066666666666,4096,2,3,0.012500152645952767,-0.004849105955509003,1.0023670196533203,0.2,-26.000946044921875,-2.8413166493177413,0.004622927,-0.013738898560404778,0.02666015625,10,0.0003
1071.0,1081,-0.09794339999999999,6144,3,5,0.004200323432451114,-0.005047497658233624,1.0050469636917114,0.2,-2.2602760791778564,-2.844471251219511,0.0052597504,-0.02338637039065361,0.0298828125,20,0.0003
1071.0,1032,0.013299428571428573,8192,4,7,0.003455978680358385,-0.009002196788787841,1.0005277395248413,0.2,-0.9713850021362305,-2.841836094856262,0.006499987,-0.004240464884787798,0.051123046875,30,0.0003
1071.0,1051,-0.12085866666666664,10240,5,9,0.0023034602134430317,-0.00680053090909496,1.0046284198760986,0.2,-1.0159151554107666,-2.8435011103749277,0.005202406,-0.020627595484256744,0.047021484375,40,0.0003
1071.0,1064,-0.07354009090909089,12288,6,11,0.0021595307618554214,-0.005889760915306397,1.0063656568527222,0.2,-0.7173476219177246,-2.8488200560212134,0.005864012,-0.001426810398697853,0.054833984375,50,0.0003
1071.0,1074,-0.01677723076923076,14336,7,13,0.0017904109263326973,-0.00763911639660364,1.007631540298462,0.2,-0.588499903678894,-2.854714176803827,0.0063109077,-0.02471952885389328,0.048779296875,60,0.0003
1071.0,1082,0.06655246666666667,16384,8,15,0.001741523388409405,-0.0055587808281416075,0.988467812538147,0.2,-0.4006232023239136,-2.8318443283438683,0.005031458,-0.015848811715841293,0.036962890625,70,0.0003
1071.0,1088,0.041471058823529416,18432,9,16,0.0015506682560953778,-0.0065670352880260905,0.9878007173538208,0.2,-0.30747854709625244,-2.8148120902478695,0.006110671,-0.004274054896086454,0.036669921875,80,0.0003
1071.0,1069,0.04692305263157895,20480,10,19,0.0014638759954323176,-0.007634837418299867,0.9812446236610413,0.2,-0.3274902105331421,-2.805327260494232,0.0061428715,0.0009612289723008871,0.063818359375,90,0.0003
1071.0,1052,0.058550666666666674,22528,11,21,0.001365613685811695,-0.007510145109699806,0.9835394620895386,0.2,-0.3089834451675415,-2.804750891774893,0.005529679,-0.001553858513943851,0.037060546875,100,0.0003
1071.0,1039,0.05866813636363637,24576,12,23,0.0013119610497597024,-0.004832760173303541,0.9713693857192993,0.2,-0.2630804777145386,-2.790805780142546,0.00464464,0.011722912080585957,0.029638671875,110,0.0003
1071.0,1029,0.06440554166666666,26624,13,25,0.0012510373942859587,-0.006751536390947876,0.9729918241500854,0.2,-0.31684720516204834,-2.781072534620762,0.0047658803,-0.018730303272604942,0.046484375,120,0.0003
1071.0,1020,0.06805861538461537,28672,14,28,0.0012107422551707713,-0.007856316320976475,0.9628903865814209,0.2,-0.20498144626617432,-2.7721853591501713,0.006190031,-0.0018722920212894678,0.0453125,130,0.0003
1071.0,1011,0.08856671428571428,30720,15,30,0.0013812470844641212,-0.004938781149394345,0.9717384576797485,0.2,-0.16305649280548096,-2.772429042309523,0.0065200925,0.0033747898414731026,0.053271484375,140,0.0003
1071.0,1006,0.09780353333333333,32768,16,32,0.001280865443368384,-0.01033705636218656,0.9563579559326172,0.2,-0.13416612148284912,-2.762393094599247,0.0076808943,-0.01790391094982624,0.05751953125,150,0.0003
1071.0,1001,0.06498946875,34816,17,34,0.0011586091455683344,-0.0070854846475413066,0.954288125038147,0.2,-0.10999739170074463,-2.745714417099953,0.005433277,-0.019501347094774246,0.05927734375,160,0.0003
1071.0,995,0.06676629411764706,36864,18,37,0.000945331488037482,-0.005836643364455085,0.9405102133750916,0.2,-0.18606901168823242,-2.7287732020020483,0.006067126,-0.008254115469753742,0.037646484375,170,0.0003
1071.0,991,0.029913305555555554,38912,19,39,0.001462396323950088,-0.007327294563583564,0.9310288429260254,0.2,-0.08834397792816162,-2.70436405017972,0.0056635267,-0.03756522387266159,0.0466796875,180,0.0003
1071.0,987,0.058885894736842095,40960,20,41,0.0011637621515546924,-0.007595943361229729,0.9256175756454468,0.2,-0.14503467082977295,-2.6875632271170615,0.005467645,-0.002692518290132284,0.056689453125,190,0.0003
1071.0,984,0.057079774999999985,43008,21,43,0.0011367546350811609,-0.006420002048253081,0.9187872409820557,0.2,-0.09922444820404053,-2.674980118125677,0.0052497173,-0.005460012704133987,0.05126953125,200,0.0003
1071.0,980,0.06745935714285714,45056,22,45,0.0012250633388248388,-0.005199139271280728,0.9138965606689453,0.2,-0.08018350601196289,-2.6627490505576135,0.0062447614,-0.0030583878979086876,0.049755859375,210,0.0003
1071.0,978,0.06768744186046512,47104,23,48,0.0010268067622746456,-0.007641030898957979,0.9097669124603271,0.2,-0.06745457649230957,-2.652914597094059,0.007929619,-0.01607799343764782,0.0658203125,220,0.0003
1071.0,983,0.06810224444444443,49152,24,49,0.001186118180703488,-0.007834753007045947,0.9263720512390137,0.2,-0.04985451698303223,-2.6691389635205267,0.0059901117,-0.02440379187464714,0.044775390625,230,0.0003
1071.0,980,0.07339661702127659,51200,25,52,0.001269869964926329,-0.006867988572776085,0.9157731533050537,0.2,-0.10936856269836426,-2.6722783491015436,0.00749033,-0.001894911052659154,0.064697265625,240,0.0003
