rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/std,train/value_loss,train/explained_variance
260.0,1106,1,-0.06502042857142856,1,2048,,,,,,,,,,,
260.0,1002,4,-0.04836966666666666,2,4096,0.0003,0.0078161,0.0705078125,0.2,-2.8421447493135927,-0.0058119440072914585,-0.0021403077989816666,10,1.0035603046417236,0.03072716971801128,-12.616754531860352
260.0,976,6,-0.03520421739130435,3,6144,0.0003,0.0069605126,0.0306640625,0.2,-2.838365523517132,-0.004132748369011096,-0.016113663092255592,20,0.9968811273574829,0.007854625832260353,-0.08952212333679199
260.0,959,8,-0.02332016129032258,4,8192,0.0003,0.004894014,0.039599609375,0.2,-2.832549826800823,-0.005067772101028822,-0.006273277569562197,30,0.9964799880981445,0.004530308434914332,0.1425544023513794
260.0,952,10,-0.021420384615384622,5,10240,0.0003,0.0056087044,0.0330078125,0.2,-2.8247377455234526,-0.0047632222907850515,-0.004254769999533892,40,0.9914031028747559,0.002643167881251429,0.22937113046646118
260.0,947,12,-0.01637482978723405,6,12288,0.0003,0.0054131476,0.049755859375,0.2,-2.8008288510143755,-0.004873143232543953,0.005023233592510223,50,0.9738388061523438,0.0018631716257004882,0.3100326657295227
260.0,935,15,-0.00741647272727273,7,14336,0.0003,0.0073310994,0.069970703125,0.2,-2.787221696972847,-0.008572360101970844,-0.008525623008608818,60,0.9746779203414917,0.0011547060317752766,0.28776097297668457
260.0,927,17,0.0019426190476190455,8,16384,0.0003,0.008062592,0.081103515625,0.2,-2.7813913241028785,-0.011323325664852746,-0.028777478262782097,70,0.9711016416549683,0.000908787683420087,0.27380961179733276
260.0,924,19,0.004645499999999999,9,18432,0.0003,0.0054229544,0.041015625,0.2,-2.7772287100553514,-0.004850865324260667,-0.0021302446257323027,80,0.9687445759773254,0.000740439518722269,0.18697476387023926
260.0,919,22,0.006899076923076921,10,20480,0.0003,0.0053078188,0.050244140625,0.2,-2.774484670907259,-0.004333171408507042,0.009414872154593468,90,0.9684704542160034,0.00054880986617718,0.07328677177429199
260.0,917,24,0.011884441860465117,11,22528,0.0003,0.0076820683,0.061083984375,0.2,-2.780444072932005,-0.008251776536053513,-0.029254423454403877,100,0.9736250042915344,0.0004974162272446847,0.04733157157897949
260.0,914,26,0.010370627659574468,12,24576,0.0003,0.007263044,0.0689453125,0.2,-2.7820955224335195,-0.007181518917786889,0.0006916122511029243,110,0.9696518182754517,0.0004921175535855582,-0.02628934383392334
