rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss
1071.0,1,423,0.331011,2048,4,,,,,,,,,,,
1071.0,2,375,-0.18302666666666667,4096,10,-2.8406564317643643,1.0045506954193115,0.0047880663,0.2,0.036083984375,0.014014456202130533,0.0003,-0.006471413347753696,-17.126575469970703,10,-0.0016536919865757227
1071.0,3,363,-0.4048918,6144,16,-2.8382322125136854,0.9962561130523682,0.006241342,0.2,0.0435546875,0.0028059194424713495,0.0003,-0.006041569655644707,-2.48996639251709,20,-0.005615369416773319
1071.0,4,346,-0.4170885714285714,8192,23,-2.8387117885053157,1.0040407180786133,0.004582504,0.2,0.03486328125,0.0018491463670216035,0.0003,-0.004710667206381913,-1.1242215633392334,30,-0.0025811046361923218
1071.0,5,341,-0.24339277777777774,10240,29,-2.8378863379359247,0.997408390045166,0.005779063,0.2,0.042919921875,0.0016621917086013128,0.0003,-0.007180166148464196,-0.7235132455825806,40,0.0021356958895921707
