time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/learning_rate
2048,1,-0.34383,2,977,1071.0,,,,,,,,,,,
4096,2,-0.03552700000000001,4,878,1071.0,0.020029672542295884,-13.159997940063477,-0.0037363520328653975,0.0036890842,0.00022018852178007364,-2.8346617385745048,10,0.2,0.9977923631668091,0.02177734375,0.0003
6144,3,0.0811644,7,858,1071.0,0.00827705365336442,-0.2577129602432251,-0.0043509025461389685,0.005358286,0.00404183566570282,-2.815884667634964,20,0.2,0.9807972311973572,0.039990234375,0.0003
8192,4,0.025655142857142856,9,857,1071.0,0.005350473782709741,-0.11655592918395996,-0.003393653195234947,0.0053494666,-0.010984701104462147,-2.8032005414366723,30,0.2,0.9833707809448242,0.037939453125,0.0003
10240,5,0.004273111111111109,11,858,1071.0,0.0037260398885337054,-0.07822835445404053,-0.003327449094649637,0.003218824,-9.777816012501717e-05,-2.801326400786638,40,0.2,0.9794274568557739,0.027587890625,0.0003
12288,6,0.02402581818181818,14,859,1071.0,0.002694993202203477,-0.09043490886688232,-0.005791735672391951,0.0073191863,-0.017475606873631477,-2.7855224519968034,50,0.2,0.9715843200683594,0.059423828125,0.0003
14336,7,0.012681076923076918,16,859,1071.0,0.0020913099850076835,-0.09198582172393799,-0.002109074132749811,0.004817798,0.0041554332710802555,-2.7804160483181475,60,0.2,0.9728927612304688,0.01767578125,0.0003
16384,8,-0.002944333333333338,19,859,1071.0,0.0015790180023032008,-0.11831581592559814,-0.005476194273796864,0.006937667,-0.001467596273869276,-2.7625639483332636,70,0.2,0.9538001418113708,0.03955078125,0.0003
18432,9,-0.013909764705882356,21,860,1071.0,0.0011442750575952232,-0.12855148315429688,-0.006776667680242099,0.004520973,0.008450301364064217,-2.7266443222761154,80,0.2,0.9426330327987671,0.06943359375,0.0003
20480,10,-0.04621152631578948,23,860,1071.0,0.001059502299358428,-0.1163022518157959,-0.0036895936937071383,0.0048799133,0.003221366088837385,-2.6962826497852803,90,0.2,0.9238250851631165,0.034375,0.0003
