Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,36390,2024-03-08,8019.200000000011,-0.9623616,2,0.0,-0.17357372901981813,True,98,104,202,"{'r': -0.173574, 'l': 1070, 't': 89.548784}",False
1080,37460,2024-03-08,11852.890000000012,-0.8998614,2,0.0,0.23687999978092258,True,105,103,208,"{'r': 0.23688, 'l': 1070, 't': 92.092762}",False
1080,38530,2024-03-08,12722.009999999997,-0.8337232,2,0.0,0.304559214510598,True,101,109,210,"{'r': 0.304559, 'l': 1070, 't': 94.56609}",False
1080,39600,2024-03-08,5963.300000000002,-0.97278214,2,0.0,-0.4604592725444446,True,87,124,211,"{'r': -0.460459, 'l': 1070, 't': 97.083146}",False
1080,40670,2024-03-08,7591.220000000003,0.042583644,1,0.0,-0.21263378477690892,True,100,122,222,"{'r': -0.212634, 'l': 1070, 't': 99.544601}",False
1080,41740,2024-03-08,6174.109999999998,1.0,1,0.0,-0.4316309345887435,True,97,140,237,"{'r': -0.431631, 'l': 1070, 't': 102.037002}",False
1080,42810,2024-03-08,11958.709999999994,-0.5125417,2,0.0,0.25005949150844226,True,97,118,215,"{'r': 0.250059, 'l': 1070, 't': 104.496581}",False
1080,43880,2024-03-08,8822.580000000002,-1.0,0,-0.012485826823652584,-0.07348363636407601,True,105,110,215,"{'r': -0.073484, 'l': 1070, 't': 107.070303}",False
1080,44950,2024-03-08,10952.809999999998,1.0,1,0.0,0.15276165120024213,True,112,108,220,"{'r': 0.152762, 'l': 1070, 't': 109.797047}",False
1080,46020,2024-03-08,9658.14,1.0,1,0.0,0.030527443185736164,True,78,106,184,"{'r': 0.030527, 'l': 1070, 't': 112.473425}",False
1080,47090,2024-03-08,9088.429999999993,1.0,1,0.0,-0.03958192539825248,True,111,93,204,"{'r': -0.039582, 'l': 1070, 't': 115.120717}",False
1080,48160,2024-03-08,7129.540000000006,1.0,2,0.0,-0.2713289683063998,True,94,105,199,"{'r': -0.271329, 'l': 1070, 't': 117.841752}",False
1080,49230,2024-03-08,8846.699999999999,0.18550426,0,0.0,-0.03446574233284565,True,84,87,171,"{'r': -0.034466, 'l': 1070, 't': 120.554231}",False
1080,50300,2024-03-08,10854.760000000004,0.061869025,2,0.0,0.145509189742526,True,95,95,190,"{'r': 0.145509, 'l': 1070, 't': 123.287235}",False
1080,51370,2024-03-08,15612.990000000003,0.6547878,1,0.0,0.5093710895090869,True,117,94,211,"{'r': 0.509371, 'l': 1070, 't': 125.99114}",False
1080,52440,2024-03-08,8114.669999999997,1.0,1,0.0,-0.15361799701951517,True,107,108,215,"{'r': -0.153618, 'l': 1070, 't': 128.659232}",False
1080,53510,2024-03-08,10886.910000000002,0.763216,0,-0.012062788570432989,0.14093331393798494,True,109,110,219,"{'r': 0.140933, 'l': 1070, 't': 131.369405}",False
1080,54580,2024-03-08,7771.170000000006,1.0,1,0.0,-0.1628248193591716,True,98,100,198,"{'r': -0.162825, 'l': 1070, 't': 134.158206}",False
1080,55650,2024-03-08,7274.849999999994,0.24706158,0,-0.016516110541812807,-0.2536177781527254,True,104,107,211,"{'r': -0.253618, 'l': 1070, 't': 136.870038}",False
1080,56720,2024-03-08,10385.44999999999,-1.0,2,0.0,0.09693654525687283,True,103,101,204,"{'r': 0.096937, 'l': 1070, 't': 139.345975}",False
1080,57790,2024-03-08,10460.600000000008,-1.0,2,0.0,0.11112156400671594,True,110,104,214,"{'r': 0.111122, 'l': 1070, 't': 141.815711}",False
1080,58860,2024-03-08,12540.409999999993,1.0,1,0.0,0.2821064839750915,True,116,99,215,"{'r': 0.282106, 'l': 1070, 't': 144.308}",False
1080,59930,2024-03-08,17274.380000000005,1.0,1,0.0,0.6222962662564516,True,108,104,212,"{'r': 0.622296, 'l': 1070, 't': 146.803899}",False
1080,61000,2024-03-08,11121.300000000003,1.0,0,-0.012485448738269133,0.15522634544678612,True,119,93,212,"{'r': 0.155226, 'l': 1070, 't': 149.323026}",False
1080,62070,2024-03-08,16380.059999999996,-1.0,2,0.0,0.5529096586223302,True,101,91,192,"{'r': 0.55291, 'l': 1070, 't': 151.789268}",False
1080,63140,2024-03-08,6768.45999999999,1.0,1,0.0,-0.32219398060229115,True,89,118,207,"{'r': -0.322194, 'l': 1070, 't': 154.282769}",False
1080,64210,2024-03-08,9168.240000000013,-1.0,2,0.0,-0.027882394623184002,True,99,108,207,"{'r': -0.027882, 'l': 1070, 't': 156.761195}",False
1080,65280,2024-03-08,8229.310000000023,1.0,1,0.0,-0.12216437459764484,True,93,93,186,"{'r': -0.122164, 'l': 1070, 't': 159.251616}",False
1080,66350,2024-03-08,7956.149999999993,1.0,2,0.0,-0.16758175745156342,True,103,109,212,"{'r': -0.167582, 'l': 1070, 't': 161.728349}",False
1080,67420,2024-03-08,5451.370000000005,-1.0,2,0.0,-0.5399756144949351,True,106,103,209,"{'r': -0.539976, 'l': 1070, 't': 164.217796}",False
1080,68490,2024-03-08,6240.889999999998,1.0,2,0.0,-0.40214385732673336,True,91,102,193,"{'r': -0.402144, 'l': 1070, 't': 166.685449}",False
1080,69560,2024-03-08,8091.5300000000125,-0.16075498,0,0.0,-0.14552565684758462,True,90,113,203,"{'r': -0.145526, 'l': 1070, 't': 169.411292}",False
1080,70630,2024-03-08,8130.539999999995,-1.0,0,0.021219352893890635,-0.14398213203097013,True,104,101,205,"{'r': -0.143982, 'l': 1070, 't': 172.297682}",False
1080,71700,2024-03-08,6887.64,-1.0,0,0.016513301110578214,-0.31490168178506683,True,103,113,216,"{'r': -0.314902, 'l': 1070, 't': 175.039668}",False
1080,72770,2024-03-08,8390.500000000013,-0.2150408,2,0.0,-0.12046436681564106,True,112,103,215,"{'r': -0.120464, 'l': 1070, 't': 177.729001}",False
1080,73840,2024-03-08,13254.000000000007,-0.015349567,2,0.0,0.3373659954529725,True,112,118,230,"{'r': 0.337366, 'l': 1070, 't': 180.500551}",False
1080,74910,2024-03-08,7013.029999999993,0.70323724,1,0.0,-0.2985374010843968,True,109,120,229,"{'r': -0.298537, 'l': 1070, 't': 183.356432}",False
1080,75980,2024-03-08,8975.790000000003,0.052545786,1,0.0,-0.04104816791651935,True,111,111,222,"{'r': -0.041048, 'l': 1070, 't': 186.109142}",False
1080,77050,2024-03-08,11175.94999999999,-1.0,2,0.0,0.15686231421950114,True,124,111,235,"{'r': 0.156862, 'l': 1070, 't': 188.844172}",False
1080,78120,2024-03-08,6784.590000000002,-1.0,0,0.012060431937992873,-0.33737194631939205,True,110,134,244,"{'r': -0.337372, 'l': 1070, 't': 191.611358}",False
1080,79190,2024-03-08,9364.599999999999,-1.0,2,0.0,-0.0057986902132284215,True,106,118,224,"{'r': -0.005799, 'l': 1070, 't': 194.433283}",False
1080,80260,2024-03-08,13293.590000000004,-1.0,2,0.0,0.34968156791635946,True,128,107,235,"{'r': 0.349682, 'l': 1070, 't': 197.251182}",False
1080,81330,2024-03-08,8234.150000000003,0.17060667,1,0.0,-0.1416182260603191,True,124,127,251,"{'r': -0.141618, 'l': 1070, 't': 200.046846}",False
