rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/std,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss
-0.236826,432,2048,4,1071.0,1,,,,,,,,,,,
-0.32641333333333333,381,4096,10,1071.0,2,0.9990974068641663,0.027587890625,-13.677877426147461,-0.0038965185871347786,0.0039924574,-0.00017555337399244308,0.0003,10,0.025619084425852635,0.2,-2.8368680462241174
-0.3438794,367,6144,16,1071.0,3,0.9967332482337952,0.02880859375,-0.9087648391723633,-0.003036717633949593,0.003945538,0.003354189917445183,0.0003,20,0.006276865337713389,0.2,-2.835069075971842
-0.2642707142857143,350,8192,23,1071.0,4,1.0000370740890503,0.03955078125,-0.5412197113037109,-0.0071705793146975335,0.005971369,-0.037439651787281036,0.0003,30,0.004009260642851587,0.2,-2.8345846444368363
-0.2599547777777778,331,10240,30,1071.0,5,0.9961504936218262,0.046533203125,-0.33977651596069336,-0.005213349103723885,0.00394645,-0.011329219676554203,0.0003,40,0.003128044341065106,0.2,-2.8337497673928738
-0.21664709090909096,327,12288,37,1071.0,6,0.985537052154541,0.060693359375,-0.3050633668899536,-0.005997242066951003,0.007171085,-0.00025319086853414774,0.0003,50,0.0029543855380325112,0.2,-2.8180652499198913
