time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/approx_kl,train/std,train/learning_rate,train/entropy_loss,train/value_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
700,2,2048,1,,,,,,,,,,,,,
657,6,4096,2,-0.008745351806282997,10,0.2,0.036279296875,-44.83763885498047,0.0050027603,0.9892416596412659,0.0003,-2.8264384999871255,0.05139035853790119,-0.00655724264215678,,
645,9,6144,3,-0.01693444885313511,20,0.2,0.0591796875,-16.009199142456055,0.006504844,0.9978804588317871,0.0003,-2.82520435154438,0.00805808673176216,-0.008467658970039338,,
639,12,8192,4,0.017583701759576797,30,0.2,0.053662109375,-8.682840347290039,0.00653086,1.006639838218689,0.0003,-2.8447312295436857,0.005363213725649985,-0.005522904029930942,,
635,16,10240,5,-0.009416378103196621,40,0.2,0.064013671875,-9.89959716796875,0.007761523,1.0035414695739746,0.0003,-2.847565656900406,0.0035142047876433936,-0.006458241565269418,8323.0,-0.152318
633,19,12288,6,-0.024117952212691307,50,0.2,0.082275390625,-6.271731376647949,0.008881712,1.0017341375350952,0.0003,-2.8420823268592357,0.002547386298465426,-0.009401639958377927,8323.0,-0.152318
631,22,14336,7,0.003382456488907337,60,0.2,0.0947265625,-3.4840426445007324,0.011741112,1.0032827854156494,0.0003,-2.8443811528384684,0.00206026250270952,-0.006150391534902155,8323.0,-0.152318
629,26,16384,8,-0.0130102364346385,70,0.2,0.116845703125,-5.28894567489624,0.014190494,1.0027222633361816,0.0003,-2.8442269913852214,0.0018276059468917082,-0.007635232721804641,8323.0,-0.152318
628,29,18432,9,-0.01781025528907776,80,0.2,0.113623046875,-4.040008068084717,0.013229118,1.0008111000061035,0.0003,-2.8437418699264527,0.001362001840971061,-0.004466430353932083,8323.0,0.09647
627,32,20480,10,-0.02373555116355419,90,0.2,0.0923828125,-1.852243185043335,0.010785807,0.9884923696517944,0.0003,-2.828662061691284,0.0012558884807731374,-0.0029462490492733195,8323.0,0.09647
626,35,22528,11,-0.008653836324810982,100,0.2,0.089208984375,-1.3960180282592773,0.00983369,0.9910788536071777,0.0003,-2.8179024547338485,0.0011767160638555651,-0.004168049836880528,8323.0,0.09647
625,39,24576,12,-0.022028479725122452,110,0.2,0.078369140625,-2.0087764263153076,0.009303681,0.9842698574066162,0.0003,-2.8135333374142646,0.0009183534497424261,-0.006544468330685049,8323.0,0.09647
625,42,26624,13,-0.008761347271502018,120,0.2,0.0869140625,-1.701672077178955,0.007382479,0.9811174869537354,0.0003,-2.8017954185605047,0.0007747744661173783,-0.005007692459912505,8323.0,-0.07059733333333333
625,45,28672,14,-0.019513890147209167,130,0.2,0.09423828125,-1.0296955108642578,0.008625473,0.9801361560821533,0.0003,-2.7968499436974525,0.000732141709067946,-0.004468839944456704,8323.0,-0.07059733333333333
624,49,30720,15,-0.021146802231669426,140,0.2,0.120751953125,-0.7233237028121948,0.014249684,0.9740203619003296,0.0003,-2.7874395489692687,0.0007501774588490661,-0.003472055637394078,8323.0,-0.07059733333333333
624,52,32768,16,-0.012198543176054955,150,0.2,0.091015625,-0.8043869733810425,0.0082378695,0.9662972688674927,0.0003,-2.7754898302257063,0.0007075346654346504,-0.00370667056995444,8323.0,-0.07059733333333333
624,55,34816,17,-0.018109504133462906,160,0.2,0.093701171875,-0.9779919385910034,0.009777201,0.9608767032623291,0.0003,-2.7639936968684196,0.0004925550890220621,-0.006181717864819802,8323.0,0.292151
623,59,36864,18,-0.01818249002099037,170,0.2,0.1046875,-0.534873366355896,0.010332704,0.9523846507072449,0.0003,-2.7458492003381254,0.0004791985892552475,-0.007181491638766602,8323.0,0.292151
623,62,38912,19,-0.005421206820756197,180,0.2,0.118017578125,-0.3412282466888428,0.011697558,0.9508934020996094,0.0003,-2.7386488281190395,0.000515555105630483,-0.005385455260693561,8323.0,0.292151
623,65,40960,20,-0.027381399646401405,190,0.2,0.1189453125,-0.29620468616485596,0.012242293,0.9446498155593872,0.0003,-2.7293901734054087,0.0006398082004125172,-0.004076817398890853,8323.0,0.292151
623,69,43008,21,-0.016542689874768257,200,0.2,0.0935546875,-0.45989227294921875,0.010100305,0.9378859996795654,0.0003,-2.7135930083692075,0.00047670340245531406,-0.004173175097093917,8323.0,0.38019780000000003
623,72,45056,22,0.005936424247920513,210,0.2,0.12119140625,-0.36827659606933594,0.01691062,0.93672776222229,0.0003,-2.705790739506483,0.00032812280364851175,-0.004086840260424651,8323.0,0.38019780000000003
623,75,47104,23,0.02081676945090294,220,0.2,0.10341796875,-0.1916821002960205,0.014942945,0.9329937100410461,0.0003,-2.7052331171929835,0.0004508501034706569,-0.002915251796366647,8323.0,0.38019780000000003
622,78,49152,24,0.005549656227231026,230,0.2,0.079833984375,-0.23748278617858887,0.010055669,0.9374266862869263,0.0003,-2.7062237106263636,0.0004416394594045414,-0.003934982937062159,8323.0,0.38019780000000003
622,82,51200,25,-0.035759832710027695,240,0.2,0.11552734375,-0.2631664276123047,0.0155460965,0.9552842378616333,0.0003,-2.729417437314987,0.0003753439233605604,-0.00518087602686137,8323.0,0.3673686666666667
622,85,53248,26,-0.03231990709900856,250,0.2,0.114892578125,-0.16956615447998047,0.012282687,0.9442753791809082,0.0003,-2.7341398440301417,0.0004073738137321925,-0.004934136162046343,8323.0,0.3673686666666667
622,88,55296,27,-0.004079433623701334,260,0.2,0.13037109375,-0.17580127716064453,0.0123683605,0.9517936706542969,0.0003,-2.73092627748847,0.0004162033199463622,-0.004118105789530091,8323.0,0.3673686666666667
622,92,57344,28,-0.0037047311197966337,270,0.2,0.114501953125,-0.18983280658721924,0.012144186,0.9507677555084229,0.0003,-2.737676800042391,0.00033085290515373346,-0.0019567165902117266,8323.0,0.3673686666666667
622,95,59392,29,0.036582812666893005,280,0.2,0.102294921875,-0.1554785966873169,0.0127687715,0.9416851997375488,0.0003,-2.730354379862547,0.00033596941088944734,-0.0022629843355389313,8323.0,0.4773995714285714
622,98,61440,30,0.028795478865504265,290,0.2,0.126025390625,-0.05562782287597656,0.015111636,0.9496604204177856,0.0003,-2.7258683666586876,0.00043983711507280534,-0.0023090138362022116,8323.0,0.4773995714285714
622,102,63488,31,0.006674736738204956,300,0.2,0.110302734375,-0.11638748645782471,0.015729383,0.9417492151260376,0.0003,-2.72359017804265,0.0004549134195258375,-0.0027381338964914902,8323.0,0.4773995714285714
621,105,65536,32,-0.0162554569542408,310,0.2,0.137646484375,-0.0372004508972168,0.017706448,0.9431309700012207,0.0003,-2.7171301044523717,0.00039324713411588165,-0.00373450341867283,8323.0,0.4773995714285714
621,108,67584,33,0.02137969434261322,320,0.2,0.1197265625,-0.13859951496124268,0.013121478,0.9480343461036682,0.0003,-2.722302180528641,0.00031745346509524095,-0.005844704448827542,8323.0,0.49988750000000004
621,112,69632,34,-0.0218228567391634,330,0.2,0.111572265625,-0.11328136920928955,0.01600358,0.9534358978271484,0.0003,-2.735344471782446,0.00029906068948548636,-0.0046614165359642355,8323.0,0.49988750000000004
621,115,71680,35,0.02087167464196682,340,0.2,0.088525390625,-0.03978323936462402,0.011170708,0.9533755779266357,0.0003,-2.7418146662414076,0.0003651950923085678,-0.0009042646473972127,8323.0,0.49988750000000004
621,118,73728,36,-0.01279665157198906,350,0.2,0.1419921875,-0.06948280334472656,0.016955938,0.9479499459266663,0.0003,-2.735846082121134,0.00035069140080850046,-0.0016604655655100941,8323.0,0.49988750000000004
