time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/std
10,1,1247.5,12288,0.3941215,1223,,,,,,,,,,,
22,2,1455.25,24576,0.109203,1098,-0.00159498262219131,0.01958610173727114,0.0009367950260639191,0.030745442708333334,-2.8161751091480256,0.0003,10,-15.203594207763672,0.2,0.0050474126,0.9869757890701294
34,3,1544.2857142857142,36864,0.041461142857142856,1065,-0.0012927062501451776,0.004008022403528836,0.012092910706996918,0.04244791666666667,-2.8137761988987524,0.0003,20,-0.5523712635040283,0.2,0.0051471586,0.9874876737594604
46,4,1570.6666666666667,49152,0.07493488888888888,1051,-0.0014523864699488816,0.0032159975058675626,-0.0051279691979289055,0.0548583984375,-2.8328090804318586,0.0003,30,-0.17168712615966797,0.2,0.0056365156,0.9984716176986694
59,5,1593.75,61440,-0.14722749999999998,1041,-0.0014996980787448896,0.00246771078391248,0.0022219442762434483,0.06263020833333334,-2.8291410812487205,0.0003,40,-0.08903765678405762,0.2,0.006601516,0.9957877397537231
71,6,1603.642857142857,73728,-0.07628728571428571,1035,8.819438153295778e-05,0.0026595382990005118,0.01131435390561819,0.0584228515625,-2.8279885798692703,0.0003,50,-0.023895978927612305,0.2,0.005928231,0.9917608499526978
83,7,1614.1176470588234,86016,-0.0408945882352941,1031,-0.0022840586862002965,0.002336049642811607,0.005242102779448032,0.0555419921875,-2.82236764455835,0.0003,60,-0.0009720325469970703,0.2,0.006247328,0.9902777671813965
95,8,1619.2631578947369,98304,-0.022235631578947354,1028,-0.0022432313698421543,0.00269839487621842,-0.018165305256843567,0.0556640625,-2.8186354737728836,0.0003,70,0.013451874256134033,0.2,0.0053909947,0.990584135055542
107,9,1625.2272727272727,110592,-0.08353604545454543,1025,-0.002211690569432297,0.002098745797502488,-0.008324739523231983,0.050309244791666666,-2.815833006178339,0.0003,80,0.04005950689315796,0.2,0.0060994625,0.9869790077209473
120,10,1628.375,122880,-0.12412516666666668,1023,-0.0008997108353166065,0.0022292464066898296,-0.005225620698183775,0.060986328125,-2.8142332257082066,0.0003,90,0.024022042751312256,0.2,0.0070806183,0.9906970858573914
132,11,1632.2222222222222,135168,-0.12937848148148148,1022,-0.00140369990306984,0.0022873350878095757,0.0012382743880152702,0.06424153645833333,-2.80586557003359,0.0003,100,0.018000423908233643,0.2,0.006307207,0.9839932918548584
144,12,1634.344827586207,147456,-0.09175644827586209,1020,-0.0009993750895470536,0.002055487455527327,0.017092127352952957,0.05856119791666667,-2.798756238942345,0.0003,110,-0.0009539127349853516,0.2,0.005852072,0.981367826461792
156,13,1637.03125,159744,-0.14653584375,1019,-0.0005261287272636158,0.00215840150067379,0.017632970586419106,0.06188151041666667,-2.800466581185659,0.0003,120,0.014952301979064941,0.2,0.005823948,0.9833298921585083
168,14,1638.5588235294117,172032,-0.15658944117647058,1018,-0.0017022930369421374,0.002120780775536938,0.00822316762059927,0.06201985677083333,-2.8201227804025013,0.0003,130,-0.017935991287231445,0.2,0.005943582,0.9941548705101013
181,15,1639.9166666666667,184320,-0.15019275,1017,-0.0019346385197422933,0.002069775407714284,-0.013251939788460732,0.051961263020833336,-2.8282239638268947,0.0003,140,-0.007156729698181152,0.2,0.0046515134,0.9949077367782593
193,16,1641.6923076923076,196608,-0.1718755641025641,1016,-0.001207998048630543,0.0019687830047284177,0.010209395550191402,0.06866048177083334,-2.8167753487825395,0.0003,150,0.009461760520935059,0.2,0.006628499,0.990958571434021
205,17,1642.7317073170732,208896,-0.1647149268292683,1015,-0.0011133013849757845,0.002284317900860818,-0.00046652485616505146,0.07120768229166667,-2.813411231835683,0.0003,160,0.017463386058807373,0.2,0.007436741,0.9886951446533203
218,18,1644.1136363636363,221184,-0.11430604545454547,1014,-0.0002396778121086148,0.0020652464423013346,0.0035251136869192123,0.07884114583333333,-2.820594975973169,0.0003,170,-0.0047566890716552734,0.2,0.007914684,0.992607831954956
230,19,1644.9347826086957,233472,-0.11530810869565218,1013,0.00038372283500696843,0.0022089688496028733,-0.014654921367764473,0.0705078125,-2.821446652337909,0.0003,180,0.0043975114822387695,0.2,0.0062911934,0.9939113855361938
242,20,1646.0408163265306,245760,-0.14245361224489794,1013,-0.0011344026924537806,0.0022351508820671975,0.0006333952769637108,0.0766845703125,-2.8278164592882,0.0003,190,0.020393073558807373,0.2,0.008076634,0.9998717308044434
254,21,1646.7058823529412,258048,-0.13396601960784313,1012,-0.0015607486447455207,0.0024590564209878113,0.00815311074256897,0.06449381510416667,-2.8395603290448586,0.0003,200,0.021921157836914062,0.2,0.005702822,1.006470799446106
266,22,1647.611111111111,270336,-0.13124375925925924,1012,3.1168558052740993e-06,0.001981883710808082,-0.010060694068670273,0.07779134114583333,-2.849744433661302,0.0003,210,0.04149496555328369,0.2,0.0077713826,1.0141031742095947
279,23,1648.1607142857142,282624,-0.14500817857142856,1012,0.0007193296905218934,0.0020269696314244357,0.004086803179234266,0.08190104166666666,-2.8526959475129843,0.0003,220,0.02214336395263672,0.2,0.0078045614,1.0125645399093628
291,24,1648.915254237288,294912,-0.17814603389830508,1011,-0.0007257621820220568,0.002203652633003609,-0.011949896812438965,0.0763671875,-2.8459860047946375,0.0003,230,0.027452945709228516,0.2,0.0075784237,1.004889726638794
303,25,1649.377049180328,307200,-0.1955942295081967,1011,7.663211169225784e-05,0.0022422995380414553,0.026969652622938156,0.07222493489583333,-2.840487639605999,0.0003,240,0.03616303205490112,0.2,0.008077567,1.008743166923523
315,26,1650.015625,319488,-0.21157115625,1011,-0.0013382540072295038,0.0022163684067587988,-0.0035901081282645464,0.053515625,-2.838189912587404,0.0003,250,0.02469581365585327,0.2,0.0051789302,1.0072625875473022
328,27,1650.409090909091,331776,-0.20830498484848486,1010,-0.00028638371635073174,0.002285932613510037,0.021337520331144333,0.06717122395833333,-2.838027447710435,0.0003,260,0.01953500509262085,0.2,0.0071438947,1.0078542232513428
340,28,1650.7794117647059,344064,-0.18322226470588235,1010,-0.0012921124713708803,0.002282755209125753,-0.0052880290895700455,0.05909016927083333,-2.8484688164045413,0.0003,270,0.0049800872802734375,0.2,0.0048860325,1.0126681327819824
352,29,1651.2957746478874,356352,-0.19371922535211267,1010,5.499359031091444e-05,0.0022107664992896997,-0.0015406874008476734,0.06800130208333334,-2.8447354144106307,0.0003,280,0.006186127662658691,0.2,0.0061304234,1.012943983078003
364,30,1651.6164383561643,368640,-0.18636294520547944,1010,-0.0013300432915760514,0.0022315698219548116,-0.010748600587248802,0.0615234375,-2.8476298077652853,0.0003,290,0.0023177266120910645,0.2,0.0054637245,1.0164299011230469
377,31,1652.0657894736842,380928,-0.19420923684210528,1010,-0.0017278561698428044,0.0022623995896841127,-0.0019812050741165876,0.05284830729166667,-2.857642459496856,0.0003,300,0.019501924514770508,0.2,0.004935426,1.018936276435852
389,32,1652.3461538461538,393216,-0.19442775641025642,1009,-0.0014563127551809885,0.0021281600320435246,-0.020255547016859055,0.0530517578125,-2.842790066823363,0.0003,310,0.01972895860671997,0.2,0.006200288,1.0087549686431885
401,33,1652.7407407407406,405504,-0.19589685185185188,1009,-0.0020344342898169997,0.0022039133315653694,0.005996438674628735,0.0595458984375,-2.830153307815393,0.0003,320,0.010101139545440674,0.2,0.0062654093,1.00998854637146
413,34,1652.987951807229,417792,-0.20902165060240965,1009,-0.0013460293509221326,0.0020902979851901665,-0.0065406737849116325,0.05584309895833333,-2.8290713594605523,0.0003,330,0.014944255352020264,0.2,0.005706856,1.0123575925827026
426,35,1653.3372093023256,430080,-0.18432198837209304,1008,-0.002496955256841223,0.0021646383752340626,0.009972606785595417,0.06027018229166667,-2.8371440768241882,0.0003,340,0.011686205863952637,0.2,0.006386924,1.0121710300445557
438,36,1653.5568181818182,442368,-0.18943687499999998,1008,-0.0019515824875270481,0.00222607171266039,-0.010163314640522003,0.07105305989583334,-2.8242149230092766,0.0003,350,-0.0009448528289794922,0.2,0.0075537176,1.0079349279403687
450,37,1653.868131868132,454656,-0.18380121978021974,1008,0.00047454976180839973,0.0020206872141595037,0.009518461301922798,0.06805826822916666,-2.8194079312185445,0.0003,360,0.005490899085998535,0.2,0.0068651303,1.00377357006073
