Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,36390,2024-03-08,13688.809999999989,-0.6832106,1,0.0,0.37622350799117515,True,94,96,190,"{'r': 0.376224, 'l': 1070, 't': 35.93383}",False
1080,37460,2024-03-08,11815.159999999993,-1.0,2,0.0,0.22532628156372625,True,89,106,195,"{'r': 0.225326, 'l': 1070, 't': 37.445288}",False
1080,38530,2024-03-08,8654.860000000008,0.69284743,2,0.0,-0.08594161376307813,True,86,115,201,"{'r': -0.085942, 'l': 1070, 't': 38.252048}",False
1080,39600,2024-03-08,18568.219999999994,0.27786687,0,0.0,0.6899203302140529,True,100,89,189,"{'r': 0.68992, 'l': 1070, 't': 39.777343}",False
1080,40670,2024-03-08,11574.689999999993,-1.0,0,-0.017022317375689322,0.2026641617964616,True,93,99,192,"{'r': 0.202664, 'l': 1070, 't': 40.578668}",False
1080,41740,2024-03-08,18138.129999999994,-0.95858806,0,0.016514173820548164,0.6583979449362474,True,100,86,186,"{'r': 0.658398, 'l': 1070, 't': 42.107296}",False
1080,42810,2024-03-08,9323.849999999997,0.67122865,0,-0.02635077207114732,-0.010710458501352667,True,89,105,194,"{'r': -0.01071, 'l': 1070, 't': 42.909853}",False
1080,43880,2024-03-08,7156.4300000000085,0.3082261,0,-0.012062712854147197,-0.28112354071517154,True,91,108,199,"{'r': -0.281124, 'l': 1070, 't': 44.430658}",False
1080,44950,2024-03-08,14673.199999999995,0.51341075,1,0.0,0.45119280237772713,True,98,97,195,"{'r': 0.451193, 'l': 1070, 't': 45.239079}",False
1080,46020,2024-03-08,16131.479999999998,-1.0,0,0.012061435841003613,0.5574722239517412,True,94,102,196,"{'r': 0.557472, 'l': 1070, 't': 46.767153}",False
1080,47090,2024-03-08,13630.440000000008,-0.20679355,1,0.0,0.3790268460725466,True,100,95,195,"{'r': 0.379027, 'l': 1070, 't': 47.579588}",False
1080,48160,2024-03-08,8683.230000000009,-1.0,2,0.0,-0.08157259914748488,True,82,109,191,"{'r': -0.081573, 'l': 1070, 't': 49.096723}",False
1080,49230,2024-03-08,19119.17000000001,-0.15353025,0,-0.022235893785251745,0.7252671978546515,True,98,89,187,"{'r': 0.725267, 'l': 1070, 't': 50.634392}",False
1080,50300,2024-03-08,13065.54999999999,-0.7333636,2,0.0,0.3336101306226141,True,92,100,192,"{'r': 0.33361, 'l': 1070, 't': 51.441808}",False
1080,51370,2024-03-08,16367.479999999985,0.066549286,0,0.0,0.5584930569826209,True,98,92,190,"{'r': 0.558493, 'l': 1070, 't': 52.970191}",False
1080,52440,2024-03-08,12142.800000000003,-0.08007896,2,0.0,0.2604796257757306,True,85,108,193,"{'r': 0.26048, 'l': 1070, 't': 53.771984}",False
1080,53510,2024-03-08,11200.789999999985,0.24136794,0,0.0,0.1847625937055349,True,92,97,189,"{'r': 0.184763, 'l': 1070, 't': 55.307489}",False
1080,54580,2024-03-08,16049.379999999997,-0.5236239,1,0.0,0.5331374061752979,True,90,94,184,"{'r': 0.533137, 'l': 1070, 't': 56.110423}",False
1080,55650,2024-03-08,15738.159999999993,0.2156371,0,-0.012062532328289698,0.5143809776800943,True,103,95,198,"{'r': 0.514381, 'l': 1070, 't': 57.640528}",False
1080,56720,2024-03-08,12167.530000000006,-0.10254735,0,0.0,0.2531095799178731,True,96,88,184,"{'r': 0.25311, 'l': 1070, 't': 58.441376}",False
1080,57790,2024-03-08,10310.120000000004,0.1531648,2,0.0,0.0885820815008006,True,92,98,190,"{'r': 0.088582, 'l': 1070, 't': 59.535108}",False
1080,58860,2024-03-08,10163.009999999991,-0.3087571,0,-0.012062680444440149,0.0757308003505799,True,90,102,192,"{'r': 0.075731, 'l': 1070, 't': 60.345689}",False
1080,59930,2024-03-08,13277.929999999998,-0.8641253,2,0.0,0.3458436648233491,True,100,102,202,"{'r': 0.345844, 'l': 1070, 't': 61.440758}",False
