time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate
10,20480,989.0,1,-0.08716360000000001,1893,,,,,,,,,,,
25,40960,989.0,2,-0.086352875,1609,0.034404296875,-2.812499387562275,10,-39.67036056518555,0.0039910367,0.9859839677810669,0.2,-0.0018399446659896057,0.005519556065119105,-0.0048905774019658566,0.0003
39,61440,989.0,3,-0.06048385,1538,0.0338916015625,-2.803252337872982,20,-0.41913819313049316,0.0038240545,0.9825762510299683,0.2,-0.0017951922533393373,0.0011497927746859204,-0.004309370182454586,0.0003
54,81920,989.0,4,-0.031294175,1505,0.0415478515625,-2.798096380829811,30,0.027477264404296875,0.0050443634,0.977279782295227,0.2,-0.0006202023908554111,0.0009579121315800875,-0.0014770403504371643,0.0003
68,102400,989.0,5,-0.02269349999999999,1484,0.054423828125,-2.7771197969466446,40,0.03428739309310913,0.0054037506,0.9710375070571899,0.2,-0.0014767876520636492,0.0007821773434261559,0.006714186631143093,0.0003
83,122880,989.0,6,0.004705720000000005,1470,0.048037109375,-2.7608103144913914,50,0.054200708866119385,0.0055677504,0.9609620571136475,0.2,-0.0015990476004662923,0.0007133971613529866,-0.005621436983346939,0.0003
98,143360,989.0,7,0.04878419,1460,0.054794921875,-2.7384631779044866,60,0.03628140687942505,0.005607766,0.948896050453186,0.2,7.428818891639821e-05,0.0006080677150384872,-0.006802377291023731,0.0003
112,163840,989.0,8,0.06656463000000001,1456,0.05029296875,-2.72933891274035,70,0.0452953577041626,0.005264451,0.9474049806594849,0.2,-0.0014547033532289787,0.0006233413589052362,0.019551966339349747,0.0003
126,184320,989.0,9,0.09596856000000001,1453,0.06619140625,-2.7262654224783183,80,0.04775571823120117,0.0062761856,0.9461220502853394,0.2,-0.00036093677263124844,0.0005116284264977366,0.013702893629670143,0.0003
141,204800,989.0,10,0.11753069999999999,1449,0.0656298828125,-2.7187315756082535,90,0.03876692056655884,0.006806428,0.9392383098602295,0.2,-0.0015786989478510805,0.0005425365480687106,-0.006238166708499193,0.0003
155,225280,989.0,11,0.12899368,1447,0.0609619140625,-2.6903758703917267,100,0.039231061935424805,0.005991081,0.9265071153640747,0.2,-0.0015337068322696724,0.0005604123635566794,0.0032963110134005547,0.0003
170,245760,989.0,12,0.1407004,1443,0.047919921875,-2.6653130023181437,110,0.04637312889099121,0.0044238386,0.9172156453132629,0.2,-0.0007870197787997313,0.0005132906763628853,0.019468240439891815,0.0003
184,266240,989.0,13,0.17365937999999997,1442,0.0554541015625,-2.6491237703710793,120,0.049558818340301514,0.0066377847,0.9111913442611694,0.2,4.8449005407746885e-06,0.0005334914371542254,-0.017779871821403503,0.0003
198,286720,989.0,14,0.18020138,1441,0.052763671875,-2.63128193795681,130,0.054396092891693115,0.005067586,0.9007552862167358,0.2,-0.002073376063199248,0.0005321673194157484,-0.012964047491550446,0.0003
213,307200,989.0,15,0.23326603,1440,0.081806640625,-2.6074607015401123,140,0.06456059217453003,0.008094719,0.890282392501831,0.2,0.00037982136651407925,0.00048211572689979223,0.0019804337061941624,0.0003
227,327680,989.0,16,0.25135715,1438,0.0907958984375,-2.59358278632164,150,0.0729513168334961,0.009295182,0.8861037492752075,0.2,0.0012986554969393182,0.0004937036240789894,0.014803493395447731,0.0003
242,348160,989.0,17,0.29800805,1437,0.0853515625,-2.586549791917205,160,0.05834001302719116,0.007637678,0.8832565546035767,0.2,-0.000530887189815985,0.0005202473300232668,-0.005455028731375933,0.0003
256,368640,989.0,18,0.3301232599999999,1435,0.0619970703125,-2.5780135019123556,170,0.07992541790008545,0.005184438,0.8778575658798218,0.2,-0.0016917483301949687,0.000537968004200593,0.0181917455047369,0.0003
270,389120,989.0,19,0.33263372999999996,1436,0.0605419921875,-2.560736499354243,180,0.06826978921890259,0.005364465,0.8681715726852417,0.2,-0.0016757095274806488,0.0005051008277405344,-0.001193988835439086,0.0003
285,409600,989.0,20,0.3620739800000001,1434,0.06501953125,-2.5272924215346575,190,0.0648391842842102,0.007381114,0.8530569076538086,0.2,-0.0003797938821662683,0.0005204611692806793,0.006216870620846748,0.0003
300,430080,989.0,21,0.35781445,1433,0.0648291015625,-2.5175099448114633,200,0.07850974798202515,0.006167266,0.8518569469451904,0.2,-0.0004601204220671207,0.0005478533208679437,-0.024803321808576584,0.0003
314,450560,989.0,22,0.36358180999999995,1431,0.0682568359375,-2.516037983968854,210,0.06544160842895508,0.006091668,0.8530911207199097,0.2,-0.0007069682782457676,0.0005237781149071452,0.015201949514448643,0.0003
329,471040,989.0,23,0.3736450600000001,1429,0.060146484375,-2.5111499951034784,220,0.07608520984649658,0.005635709,0.8493825793266296,0.2,-0.0006578087099478581,0.0004878261644034865,0.00930817425251007,0.0003
344,491520,989.0,24,0.40045070000000005,1427,0.0588037109375,-2.501748399734497,230,0.08067232370376587,0.0054625804,0.8442373871803284,0.2,-0.0009589513612445444,0.0004980047701201328,0.0056288703344762325,0.0003
359,512000,989.0,25,0.40862077999999996,1425,0.0649072265625,-2.4769287483394145,240,0.09212565422058105,0.0063066063,0.8330096006393433,0.2,-0.0003678878089704085,0.00048080641855904107,-0.003658303990960121,0.0003
