time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/std
1939,1,-0.009773949999999998,989.0,20480,10,,,,,,,,,,,
1664,2,-0.0579042,989.0,40960,24,0.01186172105371952,0.2,-25.015708923339844,10,-2.8408694407343864,0.0003,0.004236195,-0.0017055812921898906,0.032646484375,0.008832829719030997,1.0012478828430176
1583,3,-0.02412855000000001,989.0,61440,38,-0.004340027924627066,0.2,-0.18263602256774902,20,-2.82854479894042,0.0003,0.005236653,-0.0018673046914045699,0.048876953125,0.003231044594467676,0.991314709186554
1544,4,-0.02192096250000001,989.0,81920,53,0.01251948531717062,0.2,0.008939087390899658,30,-2.809676147848368,0.0003,0.0051755337,-0.001353016314242268,0.0477001953125,0.002624650445031875,0.9862841367721558
1523,5,-0.021101980000000006,989.0,102400,67,-0.014488240703940392,0.2,0.02011430263519287,40,-2.808693800345063,0.0003,0.005733687,-1.679576962487772e-05,0.07046875,0.0021570828687981704,0.9854820966720581
1506,6,-0.030870100000000008,989.0,122880,81,-0.0016603183466941118,0.2,0.024382293224334717,50,-2.8114159037172795,0.0003,0.0055036014,-2.763555137789808e-05,0.057255859375,0.0019518524023987994,0.9864931106567383
1496,7,0.010365079999999994,989.0,143360,95,-0.01133110374212265,0.2,0.03748118877410889,60,-2.789342959076166,0.0003,0.0070225396,-0.000570305055443896,0.06646484375,0.0017247380087064812,0.9724154472351074
1489,8,0.04283569999999999,989.0,163840,110,-0.019686555489897728,0.2,0.0017606019973754883,70,-2.765146306455135,0.0003,0.008118511,0.0002580557283363305,0.0607666015625,0.0017003136189305225,0.9650400876998901
1484,9,0.08188891000000002,989.0,184320,124,0.0065744537860155106,0.2,0.019629180431365967,80,-2.7576593074947597,0.0003,0.0065148054,-0.00016704237088561058,0.070732421875,0.0017392031087001669,0.9597151279449463
1481,10,0.11580844999999998,989.0,204800,138,0.009011168032884598,0.2,0.01077115535736084,90,-2.751356477588415,0.0003,0.006152915,-0.00018972168691107073,0.0608349609375,0.0015620563783340913,0.9584894180297852
1476,11,0.14963113000000003,989.0,225280,152,-0.016208581626415253,0.2,0.013900399208068848,100,-2.7447644071280957,0.0003,0.0055167913,0.0005269327020505444,0.06205078125,0.0014329368839207746,0.9559974670410156
1471,12,0.14892692000000002,989.0,245760,166,0.01887955330312252,0.2,0.017129182815551758,110,-2.736938891559839,0.0003,0.0072736377,0.0002573978439613711,0.06685546875,0.0015409113999157852,0.9487082958221436
1469,13,0.13552005000000003,989.0,266240,181,-0.008223524317145348,0.2,0.025274455547332764,120,-2.7152191665023566,0.0003,0.0051810793,-0.00031747187982546167,0.042861328125,0.0015025936091115,0.9408258199691772
1464,14,0.15519447,989.0,286720,195,-0.003885912708938122,0.2,0.020752310752868652,130,-2.70525473639369,0.0003,0.005593187,-0.0020019372932438273,0.0530224609375,0.0015510658943276212,0.9350088834762573
1463,15,0.19448237,989.0,307200,209,2.0109175238758326e-05,0.2,0.03706485033035278,140,-2.7071605464071036,0.0003,0.0048868977,-0.0009980381675995886,0.043818359375,0.00168404352167272,0.9360516667366028
1460,16,0.21281701999999997,989.0,327680,224,-0.002357036340981722,0.2,0.024644851684570312,150,-2.702414647638798,0.0003,0.008926725,-0.0011627525986114052,0.067666015625,0.001698837557596562,0.9314863085746765
1457,17,0.2391357,989.0,348160,238,-0.023850029334425926,0.2,0.03374713659286499,160,-2.7003379708528517,0.0003,0.0067916946,-0.00028751191261108035,0.0752197265625,0.0016501658591005252,0.9340371489524841
1455,18,0.29726442999999997,989.0,368640,253,-0.003498067846521735,0.2,0.037641167640686035,170,-2.6935987753421067,0.0003,0.00573197,-0.0021144148988241794,0.06693359375,0.0015701854767212354,0.929747462272644
1454,19,0.31919718999999996,989.0,389120,267,0.014006798155605793,0.2,0.052242398262023926,180,-2.6792443042248486,0.0003,0.00482654,-0.0008185234828852117,0.04654296875,0.0017002877914819691,0.9216134548187256
1452,20,0.32900945,989.0,409600,282,-0.008100727573037148,0.2,0.033535659313201904,190,-2.65734357342124,0.0003,0.0059425696,-0.0002797028787608724,0.063369140625,0.0015594539790618,0.9135616421699524
1450,21,0.36351811,989.0,430080,296,0.006663826294243336,0.2,0.03295564651489258,200,-2.643872690200806,0.0003,0.006996541,-0.0010866511589847506,0.062333984375,0.0015045998292043804,0.9061440825462341
1449,22,0.3862772399999999,989.0,450560,310,-0.002204576274380088,0.2,0.024579882621765137,210,-2.6132349538058044,0.0003,0.005795588,-0.0008798150926304515,0.0581640625,0.0015363323407837015,0.890406608581543
1447,23,0.3695444,989.0,471040,325,0.009286981076002121,0.2,0.02484726905822754,220,-2.5890340504050253,0.0003,0.0055346675,-0.00024112478175084107,0.0569775390625,0.0015268859759999033,0.8824477195739746
1447,24,0.40260631000000013,989.0,491520,339,0.012573680840432644,0.2,0.03023827075958252,230,-2.581848395392299,0.0003,0.005330093,-0.00044171635134262035,0.0519580078125,0.0016286833333469986,0.8776299953460693
1445,25,0.46177656999999994,989.0,512000,354,0.010545509867370129,0.2,0.011067569255828857,240,-2.570658867955208,0.0003,0.006072242,-0.0014206061011645943,0.0595849609375,0.001417797799294931,0.8731038570404053
1445,26,0.50461344,989.0,532480,368,-0.007474500685930252,0.2,0.022999167442321777,250,-2.566694165468216,0.0003,0.0051165717,-0.00047000790189485994,0.0553173828125,0.0014654584420350147,0.8742475509643555
1444,27,0.52470976,989.0,552960,382,-0.005683019291609526,0.2,0.033329904079437256,260,-2.556468043550849,0.0003,0.006052947,-0.0005383175861788914,0.0623828125,0.00161692420278996,0.8657143115997314
1444,28,0.5877579000000002,989.0,573440,396,-0.00746555533260107,0.2,0.04400146007537842,270,-2.527858624532819,0.0003,0.005911129,-0.00017176853260025382,0.0667529296875,0.0016698373490362428,0.8521342873573303
1444,29,0.6017854899999999,989.0,593920,411,0.014195065014064312,0.2,0.05173599720001221,280,-2.5082806345820425,0.0003,0.005761723,-0.0005079963595198933,0.062138671875,0.0015470020492466573,0.8467762470245361
1444,30,0.6281368700000001,989.0,614400,425,-0.01650913432240486,0.2,0.05539441108703613,290,-2.4866279307752848,0.0003,0.0063525015,-0.000630025719947298,0.066298828125,0.0016820189393183683,0.8363426923751831
1442,31,0.6695162,989.0,634880,440,-0.01187080517411232,0.2,0.04346001148223877,300,-2.4640193331986664,0.0003,0.0061571966,-0.0009065591749094893,0.0679345703125,0.0017008092983451207,0.8272535800933838
1441,32,0.7462372399999999,989.0,655360,454,0.003175423014909029,0.2,0.06227385997772217,310,-2.4572056879103186,0.0003,0.015207815,0.0019547836894344074,0.0829736328125,0.0017365375220651912,0.8249092102050781
1440,33,0.82940026,989.0,675840,469,0.01514578890055418,0.2,0.05239534378051758,320,-2.462199265062809,0.0003,0.018547729,0.0010037968547840137,0.08060546875,0.0016116327460804314,0.8314732313156128
1440,34,0.8394042899999998,989.0,696320,483,0.0045588575303554535,0.2,0.05704540014266968,330,-2.4523770686984063,0.0003,0.006108216,-0.00031567567508318463,0.073251953125,0.0015611368564350415,0.8223248720169067
1440,35,0.8873169300000001,989.0,716800,497,0.010726255364716053,0.2,0.058961689472198486,340,-2.4331151212751867,0.0003,0.0073261806,-0.00017624248139327391,0.074169921875,0.0015799740092734282,0.8158717155456543
1440,36,0.83970708,989.0,737280,511,-0.002951175905764103,0.2,0.053123295307159424,350,-2.4180699092149736,0.0003,0.005780884,-0.00020088418576051482,0.0712939453125,0.001759813112385018,0.8103057146072388
1440,37,0.84709106,989.0,757760,526,-0.012731478549540043,0.2,0.07503187656402588,360,-2.3964002887159586,0.0003,0.0061387853,-0.00041213581629563124,0.0668017578125,0.0016054660305053403,0.799798309803009
1440,38,0.8498568900000001,989.0,778240,540,-0.020083891227841377,0.2,0.07293438911437988,370,-2.3721276557445528,0.0003,0.005751887,0.00015741115872515367,0.07162109375,0.0016368840444556554,0.7931416034698486
1440,39,0.8952322499999998,989.0,798720,554,-0.010629680939018726,0.2,0.0737261176109314,380,-2.3651810897141696,0.0003,0.005653329,-7.620422198669985e-05,0.0639794921875,0.0015529786156002956,0.7895020246505737
1440,40,0.8773966899999999,989.0,819200,568,-0.004022930283099413,0.2,0.06941622495651245,390,-2.356699794232845,0.0003,0.006122765,-0.000439960241492372,0.0726513671875,0.0016250541813496967,0.7871689200401306
1441,41,0.9000257699999998,989.0,839680,582,0.0032173709478229284,0.2,0.08358925580978394,400,-2.3540697345137596,0.0003,0.006252037,-0.00013598968493170105,0.0694482421875,0.0015580189572210656,0.7861441969871521
1441,42,0.8933465799999999,989.0,860160,596,0.015813395380973816,0.2,0.085945725440979,410,-2.3423741384595633,0.0003,0.004826837,3.6091179063078015e-05,0.0643896484375,0.0016871067791180395,0.7794283628463745
1441,43,0.8564121000000001,989.0,880640,610,0.012614276260137558,0.2,0.07001101970672607,420,-2.321774385198951,0.0003,0.007182236,4.729338790639304e-05,0.0702294921875,0.0016600528502385714,0.772542417049408
1441,44,0.8969927600000002,989.0,901120,625,0.03154364973306656,0.2,0.07506346702575684,430,-2.318636963516474,0.0003,0.006173647,-1.0166854335693643e-05,0.0668359375,0.0017304591276479187,0.7712506055831909
1440,45,0.9538269100000001,989.0,921600,639,-0.02095780335366726,0.2,0.08521127700805664,440,-2.287644905373454,0.0003,0.005863777,-0.00037005083489930255,0.074931640625,0.0016746941337623866,0.7601959705352783
1440,46,0.98153994,989.0,942080,654,-0.0020223346073180437,0.2,0.08796894550323486,450,-2.2675365296006205,0.0003,0.0060462663,-7.335607020650059e-05,0.07189453125,0.001708435866621585,0.7525507211685181
1439,47,0.99675556,989.0,962560,668,0.0020579914562404156,0.2,0.09957128763198853,460,-2.25018846206367,0.0003,0.0063614296,0.00021674990901374258,0.0737646484375,0.0018038978942422545,0.7478794455528259
1439,48,1.0401677699999998,989.0,983040,682,0.01901821792125702,0.2,0.06992232799530029,470,-2.2390364300459624,0.0003,0.0067455606,0.00012694727163761854,0.074169921875,0.0016176189928592067,0.742117166519165
