time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/std
1,0.0031302222222222196,1062,1,206.0,2048,,,,,,,,,,,
4,0.004964473684210525,968,2,206.0,4096,0.2,-0.003949635148455854,0.026953125,10,-0.0013810303062200546,0.003750449,-10.523838996887207,0.0003,0.019214008914423174,-2.834193114936352,0.9947981238365173
6,-0.002268275862068967,958,3,206.0,6144,0.2,-0.00555981052457355,0.049365234375,20,-0.025444284081459045,0.0042018685,-4.897342205047607,0.0003,0.0022506313642224997,-2.836341708153486,1.0029373168945312
8,-0.0051540000000000015,950,4,206.0,8192,0.2,-0.005485210474580527,0.038623046875,30,0.006011576857417822,0.0055807405,-1.4017484188079834,0.0003,0.0010673135053366422,-2.8431172393262387,1.0012264251708984
10,-0.00478238775510204,941,5,206.0,10240,0.2,-0.007477352015848737,0.07333984375,40,-0.010389583185315132,0.0062103113,-0.5629920959472656,0.0003,0.0008546229071725974,-2.832429950684309,0.9954320788383484
13,0.004372983050847459,940,6,206.0,12288,0.2,-0.00809215166955255,0.056201171875,50,-0.013870470225811005,0.0060921283,-0.3327099084854126,0.0003,0.0007050386385344609,-2.8240676291286944,0.9915781021118164
