time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/std,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/learning_rate
1,2048,260.0,1116,1,0.059752714285714284,,,,,,,,,,,
2,4096,260.0,1005,4,0.05626880000000001,-0.003722415759693831,-2.8398770838975906,0.0034930822,1.0025386810302734,-25.23505973815918,10,0.012255859375,-0.007606104947626591,0.005354359708144329,0.2,0.0003
3,6144,260.0,968,6,0.0338054347826087,-0.005857400751847308,-2.841888499259949,0.0051865918,1.0021371841430664,-1.6233491897583008,20,0.029833984375,-0.0003914623521268368,0.001332330632067169,0.2,0.0003
4,8192,260.0,950,8,0.013758645161290318,-0.008254364566528238,-2.838005229830742,0.0065216124,0.9969869256019592,-0.7329431772232056,30,0.05810546875,-0.022593287751078606,0.0007137141178645834,0.2,0.0003
5,10240,260.0,942,10,0.023706923076923077,-0.00591037621779833,-2.816292183101177,0.006888086,0.9844449758529663,-0.2865856885910034,40,0.041748046875,-0.005476524122059345,0.0006151744652925118,0.2,0.0003
6,12288,260.0,938,13,0.03197131914893617,-0.005815490570967086,-2.791965299099684,0.0059067803,0.9719005227088928,-0.17646312713623047,50,0.0490234375,-0.006121892016381025,0.0005411583650129614,0.2,0.0003
7,14336,260.0,936,15,0.02768174545454546,-0.005819214606890455,-2.7836194187402725,0.0046625324,0.9759316444396973,-0.13584649562835693,60,0.03515625,0.014737393707036972,0.00041519079645695455,0.2,0.0003
8,16384,260.0,931,17,0.029320444444444444,-0.004762637065141462,-2.793345731496811,0.0052713784,0.9779207706451416,-0.1346684694290161,70,0.032421875,-0.020758988335728645,0.0004160894843607821,0.2,0.0003
9,18432,260.0,929,19,0.034632714285714294,-0.006786012861994095,-2.7910706222057344,0.0047143884,0.976225733757019,-0.09492850303649902,80,0.05927734375,-0.023557621985673904,0.0004258296724401589,0.2,0.0003
10,20480,260.0,927,22,0.04499750000000001,-0.00813786938379053,-2.7878328420221807,0.0061046444,0.9731966257095337,-0.0755617618560791,90,0.070361328125,0.01624171994626522,0.00041022636801244514,0.2,0.0003
11,22528,260.0,926,24,0.05431172093023256,-0.007002890635340009,-2.777997165173292,0.006407275,0.9679033756256104,-0.034148573875427246,100,0.042333984375,-0.004735682625323534,0.0004688032219746674,0.2,0.0003
12,24576,260.0,925,26,0.0563871914893617,-0.0065601288573816415,-2.760640575736761,0.005424079,0.9560524225234985,-0.06462180614471436,110,0.03564453125,-0.024703454226255417,0.0003545420876434946,0.2,0.0003
13,26624,260.0,922,28,0.06388401,-0.008270738083228934,-2.735165719687939,0.007901794,0.9452546238899231,-0.012106060981750488,120,0.066552734375,-0.01015101745724678,0.00036591144757949225,0.2,0.0003
14,28672,260.0,920,31,0.06633234,-0.008880732482066379,-2.7105491667985917,0.00770706,0.9314934015274048,0.05413895845413208,130,0.073583984375,0.0025571121368557215,0.0004215297539758467,0.2,0.0003
15,30720,260.0,917,33,0.08027981000000001,-0.004027791894623078,-2.6913844257593156,0.007220001,0.9279824495315552,-0.06454074382781982,140,0.04111328125,-0.002966376254335046,0.0003011720786162186,0.2,0.0003
