time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/std
1922,1,-0.029620499999999994,989.0,20480,10,,,,,,,,,,,
1646,2,0.02248175,989.0,40960,24,-0.005107191391289234,0.2,-27.2475528717041,10,-2.855673624575138,0.0003,0.0040004505,-0.0015280129623715766,0.0312939453125,0.011546606661358965,1.0104714632034302
1564,3,0.04514333333333333,989.0,61440,39,0.009951712563633919,0.2,-0.4651987552642822,20,-2.8452805156260728,0.0003,0.005584861,-0.0036295123590389267,0.0565478515625,0.004036542925859976,1.0029207468032837
1526,4,0.051962699999999994,989.0,81920,53,-0.006363780237734318,0.2,0.05164313316345215,30,-2.8280882669240235,0.0003,0.005041248,-0.0017460625350940973,0.045888671875,0.003633343758556293,0.9934440851211548
1504,5,0.06600499,989.0,102400,68,-0.010571597144007683,0.2,0.09053564071655273,40,-2.819526654779911,0.0003,0.005701443,-0.0009846753093006556,0.0521533203125,0.002901810735820618,0.9891278743743896
1489,6,0.15477042000000002,989.0,122880,82,0.004557160660624504,0.2,0.039706647396087646,50,-2.79040282741189,0.0003,0.0047098175,-0.0019622690939286257,0.045419921875,0.0028743937645776896,0.973870575428009
1479,7,0.25090219999999996,989.0,143360,96,0.025313623249530792,0.2,0.026265621185302734,60,-2.7760282432287933,0.0003,0.0062454306,-0.0003794999772799201,0.0619384765625,0.0025032265892150464,0.9676650166511536
1472,8,0.33700791,989.0,163840,111,0.002974120434373617,0.2,0.029348790645599365,70,-2.7599714624136684,0.0003,0.0059407065,-0.0010149282260681503,0.063525390625,0.002791008563362993,0.9631053805351257
1466,9,0.38383575999999997,989.0,184320,125,-0.012442667037248611,0.2,0.01754242181777954,80,-2.7479794528335333,0.0003,0.006930751,-0.001579225062741898,0.06765625,0.0026139843168493824,0.9542206525802612
1461,10,0.47636059,989.0,204800,140,-0.001853004563599825,0.2,0.014014601707458496,90,-2.7399233243614436,0.0003,0.0060563404,-0.0007611359254224226,0.059345703125,0.002235143069228798,0.9522780179977417
