time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/entropy_loss,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
1,2,806,2048,,,,,,,,,,,,,
2,5,745,4096,-0.006496248501935043,0.0003,0.0267578125,0.2,10,0.05502055407559965,0.004270465,-30.132003784179688,0.0013073040172457695,-2.8284586556255817,0.9919856786727905,,
3,8,730,6144,-0.008407750990591012,0.0003,0.04931640625,0.2,20,0.01078036537146545,0.005591239,-14.45089340209961,-0.02185818925499916,-2.8218764774501324,0.992855966091156,4989.0,0.181581
4,11,724,8192,-0.007895147723320405,0.0003,0.05859375,0.2,30,0.004866561666131019,0.00674888,-6.971588611602783,-0.012723768129944801,-2.803813210129738,0.9749488830566406,4989.0,0.181581
5,14,719,10240,-0.009100218792445958,0.0003,0.050048828125,0.2,40,0.004035993470824906,0.0059357174,-7.733506202697754,-0.005340695381164551,-2.7894536532461642,0.9752523899078369,4989.0,-0.06131900000000001
6,17,717,12288,-0.0074302960056229495,0.0003,0.068701171875,0.2,50,0.0027853317697008606,0.009399021,-3.9460721015930176,-0.000406251463573426,-2.7844501562416553,0.9715785980224609,4989.0,-0.06131900000000001
7,20,716,14336,-0.005101123373606242,0.0003,0.072021484375,0.2,60,0.0021335261766580516,0.0076354276,-3.248535633087158,-0.008360374718904495,-2.7691781744360924,0.9621000289916992,4989.0,-0.06131900000000001
8,22,715,16384,-0.00758440294303,0.0003,0.08076171875,0.2,70,0.002143730930401944,0.009479193,-2.6380879878997803,-0.022802667692303658,-2.755404019355774,0.9596260786056519,4989.0,0.025248333333333327
9,25,714,18432,-0.00660756113647949,0.0003,0.09404296875,0.2,80,0.0012707864903859444,0.012133185,-2.356232166290283,-0.005522036459296942,-2.7530742466449736,0.9574408531188965,4989.0,0.025248333333333327
10,28,714,20480,-0.006587816501269117,0.0003,0.087109375,0.2,90,0.001488500478808419,0.010791385,-2.019665479660034,-0.010116161778569221,-2.7353411972522736,0.9432328939437866,4989.0,-0.12700475
11,31,715,22528,-0.003344787037349306,0.0003,0.063671875,0.2,100,0.0011208745108888252,0.008233949,-1.4237399101257324,-0.001310678431764245,-2.705574310570955,0.9288710355758667,4989.0,-0.12700475
12,34,715,24576,-0.00925682078668615,0.0003,0.0943359375,0.2,110,0.001040318683590158,0.00974848,-1.3923072814941406,-0.007015837822109461,-2.6919822447001933,0.9330841302871704,4989.0,-0.12700475
13,37,714,26624,-0.008839844525209629,0.0003,0.127880859375,0.2,120,0.0013211925530413281,0.0124121625,-0.582724928855896,-0.0071747032925486565,-2.693274060636759,0.9315017461776733,4989.0,0.020317399999999996
14,40,714,28672,-0.00588759413221851,0.0003,0.0734375,0.2,130,0.0007775257966386561,0.009662363,-0.8509658575057983,-0.012834735214710236,-2.677439419925213,0.9179927706718445,4989.0,0.020317399999999996
15,43,713,30720,-0.008559419627999887,0.0003,0.090283203125,0.2,140,0.0011701433020789409,0.011828722,-0.5133330821990967,-0.02283109724521637,-2.6620969653129576,0.9145791530609131,4989.0,0.00193933333333333
16,45,712,32768,-0.00361424669099506,0.0003,0.113427734375,0.2,150,0.0006305123799393187,0.01058642,-0.8377954959869385,0.002401693956926465,-2.660181621462107,0.9180582761764526,4989.0,0.00193933333333333
17,48,712,34816,-0.004309944572742097,0.0003,0.132275390625,0.2,160,0.000762922898047691,0.014432322,-0.5416228771209717,-0.006407580338418484,-2.668810697644949,0.9204856753349304,4989.0,0.00193933333333333
18,51,711,36864,-0.003647776442812756,0.0003,0.095654296875,0.2,170,0.0008496154249769461,0.010928612,-0.3887571096420288,-0.010530827566981316,-2.6733995102345944,0.9226109981536865,4989.0,0.08512528571428571
19,54,710,38912,-0.010140322183724492,0.0003,0.10517578125,0.2,180,0.0008599714399679214,0.011190175,-0.19850373268127441,-0.007167468778789043,-2.6696895748376845,0.9177337288856506,4989.0,0.08512528571428571
