time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate
11,20480,989.0,1,0.21567845000000002,1719,,,,,,,,,,,
27,40960,989.0,2,0.1562616,1473,0.032451171875,-2.8445790084451437,10,-37.9644660949707,0.003376408,1.0040922164916992,0.2,-0.001700877975235926,0.0105170593985531,-0.005811706185340881,0.0003
42,61440,989.0,3,0.06739823333333336,1439,0.040498046875,-2.822212133705616,20,-1.2522881031036377,0.0049120327,0.9917837381362915,0.2,-0.0016649927731486969,0.0019714480416405424,0.007327449973672628,0.0003
57,81920,989.0,4,0.04775452500000001,1421,0.04763671875,-2.790692506879568,30,-0.08155333995819092,0.0052076043,0.9764215350151062,0.2,-0.0017181270645232872,0.001776261629674991,-0.0015994429122656584,0.0003
72,102400,989.0,5,0.02725185,1417,0.049833984375,-2.777025659456849,40,-0.030788183212280273,0.005494635,0.9682680368423462,0.2,-0.0015453279175562783,0.0016015529071773927,0.0035143878776580095,0.0003
86,122880,989.0,6,-0.003068699999999999,1413,0.06828125,-2.763078566044569,50,-0.01734006404876709,0.0072311284,0.9635144472122192,0.2,-0.0016576174799411091,0.0016091149532621784,0.004240232519805431,0.0003
102,143360,989.0,7,-0.008636789999999991,1404,0.0644775390625,-2.7646260756999252,60,-0.013630509376525879,0.0067067356,0.9661889672279358,0.2,-0.00035872133390512317,0.0014631834892134066,-0.006203383207321167,0.0003
116,163840,989.0,8,0.05107749,1401,0.0479931640625,-2.765761726722121,70,0.0017483830451965332,0.0043236483,0.9637728929519653,0.2,-0.00107407893621712,0.001578877148022002,0.002770510036498308,0.0003
131,184320,989.0,9,0.08177103000000001,1400,0.0491650390625,-2.7499338495731354,80,-0.0022995471954345703,0.0052055977,0.9574286341667175,0.2,-0.0015899271267699078,0.0015342435912498332,-0.0014545645099133253,0.0003
146,204800,989.0,10,0.09960128999999998,1402,0.069912109375,-2.736674827337265,90,0.0012428760528564453,0.0068658544,0.9513474702835083,0.2,-0.0015543616485956591,0.0014178761656330606,0.002641952596604824,0.0003
