time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_range
10,1247.5,12288,1171,1,0.012840999999999998,,,,,,,,,,,
23,1455.25,24576,1051,2,-0.020465499999999998,0.018929565871076193,0.0003,-7.768218040466309,0.9903079271316528,10,0.034228515625,0.010072519071400166,0.0043507726,-0.002037231883635589,-2.819600911438465,0.2
36,1544.2857142857142,36864,1019,3,0.002610428571428585,0.003490776475094511,0.0003,-0.49061036109924316,0.9889566898345947,20,0.047501627604166666,0.006563209462910891,0.0057475357,-0.0018118091007636393,-2.821046264966329,0.2
48,1570.6666666666667,49152,1005,4,-0.021858444444444444,0.0016156360551576655,0.0003,-0.39849138259887695,0.981920063495636,30,0.0537109375,0.013930591754615307,0.005758135,-0.0016355390997584132,-2.8048318810760975,0.2
61,1593.75,61440,998,5,0.15444541666666667,0.0012825669258594039,0.0003,-0.1813795566558838,0.9814780950546265,40,0.0718017578125,0.005756371188908815,0.0068276487,-0.0002446447940504489,-2.7998710216333467,0.2
74,1603.642857142857,73728,994,6,0.17781850000000002,0.0010585031354215365,0.0003,-0.20772993564605713,0.982178270816803,50,0.053507486979166664,-0.013303276151418686,0.0051603667,-0.0011663683316631554,-2.7985600301374993,0.2
86,1614.1176470588234,86016,990,7,0.21599382352941177,0.0009995466771973345,0.0003,-0.13337957859039307,0.9810492992401123,60,0.055216471354166664,0.021404093131422997,0.006134095,-0.00014378705842924924,-2.7990446435908476,0.2
99,1619.2631578947369,98304,985,8,0.15979652631578947,0.0010349860924179666,0.0003,-0.036179304122924805,0.9693125486373901,70,0.07181803385416667,-0.007534635253250599,0.0077333413,-0.0016617265272846756,-2.7851275335997343,0.2
112,1625.2272727272727,110592,983,9,0.16528263636363635,0.0011164296161799332,0.0003,-0.02690589427947998,0.977895975112915,80,0.06396484375,-0.01362583041191101,0.0057252697,0.0004041968527114174,-2.787555674711863,0.2
125,1628.375,122880,981,10,0.10568620833333332,0.000935958270459499,0.0003,-0.006287932395935059,0.9746900796890259,90,0.059773763020833336,0.010152928531169891,0.005880549,-0.0013019089565204922,-2.7849993920574585,0.2
137,1632.2222222222222,135168,979,11,0.11073277777777778,0.000930712039280479,0.0003,-0.012514233589172363,0.9772446155548096,100,0.0594482421875,0.002856223611161113,0.006709322,-0.00129305649146166,-2.7891384553164245,0.2
151,1634.344827586207,147456,975,12,0.08449206896551723,0.0011015213967766613,0.0003,-0.0008696317672729492,0.9766243696212769,110,0.052775065104166664,0.0074012791737914085,0.0052039856,-0.0009917817944369745,-2.7886114242176214,0.2
163,1637.03125,159744,974,13,0.06915184375000001,0.0009495406705809728,0.0003,-0.008337616920471191,0.9785374999046326,120,0.052351888020833334,-0.0071836053393781185,0.0055999407,-0.0016608342768449802,-2.7896737857411305,0.2
176,1638.5588235294117,172032,972,14,0.0715664411764706,0.0010342346420050793,0.0003,-0.003407716751098633,0.9830767512321472,130,0.05667317708333333,-0.002916851779446006,0.0054341834,-0.000935352869904212,-2.794870078191161,0.2
189,1639.9166666666667,184320,970,15,0.10463044444444446,0.0010016225831805058,0.0003,-0.007030963897705078,0.972483217716217,140,0.058024088541666664,-0.006472734734416008,0.0060069016,-0.000820933946427734,-2.7835071913897993,0.2
202,1641.6923076923076,196608,968,16,0.0835256153846154,0.0010517664664045393,0.0003,-0.004722952842712402,0.9663969874382019,150,0.05599772135416667,0.015795588493347168,0.006252141,-0.00046168029875843787,-2.763563252364596,0.2
215,1642.7317073170732,208896,968,17,0.06646817073170733,0.0011516466506539776,0.0003,0.015594005584716797,0.9586393237113953,160,0.0506591796875,0.012319056317210197,0.0051630926,-0.0011257060129234258,-2.7568690540889897,0.2
228,1644.1136363636363,221184,967,18,0.04358118181818183,0.0008184327842779264,0.0003,-0.010762214660644531,0.957476794719696,170,0.042561848958333336,0.0014277574373409152,0.0055670976,-0.0007888936949408768,-2.7428534942368668,0.2
241,1644.9347826086957,233472,967,19,0.05161841304347827,0.0009032776342034291,0.0003,-0.008987665176391602,0.9481937885284424,180,0.0442626953125,0.009807668626308441,0.0054429756,-0.0005760003528848756,-2.733745478341977,0.2
254,1646.0408163265306,245760,967,20,0.05314620408163266,0.0010246629400171513,0.0003,-0.004464864730834961,0.9554132223129272,190,0.05138346354166667,-0.000996629474684596,0.0047124648,-0.001498319818104695,-2.7342769696066775,0.2
266,1646.7058823529412,258048,966,21,0.054943686274509816,0.0014396484930633354,0.0003,-0.0017087459564208984,0.9542195200920105,200,0.05826009114583333,-0.002063422929495573,0.005635049,-0.0022142194601959394,-2.7405496151496966,0.2
279,1647.611111111111,270336,966,22,0.08126962962962965,0.0009144393113729166,0.0003,0.004166841506958008,0.960622251033783,210,0.04888509114583333,-0.004692826420068741,0.004993019,-0.0008253421818759913,-2.745403471092383,0.2
292,1648.1607142857142,282624,966,23,0.08272325,0.0008374911042210442,0.0003,-0.0006858110427856445,0.9711648225784302,220,0.042439778645833336,-0.0023874551989138126,0.004752699,-0.0008553656967706047,-2.757924581691623,0.2
304,1648.915254237288,294912,966,24,0.06958116949152543,0.0009423500613138458,0.0003,-0.007410526275634766,0.9676022529602051,230,0.057234700520833334,-0.0075226747430861,0.005127638,-0.0007219802205023977,-2.7604697638501725,0.2
