rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/std,train/value_loss,train/explained_variance
260.0,1069,1,0.030311571428571438,1,2048,,,,,,,,,,,
260.0,968,4,0.003333466666666672,2,4096,0.0003,0.005730262,0.0443359375,0.2,-2.825752341747284,-0.004089474564534612,0.004389523528516293,10,0.9884325265884399,0.02573211732378695,-13.607868194580078
260.0,953,6,0.019756347826086956,3,6144,0.0003,0.00442382,0.02861328125,0.2,-2.809306249022484,-0.0035692321136593817,-0.003579735057428479,20,0.9840729236602783,0.005202719723456539,-1.4711329936981201
260.0,944,8,0.028811419354838712,4,8192,0.0003,0.005014306,0.033056640625,0.2,-2.812068759649992,-0.004081419866997749,-0.0276174433529377,30,0.9906497001647949,0.002833640687094885,-0.39386987686157227
260.0,940,10,0.035367743589743594,5,10240,0.0003,0.0076886173,0.040087890625,0.2,-2.8294111520051954,-0.004764113883720711,-0.021112915128469467,40,0.9983237981796265,0.001958659187584999,-0.06914091110229492
260.0,938,13,0.0376433829787234,6,12288,0.0003,0.0050487993,0.034619140625,0.2,-2.839289700984955,-0.005319416007841938,-0.025529563426971436,50,1.0026674270629883,0.0016599183172729681,0.0906224250793457
260.0,935,15,0.050035854545454554,7,14336,0.0003,0.0037205738,0.0236328125,0.2,-2.8428216129541397,-0.0044955530058359726,-0.015452500432729721,60,1.0034115314483643,0.0014302815678092883,0.055458009243011475
260.0,934,17,0.05810587301587303,8,16384,0.0003,0.004978381,0.046142578125,0.2,-2.835898996889591,-0.005215424849302508,-0.0034834486432373524,70,0.9944483637809753,0.0010638901832862758,0.12321293354034424
260.0,933,19,0.06420602857142856,9,18432,0.0003,0.0049688965,0.050048828125,0.2,-2.825505393743515,-0.0060296353418380026,0.011273136362433434,80,0.9947094917297363,0.0008976674200312118,0.14442360401153564
260.0,931,21,0.07303826923076921,10,20480,0.0003,0.0067222873,0.059130859375,0.2,-2.8162419401109218,-0.00649869394255802,-0.007746581919491291,90,0.9845534563064575,0.0007719418193119054,0.17631971836090088
260.0,931,24,0.07744156976744185,11,22528,0.0003,0.005789273,0.051220703125,0.2,-2.7993693225085736,-0.007241132302442566,-0.01172682549804449,100,0.9785691499710083,0.0008627546687421273,0.15709352493286133
260.0,930,26,0.08441823404255318,12,24576,0.0003,0.0050115017,0.031689453125,0.2,-2.8103249087929725,-0.004050225055834744,-0.011245757341384888,110,0.9925774335861206,0.0007889261530181102,0.20021212100982666
260.0,930,28,0.09883475000000001,13,26624,0.0003,0.007410354,0.062646484375,0.2,-2.804606172442436,-0.007066862512147054,-0.018594462424516678,120,0.9778136014938354,0.00087299172710118,0.26993328332901
260.0,927,30,0.10184885999999999,14,28672,0.0003,0.0066176252,0.033544921875,0.2,-2.7820269107818603,-0.005273761428543367,0.023664114996790886,130,0.9697257876396179,0.0006976040722292964,0.29242825508117676
260.0,925,33,0.11349304,15,30720,0.0003,0.006212035,0.057568359375,0.2,-2.781004013121128,-0.00695827032905072,-0.00821726955473423,140,0.9762438535690308,0.0008137599156725628,0.2052626609802246
