time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss,train/std,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction
1,1,260.0,2048,1085,-0.011878428571428571,,,,,,,,,,,
4,2,260.0,4096,982,-0.012139200000000001,-2.831937712430954,-4.035465240478516,0.0003,0.0042173434,0.017336640458961484,0.9946008920669556,0.2,-0.0039882190700154755,-0.004622740671038628,10,0.01884765625
6,3,260.0,6144,946,-0.018598217391304354,-2.827218236029148,-0.09007298946380615,0.0003,0.006218361,0.0076441611963673495,0.9936686158180237,0.2,-0.005083784504677169,0.005543462000787258,20,0.03369140625
8,4,260.0,8192,930,-0.0085758064516129,-2.8341106176376343,0.06740951538085938,0.0003,0.007263014,0.005217857902607648,1.000922679901123,0.2,-0.007634522940497846,-0.003547340165823698,30,0.05302734375
11,5,260.0,10240,925,-0.007828000000000003,-2.8512160696089266,0.09696662425994873,0.0003,0.005504064,0.003022442230940214,1.011791467666626,0.2,-0.003766997663478833,-0.0212115291506052,40,0.03271484375
13,6,260.0,12288,924,-0.00010861702127659749,-2.8584112912416457,0.16753965616226196,0.0003,0.0052838475,0.0019711320204805816,1.0103907585144043,0.2,-0.005887066220748238,-2.894480712711811e-05,50,0.062744140625
